,Target samples,Deid. samples
0,3043,1
1,2279,27
2,0,0
3,113,4
4,981,45
5,63,3
6,2030,130
7,0,0
8,0,0
9,0,0
10,0,0
11,42,5
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,5,1
18,367,79
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,47,15
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,31,13
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,30,28
49,0,0
50,0,0
51,0,0
52,0,0
53,8,9
54,0,0
55,0,0
56,19,24
57,0,0
58,0,0
59,0,0
60,19,29
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,41,82
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,1,3
76,0,0
77,0,0
78,17,61
79,0,0
80,0,0
81,61,258
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,2,13
88,0,0
89,3,25
90,0,0
91,0,0
92,0,0
93,0,0
94,16,272
95,0,0
96,34,865
97,0,0
98,1,53
99,23,7231
