,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,27,0,2,0,N,1,0,0,19-01700,6,2,23,2,8,3,501,0.0
1,57,0,3,1,3,1,6,501,36-04010,9,2,66,0,2,4,206,0.0
2,71,0,4,0,2,2,3,141,32-00405,9,2,66,0,3,0,159,20.0
3,37,0,1,2,4,2,1,116,13-04600,6,1,60,4,6,2,91,0.0
4,32,0,5,0,4,2,4,501,06-07502,6,2,50,0,4,5,308,40.0
5,77,0,4,0,N,2,3,141,08-00803,9,1,74,0,N,3,148,60.0
6,60,0,2,N,N,0,0,N,19-01700,2,1,60,N,N,0,N,100.0
7,0,0,N,3,7,1,N,501,13-04600,1,2,9,3,5,N,501,60.0
8,19,2,6,N,N,0,1,N,17-03529,1,2,19,N,N,1,N,100.0
9,33,4,4,0,N,1,8,501,19-01700,1,1,52,0,N,8,501,80.0
10,7,1,N,2,4,2,N,189,30-00600,1,2,7,1,2,N,218,40.0
11,80,0,6,0,N,1,5,315,36-04010,1,2,72,0,N,5,253,60.0
12,82,0,5,0,2,1,3,478,08-00803,6,2,44,3,4,1,28,0.0
13,48,4,1,3,5,1,7,499,51-01301,8,1,48,2,4,7,501,40.0
14,59,0,1,0,5,1,5,120,01-01301,9,1,52,0,4,5,329,40.0
15,59,0,5,0,N,2,1,35,19-01700,6,1,54,0,N,9,501,40.0
16,54,0,2,1,3,2,7,344,36-04010,9,2,44,1,3,7,489,60.0
17,16,1,6,1,3,2,0,194,32-00405,9,2,15,1,2,0,72,40.0
18,16,0,6,3,7,1,0,501,06-08507,7,2,23,0,4,4,501,20.0
19,64,4,4,0,N,1,9,501,08-00803,1,1,64,0,N,9,501,100.0
20,9,1,N,2,4,1,N,501,36-03710,3,1,7,2,4,N,232,60.0
21,65,1,4,N,N,0,4,29,06-07502,1,2,25,N,N,1,4,40.0
22,20,1,6,0,N,2,0,0,19-01700,9,2,17,1,2,0,0,40.0
23,11,2,N,2,3,2,N,218,36-04010,1,2,13,2,4,N,218,60.0
24,69,0,1,0,2,1,9,501,38-00100,4,2,26,1,3,4,501,20.0
25,58,4,2,0,2,1,2,66,38-00100,1,2,41,1,7,0,501,0.0
26,41,0,2,N,N,0,1,N,28-01100,1,2,48,N,N,5,158,40.0
27,56,1,6,2,3,1,1,501,06-08507,8,1,32,0,N,7,501,20.0
28,53,0,3,N,N,0,1,N,17-03529,2,1,84,N,N,1,N,80.0
29,32,4,6,0,N,2,7,501,06-07502,8,1,89,0,N,2,83,40.0
30,52,0,4,N,N,0,1,N,36-03710,2,2,48,N,N,2,49,40.0
31,28,0,6,0,4,2,5,501,38-00100,6,1,27,0,N,5,274,40.0
32,40,0,6,0,N,2,4,190,30-00600,2,1,26,0,N,4,157,60.0
33,76,0,2,0,N,2,4,206,17-03529,6,2,27,0,N,1,39,40.0
34,2,4,N,3,5,2,N,199,36-03710,9,2,14,0,5,N,501,40.0
35,21,0,6,N,N,0,0,N,17-03529,9,1,20,N,N,0,N,80.0
36,43,4,1,2,4,2,0,251,38-00100,8,2,26,0,2,4,501,0.0
37,77,0,4,0,N,2,3,118,51-01301,6,2,47,0,N,9,501,40.0
38,18,4,6,N,N,0,8,N,26-02702,1,1,19,N,N,8,N,80.0
39,78,2,3,0,3,1,0,149,36-03710,9,2,62,0,2,6,501,20.0
40,42,0,5,1,2,2,4,206,17-03531,1,2,54,0,2,4,204,40.0
41,29,1,1,0,2,1,0,2,13-04600,8,1,58,0,3,2,261,20.0
42,7,0,N,1,2,2,N,45,01-01301,9,2,2,2,4,N,19,20.0
43,65,0,1,2,5,1,5,299,13-04600,9,1,49,0,2,8,501,0.0
