,Target samples,Deid. samples
0,24,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,105,24
20,8,2
21,0,0
22,0,0
23,0,0
24,0,0
25,76,26
26,23,8
27,0,0
28,241,99
29,0,0
30,0,0
31,0,0
32,0,0
33,2,1
34,131,66
35,0,0
36,0,0
37,172,103
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,20,16
45,78,64
46,0,0
47,1686,1501
48,2194,2014
49,723,694
50,0,0
51,2608,2695
52,0,0
53,0,0
54,1019,1179
55,0,0
56,3,4
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,65,108
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,10,25
72,8,21
73,0,0
74,72,202
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,7,28
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,1,17
95,0,0
96,0,0
97,0,0
98,0,0
99,0,379
