PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
48-02510,59,1,4,0,1,0,3,1,1,3092.4,490,1,7,12800,3,441,N,2,1,2,2,45,44
48-02102,12,1,N,1,1,0,4,1,1,450.9,N,N,3,N,N,266,N,1,2,2,2,99,110
48-02101,15,2,6,1,1,3,6,1,1,357.4,N,N,4,0,0,424,N,2,2,2,2,563,481
48-02510,10,2,N,0,1,4,5,1,1,3092.4,N,N,3,N,N,501,N,2,2,2,2,52,55
48-02102,60,2,1,0,1,0,5,1,1,450.9,2080,4,5,31700,5,258,N,2,2,2,2,35,32
48-02515,10,2,N,0,1,3,5,1,1,2134.8,N,N,3,N,N,174,N,2,2,2,2,64,48
48-02515,0,2,N,0,1,1,3,1,1,2134.8,N,N,N,N,N,423,N,N,N,2,2,332,204
48-02507,32,1,1,0,2,2,4,1,1,3731.1,1270,4,9,123000,9,501,N,2,2,2,2,43,32
48-02102,79,1,1,0,1,0,2,1,1,450.9,N,N,1,11900,3,344,N,2,2,2,2,7,7
48-02101,8,2,N,1,8,0,4,1,1,357.4,N,N,3,N,N,176,N,2,2,2,2,60,47
48-02507,62,2,3,0,1,0,5,1,1,3731.1,9170,15,7,0,0,77,N,2,1,2,2,67,57
48-02515,42,1,4,4,1,5,8,1,1,2134.8,770,3,5,15000,3,111,N,2,2,1,2,191,144
48-02515,44,2,1,0,1,3,5,1,1,2134.8,N,N,4,0,0,188,N,2,2,2,2,53,40
48-02101,13,2,N,0,1,1,5,1,2,357.4,N,N,3,N,N,322,N,2,2,2,2,40,29
48-02515,41,1,4,4,2,0,2,1,1,2134.8,3580,4,3,35000,5,267,N,2,2,2,2,153,92
48-02515,50,1,1,0,1,1,3,1,2,2134.8,3580,4,8,53000,7,334,N,2,2,2,2,71,83
48-02515,78,2,3,0,1,0,N,1,1,2134.8,N,N,5,29400,5,219,N,2,2,1,2,205,206
48-02102,13,2,N,0,1,5,7,1,1,450.9,N,N,3,N,N,175,N,2,2,2,2,116,121
48-02102,61,2,1,0,1,0,3,1,1,450.9,N,N,8,0,0,501,N,2,1,2,2,51,67
48-02510,53,1,1,0,1,0,3,1,1,3092.4,7380,10,5,70000,8,501,N,2,2,2,2,80,45
48-02515,29,1,1,0,1,0,2,1,2,2134.8,7980,12,10,41000,7,501,N,2,2,2,2,231,233
48-02515,38,1,1,0,1,3,5,1,1,2134.8,8690,14,7,14400,3,239,N,2,2,2,2,44,44
48-02515,12,1,N,0,1,3,5,1,1,2134.8,N,N,3,N,N,189,N,2,2,2,2,58,55
48-02102,26,1,6,0,1,0,6,1,1,450.9,4770,6,5,18000,4,249,N,2,2,2,2,98,59
48-02102,76,2,1,1,1,0,2,1,1,450.9,9290,15,4,38400,5,376,N,2,2,2,2,244,225
48-02510,51,1,1,0,1,2,6,1,1,3092.4,7390,10,9,173500,9,501,N,2,2,2,2,94,99
48-02515,30,1,1,0,1,1,3,1,1,2134.8,2490,4,6,52000,6,501,N,2,2,2,2,49,42
48-02102,75,1,1,0,1,0,2,1,2,450.9,N,N,7,15000,3,262,N,1,1,2,2,46,56
48-02507,57,2,1,0,1,0,2,1,1,3731.1,N,N,5,0,0,501,N,2,2,2,2,42,49
48-02515,26,2,1,0,1,1,3,1,1,2134.8,6970,9,9,50000,7,501,N,2,2,2,2,121,130
48-02515,30,2,6,0,2,0,4,1,1,2134.8,4070,5,7,16000,4,151,N,2,2,2,2,92,16
48-02102,19,2,6,0,1,0,4,1,1,450.9,5391,6,5,1300,1,501,N,2,2,2,2,5,0
48-02102,69,2,4,0,1,2,4,1,1,450.9,N,N,5,9000,2,92,N,2,2,2,2,144,88
48-02515,76,1,1,0,1,0,2,1,1,2134.8,5080,6,9,88900,8,501,N,2,2,2,1,68,64
48-02101,20,1,6,0,1,0,N,1,1,357.4,7290,10,7,40000,6,305,N,2,2,2,2,44,46
48-02102,80,2,3,0,1,3,6,1,2,450.9,N,N,5,15800,3,143,N,2,1,2,1,72,76
48-02101,92,2,3,0,1,0,N,1,1,357.4,180,0,9,49300,7,376,N,2,2,2,2,21,20
48-02515,25,1,6,0,1,N,N,2,0,2134.8,8680,14,9,13800,3,N,N,2,2,2,2,72,0
48-02102,49,1,1,0,1,4,6,1,1,450.9,4480,5,5,70000,8,341,N,2,2,2,2,76,75
48-02102,29,1,1,0,1,2,4,1,1,450.9,770,3,9,102000,9,501,N,2,2,2,2,66,56
48-02507,16,1,6,1,8,0,2,1,1,3731.1,770,3,5,43000,6,479,N,2,2,2,2,75,52
48-02101,7,2,N,0,1,1,5,1,1,357.4,N,N,3,N,N,322,N,2,2,2,2,29,24
48-02102,57,2,1,0,1,0,2,1,1,450.9,7860,11,10,37500,6,501,N,2,2,2,2,4,4
48-02101,1,1,N,0,1,1,3,1,2,357.4,N,N,N,N,N,319,N,N,N,2,2,48,33
48-02102,42,1,1,0,1,2,4,1,1,450.9,7770,10,7,52000,7,321,N,2,2,2,2,139,134
48-02102,20,2,6,0,1,0,N,1,1,450.9,N,N,7,0,0,0,N,2,2,2,2,11,10
48-02515,47,2,6,0,1,2,7,1,1,2134.8,5180,6,5,22000,4,157,N,2,2,2,2,17,18
