,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,47,2,2,2,2,2,N,5,0,1,18,6,0,3,1,1.5616481999995813,0,501,48-02102,1,2,19,2,2,2,2,2,N,1,1,4,0.0,0,298,61.53846153846154
1,31,2,6,2,2,2,N,9,0,1,6,6,0,3,2,24880.7022891,5,117,48-02515,1,2,52,2,6,2,2,2,N,1,0,N,38000.0,6,288,61.53846153846154
2,59,2,5,2,2,2,N,9,0,1,7,1,0,3,1,119248.494981,9,501,48-02516,6,1,34,2,5,2,2,2,N,1,1,3,110000.0,9,501,76.92307692307693
3,56,2,5,2,2,2,N,9,0,1,9,1,2,3,1,119692.472424,9,501,48-02516,6,2,34,2,5,2,2,2,N,1,1,3,32000.0,5,501,69.23076923076923
4,37,2,6,2,2,2,N,9,1,1,9,1,0,2,1,41790.7833861,6,501,48-02515,1,1,57,2,6,2,2,2,N,1,0,2,205000.0,9,501,76.92307692307693
5,65,2,5,2,2,2,N,5,1,1,6,1,0,2,1,15900.39549,3,250,48-02516,1,2,40,2,5,2,1,2,N,1,0,2,0.0,0,304,61.53846153846154
6,38,2,7,2,2,2,N,9,0,1,9,1,3,5,2,192179.886969,5,152,48-02510,1,1,52,2,7,2,2,2,N,1,0,3,557000.0,9,501,53.84615384615385
7,17,2,2,2,2,2,N,4,0,1,N,6,1,3,1,3738.2935107,0,379,48-02102,6,2,16,2,2,2,2,2,N,1,1,3,0.0,0,295,76.92307692307693
8,48,2,5,2,2,2,N,8,0,1,11,1,0,2,1,29976.294054,6,1,48-02516,1,1,43,2,5,2,2,2,N,1,0,2,125000.0,9,501,69.23076923076923
9,32,2,5,2,2,2,N,5,1,1,14,1,1,5,1,11097.575286,2,316,48-02516,1,2,43,2,5,2,2,2,N,1,1,5,12000.0,3,202,69.23076923076923
10,34,2,2,2,2,2,N,9,0,1,9,6,1,5,1,15537.9692076,0,331,48-02101,1,2,37,2,2,2,2,2,N,1,0,4,33100.0,5,501,53.84615384615385
11,72,2,7,2,1,2,N,7,0,1,4,4,0,2,2,39506.5138986,6,489,48-02507,1,2,73,2,7,2,2,2,N,1,0,N,27100.0,5,221,53.84615384615385
