,INDP,count_target,count_deidentified
6,4670,75,1.0
34,4680,5,2.0
0,4690,36,4.0
2,4770,42,13.0
16,4780,5,20.0
17,4795,49,14.0
10,4870,59,33.0
8,4880,26,37.0
20,4890,28,33.0
7,4971,189,51.0
30,4972,31,53.0
26,4980,22,62.0
29,4990,9,60.0
5,5070,66,49.0
25,5080,38,35.0
31,5090,50,29.0
4,5170,124,25.0
27,5180,15,16.0
24,5190,16,8.0
18,5275,57,6.0
19,5280,5,3.0
23,5295,5,1.0
14,5370,17,2.0
12,5381,44,2.0
3,5391,154,0.0
28,5470,14,0.0
21,5480,14,0.0
13,5490,21,0.0
1,5570,15,0.0
15,5580,32,0.0
22,5593,52,0.0
32,5670,4,2.0
33,5680,8,2.0
9,5690,13,0.0
11,5790,41,4.0
