,Target samples,Deid. samples
0,45,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,39,3
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,25,9
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,2056,1057
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,97,64
41,309,218
42,0,0
43,757,582
44,0,0
45,5263,4364
46,0,0
47,0,0
48,0,0
49,0,0
50,5,5
51,0,0
52,12,13
53,9,10
54,0,0
55,0,0
56,184,239
57,0,0
58,0,0
59,0,0
60,0,0
61,60,92
62,0,0
63,0,0
64,0,0
65,0,0
66,117,227
67,44,88
68,58,124
69,0,0
70,7,16
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,2,8
81,0,0
82,0,0
83,0,0
84,0,0
85,130,738
86,29,184
87,0,0
88,0,0
89,16,133
90,2,18
91,0,0
92,0,0
93,0,0
94,2,33
95,2,35
96,1,24
97,1,30
98,0,0
99,4,962
