,INDP,count_target,count_deidentified
3,1070,2,0.0
34,1080,1,0.0
26,1090,6,0.0
37,1170,3,0.0
5,1180,7,0.0
18,1270,6,14.0
9,1280,10,14.0
32,1290,1,14.0
35,1370,1,0.0
36,1390,1,0.0
40,1480,1,0.0
38,1670,1,0.0
13,1691,1,14.0
31,1790,4,0.0
29,1870,7,0.0
46,1880,2,0.0
28,1990,4,0.0
7,2090,2,0.0
25,2190,2,13.0
33,2270,1,0.0
41,2280,2,0.0
20,2290,3,0.0
12,2370,8,13.0
22,2380,3,0.0
19,2390,1,14.0
42,2480,3,14.0
43,2490,1,0.0
21,2570,2,0.0
15,2590,1,0.0
10,2670,5,0.0
1,2770,3,0.0
4,2870,3,0.0
6,2880,3,0.0
44,2890,2,0.0
49,2970,1,0.0
16,2980,5,0.0
47,3080,1,0.0
48,3180,1,0.0
0,3291,9,14.0
17,3370,2,0.0
45,3380,2,27.0
23,3490,9,0.0
2,3570,15,28.0
14,3580,6,0.0
24,3875,4,0.0
30,3895,3,13.0
8,3960,4,13.0
27,3970,1,14.0
39,3980,3,14.0
11,3990,13,14.0
