,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,21,0,6,0,N,2,3,114,26-02702,3,1,21,0,N,3,114,100.0
1,14,1,N,2,3,2,N,136,30-00600,1,1,14,2,3,N,136,100.0
2,49,4,1,1,6,2,6,367,36-04010,8,1,49,1,6,6,367,100.0
3,76,2,4,0,N,2,7,475,36-03710,2,1,76,0,N,7,475,100.0
4,58,0,5,0,N,2,4,152,06-07502,1,2,58,0,N,4,152,100.0
5,77,0,3,N,N,0,2,N,29-01901,2,1,77,N,N,2,N,100.0
6,65,0,4,0,N,2,4,156,29-01901,9,2,65,0,N,4,156,100.0
7,52,2,1,0,3,1,7,501,36-03710,2,2,52,0,3,7,501,100.0
8,39,4,2,0,N,1,6,304,06-08507,8,2,39,0,N,6,304,100.0
9,42,0,2,0,N,1,8,494,38-00100,2,1,42,0,N,8,494,100.0
10,53,1,2,1,3,2,3,157,32-00405,1,1,53,1,3,3,157,100.0
11,27,1,6,0,N,2,3,153,17-03529,8,1,27,0,N,3,153,100.0
12,68,0,4,N,N,0,6,N,06-08507,1,1,68,N,N,6,N,100.0
13,40,3,4,0,N,1,6,302,32-00405,1,1,40,0,N,6,302,100.0
14,63,0,5,0,N,1,8,443,29-01901,1,1,63,0,N,8,443,100.0
15,40,4,5,0,3,2,6,387,36-03710,9,2,40,0,3,6,387,100.0
16,9,4,N,4,5,2,N,191,17-03529,8,2,9,4,5,N,191,100.0
17,15,0,6,3,4,1,1,28,08-00803,9,1,15,3,4,1,28,100.0
18,0,4,N,5,6,2,N,71,32-00405,9,2,0,5,6,N,71,100.0
19,41,1,1,2,4,1,0,188,40-00200,1,2,41,2,4,0,188,100.0
20,66,0,1,0,2,1,6,466,08-00803,7,1,66,0,2,6,466,100.0
21,63,3,6,0,N,1,1,11,32-00405,8,2,63,0,N,1,11,100.0
22,52,0,1,2,9,1,5,199,13-04600,6,1,52,2,9,5,199,100.0
23,36,0,1,0,2,2,5,188,17-03529,9,2,36,0,2,5,188,100.0
24,18,3,6,N,N,0,5,N,26-02702,1,2,18,N,N,5,N,100.0
25,16,4,2,1,4,1,1,501,51-01301,1,2,16,1,4,1,501,100.0
26,64,4,4,0,2,2,3,136,24-01004,2,2,64,0,2,3,136,100.0
27,58,0,1,1,3,1,9,501,06-08507,9,1,58,1,3,9,501,100.0
28,2,0,N,1,3,1,N,343,38-00100,7,2,2,1,3,N,343,100.0
29,53,4,1,2,4,1,9,501,24-01004,8,1,53,2,4,9,501,100.0
30,68,3,1,0,2,1,6,262,32-00405,1,2,68,0,2,6,262,100.0
31,32,1,6,0,N,1,7,501,06-08507,8,1,32,0,N,7,501,100.0
32,63,0,5,0,N,2,2,68,06-07502,2,1,63,0,N,2,68,100.0
33,48,0,5,0,5,1,4,427,06-08507,1,2,48,0,5,4,427,100.0
34,14,0,N,1,3,1,N,501,06-08507,2,1,14,1,3,N,501,100.0
35,38,2,4,2,4,2,5,218,36-04010,1,2,38,2,4,5,218,100.0
36,63,0,1,0,2,1,3,459,30-00600,5,2,63,0,2,3,459,100.0
37,42,1,1,0,2,1,6,501,24-01004,8,2,42,0,2,6,501,100.0
38,26,1,2,0,4,2,6,501,38-00100,8,1,26,0,4,6,501,100.0
39,40,3,4,0,N,2,6,413,51-51255,2,2,40,0,N,6,413,100.0
40,48,0,1,0,3,1,9,501,13-04600,3,2,48,0,3,9,501,100.0
41,74,0,3,N,N,0,3,N,01-01301,2,2,74,N,N,3,N,100.0
42,11,0,N,2,9,1,N,199,13-04600,6,1,11,2,9,N,199,100.0
43,10,1,N,N,N,0,N,N,08-00803,9,1,10,N,N,N,N,100.0
44,13,0,N,1,2,2,N,206,30-00600,2,2,13,1,2,N,206,100.0
45,44,0,2,N,N,0,0,0,06-07502,2,2,44,N,N,0,0,100.0
46,37,1,4,0,3,1,5,377,40-00200,1,1,37,0,3,5,377,100.0
47,41,4,6,0,2,2,7,455,51-51255,9,1,41,0,2,7,455,100.0
48,37,0,4,0,N,1,9,501,13-04600,9,2,37,0,N,9,501,100.0
49,60,4,2,0,N,1,4,180,36-03710,8,2,60,0,N,4,180,100.0
50,66,0,3,N,N,0,1,N,06-07502,1,1,66,N,N,1,N,100.0
51,29,1,4,N,N,0,0,N,13-04600,1,1,29,N,N,0,N,100.0
52,59,2,2,0,N,2,2,63,36-03710,8,1,59,0,N,2,63,100.0
53,2,0,N,2,4,1,N,87,01-01301,1,1,2,2,4,N,87,100.0
54,67,4,3,0,3,1,8,501,36-04010,2,2,67,0,3,8,501,100.0
55,64,3,4,0,N,2,4,203,32-00405,2,2,64,0,N,4,203,100.0
56,19,4,6,1,7,1,5,501,38-00100,1,2,19,1,7,5,501,100.0
57,31,0,6,N,N,0,2,56,51-01301,2,2,31,N,N,2,56,100.0
58,1,0,N,1,3,2,N,220,28-01100,1,1,1,1,3,N,220,100.0
