,Target samples,Deid. samples
0,50,0
1,0,0
2,0,0
3,0,0
4,0,0
5,18,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,8,1
12,0,0
13,193,30
14,48,8
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,3,1
26,0,0
27,116,43
28,0,0
29,0,0
30,901,391
31,0,0
32,19,9
33,0,0
34,41,21
35,0,0
36,602,337
37,222,133
38,15,9
39,0,0
40,0,0
41,3014,2056
42,0,0
43,1416,1067
44,1459,1158
45,0,0
46,5882,5039
47,156,140
48,358,324
49,0,0
50,0,0
51,1941,2036
52,4919,5226
53,1012,1137
54,1375,1634
55,538,651
56,1096,1406
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,13,22
64,0,0
65,0,0
66,303,601
67,68,136
68,639,1329
69,287,627
70,0,0
71,418,1013
72,17,44
73,0,0
74,50,141
75,1,3
76,0,0
77,0,0
78,0,0
79,0,0
80,1,4
81,0,0
82,45,205
83,1,5
84,5,26
85,0,0
86,0,0
87,0,0
88,2,14
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,1,30
98,0,0
99,0,195
