SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,1,1,2,4,0,24-01004,25,0,2,401
1,6,2,0,0,0,13-04600,22,N,N,N
1,6,1,2,6,0,51-51255,27,0,N,501
2,6,1,2,2,0,29-01901,62,0,N,0
2,6,1,2,0,0,40-00200,21,0,3,0
1,N,1,1,N,0,08-00803,15,4,5,501
1,1,1,1,9,0,24-01004,75,0,3,501
2,1,1,1,2,0,30-00600,65,0,2,0
2,1,1,1,6,0,40-00200,40,3,5,159
2,1,1,1,4,0,24-01004,67,0,2,501
1,1,1,1,9,0,51-51255,54,2,5,501
1,3,2,1,8,0,13-04600,87,0,5,501
1,1,6,1,9,0,06-08507,53,2,4,501
2,6,2,2,4,0,13-04600,41,0,N,132
2,N,2,2,N,0,17-03529,12,0,3,122
1,6,1,2,6,0,51-51255,39,N,N,449
1,6,2,0,2,0,13-04600,57,N,N,N
2,6,2,2,3,0,29-01901,31,0,N,76
1,N,1,1,N,0,06-08507,18,2,4,501
1,1,2,1,8,0,01-01301,47,0,5,501
1,6,3,1,2,0,30-00600,35,0,N,75
2,6,1,1,0,0,06-08507,17,2,4,501
2,1,1,1,7,0,51-51255,61,0,2,501
1,6,1,2,4,0,30-00600,31,0,N,106
2,6,1,1,4,0,19-01700,23,0,4,174
1,1,1,1,8,0,06-08507,71,0,2,501
2,6,6,2,4,0,06-07502,21,0,N,229
1,6,1,2,2,0,19-01700,55,0,N,75
2,1,1,1,3,0,26-02702,72,0,2,501
2,6,8,2,6,4,32-00405,27,0,N,339
2,6,1,1,0,0,38-00100,27,0,4,202
1,6,1,0,0,0,17-03529,24,N,N,N
2,3,1,1,7,0,24-01004,71,0,N,501
2,3,1,1,8,0,06-08507,75,0,N,501
2,6,2,2,5,0,17-03529,40,0,2,374
2,1,1,1,8,0,24-01004,49,1,3,501
1,1,1,1,8,0,30-00600,45,2,4,501
1,1,1,1,8,0,40-00200,28,0,3,501
2,1,2,1,7,0,29-01901,53,2,4,501
2,6,2,1,3,0,01-01301,45,0,N,180
2,3,1,1,7,0,19-01700,77,0,N,501
2,4,1,1,0,0,01-01301,60,0,N,0
1,6,1,0,8,0,26-02702,21,N,N,N
2,1,1,2,2,0,32-00405,54,0,4,135
2,4,2,2,5,0,17-03529,55,0,2,374
1,1,1,1,9,0,06-08507,36,2,5,501
2,1,1,1,8,0,06-07502,48,0,2,501
2,4,1,2,2,0,06-08507,65,0,N,78
2,1,1,1,0,0,08-00803,62,0,2,501
2,1,2,1,6,0,13-04600,74,0,2,501
2,6,2,2,4,0,36-03710,29,1,3,217
1,4,2,1,8,0,28-01100,50,0,N,501
2,1,1,2,0,0,51-51255,25,4,5,162
2,6,2,1,5,0,13-04600,24,0,3,501
2,N,1,1,N,0,19-01700,12,2,5,266
1,1,1,1,2,0,24-01004,81,0,3,501
2,6,1,2,0,1,32-00405,31,1,2,0
1,1,1,1,9,0,30-00600,72,0,2,501
1,6,1,2,6,0,36-03710,63,N,N,453
2,4,1,1,5,0,08-00803,71,0,N,205
2,6,8,2,5,1,32-00405,22,0,3,385
1,6,1,2,8,0,06-08507,47,0,N,501
2,1,1,1,2,0,32-00405,82,0,4,100
2,1,1,1,0,0,30-00600,62,0,2,0
2,1,1,1,7,0,51-01301,44,2,4,501
2,6,2,2,5,0,17-03529,66,0,N,227
2,6,1,2,5,0,24-01004,31,0,N,267
2,N,3,1,N,0,40-00200,12,3,4,124
2,1,1,1,3,0,19-01700,76,0,2,157
2,6,1,1,0,0,24-01004,23,4,5,501
2,6,1,2,4,0,08-00803,36,0,N,190
2,6,2,2,5,0,13-04600,32,0,4,292
1,6,1,0,0,0,06-08507,59,N,N,N
2,6,1,2,5,0,51-01301,21,0,2,501
1,6,1,2,6,0,08-00803,32,0,N,379
2,N,1,2,N,0,24-01004,12,0,N,30
2,6,1,2,4,0,19-01700,50,0,N,152
2,6,1,1,0,0,30-00600,17,2,4,501
1,6,3,1,7,0,06-08507,28,2,5,443
1,6,1,1,7,0,30-00600,47,0,N,501
1,1,1,1,0,0,06-08507,62,0,2,501
2,6,8,2,6,4,36-03710,45,0,2,401
1,1,1,1,0,0,06-08507,44,4,5,501
2,N,2,1,N,0,01-01301,12,4,5,159
2,N,1,1,N,0,08-00803,17,2,4,501
1,4,1,1,8,0,24-01004,55,0,N,501
2,1,1,1,5,0,19-01700,79,0,2,422
2,6,1,2,4,0,19-01700,35,0,N,152
1,6,1,2,6,0,06-07502,27,0,N,304
2,6,1,2,0,0,32-00405,27,0,3,0
2,1,1,1,7,0,19-01700,44,1,4,501
2,6,1,2,1,0,28-01100,20,0,N,91
1,3,1,1,2,0,24-01004,83,0,3,501
2,4,2,1,6,0,29-01901,72,0,N,305
2,1,2,1,6,0,36-04010,57,0,4,501
1,1,1,1,9,0,28-01100,49,2,4,501
2,1,1,1,0,0,06-08507,76,0,2,501
2,6,2,1,6,0,01-01301,60,0,2,501
2,N,1,2,0,0,08-00803,9,0,N,0
2,1,2,1,8,0,17-03529,64,0,3,501
2,6,1,2,4,0,32-00405,34,0,N,190
2,6,2,2,0,0,17-03529,18,3,5,463
1,1,6,1,9,0,06-07502,37,1,3,501
2,6,2,2,0,0,17-03529,53,0,N,0
2,6,8,2,0,1,32-00405,13,2,4,121
1,N,2,1,N,0,28-01100,8,4,5,N
2,1,1,1,8,0,08-00803,48,0,3,501
2,6,1,1,5,0,29-01901,27,0,2,501
1,6,1,1,8,0,38-00100,59,0,N,501
2,1,1,1,6,0,24-01004,58,0,3,501
1,1,1,1,9,0,51-01301,38,0,2,501
2,6,6,2,6,0,17-03529,17,0,N,394
2,6,1,2,1,0,17-03529,23,0,N,11
1,N,3,1,N,0,06-08507,10,4,5,202
1,6,1,0,3,0,28-01100,32,N,N,N
2,4,1,1,3,0,19-01700,72,0,N,119
1,6,1,0,2,0,08-00803,39,N,N,90
1,1,1,1,9,0,51-51255,31,0,3,501
1,1,1,1,8,0,30-00600,46,0,2,501
2,1,1,1,8,0,24-01004,70,0,2,501
1,1,1,1,9,0,06-08507,88,0,2,501
1,1,1,1,9,0,06-08507,42,2,4,501
2,1,6,2,6,0,06-08507,36,0,2,501
2,6,2,2,0,0,19-01700,25,2,3,0
1,N,1,1,N,0,30-00600,21,2,5,501
1,6,1,1,9,0,51-51255,28,0,3,501
2,1,2,1,2,0,29-01901,83,0,4,199
1,6,1,0,4,0,38-00100,55,N,N,N
2,6,1,1,3,0,30-00600,43,0,N,136
1,6,6,0,3,0,06-08507,26,N,N,N
2,6,2,2,5,0,17-03529,28,0,3,199
2,6,8,2,6,4,36-03710,52,0,2,480
1,1,1,1,9,0,26-02702,64,0,4,501
2,6,2,1,0,0,13-04600,16,2,4,199
2,6,2,2,4,0,29-01901,63,0,N,151
2,1,2,2,2,0,36-04010,69,0,2,297
2,6,1,2,0,0,32-00405,32,0,N,0
2,1,6,1,0,4,24-01004,70,0,3,501
1,1,2,1,8,0,28-01100,34,2,4,501
2,1,1,1,2,0,32-00405,64,0,2,0
2,1,1,1,7,0,24-01004,60,2,5,501
2,1,2,1,3,0,28-01100,51,0,2,313
