SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
1,N,1,2,0,2,7,1,N,2
1,6,2,0,0,4,14,3,N,2
2,1,8,2,0,7,31,1,N,2
2,1,1,1,3,7,58,1,N,2
1,6,2,1,5,7,29,1,N,2
2,1,2,2,2,5,72,1,N,2
1,1,1,2,8,9,31,1,N,2
1,6,2,1,3,7,49,1,N,2
1,1,1,1,8,9,27,1,N,2
1,1,1,1,8,10,55,1,N,2
2,6,6,1,0,9,35,1,N,2
1,N,1,1,0,2,0,1,N,2
1,6,1,2,5,9,32,1,N,2
1,6,6,2,1,4,30,1,N,2
1,1,1,1,8,11,62,1,N,2
2,4,2,1,4,5,66,1,N,2
2,N,1,1,0,1,3,1,N,2
1,N,1,2,0,2,1,1,N,2
2,6,2,0,0,4,69,2,N,2
1,6,2,1,3,5,38,1,N,2
2,6,1,1,1,7,27,1,N,2
2,1,1,1,7,10,68,1,N,2
2,N,1,1,N,1,2,1,N,2
1,1,2,2,7,9,44,1,N,2
1,N,9,2,N,1,3,1,N,2
1,1,1,1,7,7,76,1,N,2
2,1,1,1,6,10,53,1,N,2
1,6,6,0,0,3,39,3,N,2
1,6,1,2,0,4,37,1,N,2
1,N,2,0,0,3,14,2,N,2
1,1,1,1,8,10,76,1,N,2
2,6,2,2,N,1,57,1,N,2
1,6,1,2,6,9,27,1,N,2
1,1,1,1,8,9,22,1,N,2
2,6,2,2,2,5,42,1,N,2
1,1,1,1,6,10,39,1,N,2
1,1,2,1,7,7,61,1,N,2
1,1,1,1,7,9,31,1,N,2
1,1,1,1,0,1,63,1,N,2
1,1,1,1,8,10,50,1,N,2
2,6,2,2,2,5,55,1,N,2
2,6,2,2,0,7,27,1,N,2
1,1,1,1,6,10,57,1,N,2
2,6,1,1,1,9,33,1,N,2
2,6,2,2,2,7,29,1,N,2
1,3,6,2,5,11,76,1,N,2
1,1,1,1,7,9,72,1,N,2
1,1,1,1,7,7,64,1,N,2
2,1,8,2,0,9,31,1,N,2
1,1,1,1,8,10,73,1,N,2
1,4,1,2,8,10,64,1,N,2
1,6,2,2,0,3,14,1,N,2
1,N,2,0,0,3,39,2,N,2
2,1,1,1,8,9,43,1,N,2
1,N,2,1,N,1,4,1,N,2
1,1,1,1,6,7,71,1,N,2
2,N,6,1,0,3,9,1,N,2
1,1,6,2,7,10,59,1,N,2
1,N,1,2,0,2,5,1,N,2
2,1,1,1,4,9,85,1,N,2
2,3,2,1,4,9,83,1,N,2
1,1,1,2,8,10,72,1,N,2
2,6,6,2,0,4,25,1,N,2
1,N,2,1,N,1,5,1,N,2
2,4,1,1,3,5,53,1,N,2
2,6,6,2,0,7,29,1,N,2
1,6,2,1,4,7,30,1,N,2
2,1,1,1,3,5,61,1,N,2
1,6,2,1,0,4,50,1,N,2
1,1,1,1,6,11,76,1,N,2
1,1,1,1,6,7,63,1,N,2
2,1,3,1,0,4,60,1,N,2
2,4,2,2,7,7,64,1,N,2
2,6,8,1,0,4,20,1,N,2
2,N,1,2,0,3,6,1,N,2
2,N,2,1,N,1,5,1,N,2
1,6,1,2,8,10,33,1,N,2
2,6,2,1,5,7,57,1,N,2
2,6,2,2,5,7,26,1,N,2
1,6,1,1,0,4,12,1,N,2
2,1,8,2,0,4,43,1,N,2
2,6,2,2,2,4,64,1,N,2
1,1,1,1,6,5,37,1,N,2
1,1,1,2,6,5,66,1,N,2
2,3,2,2,3,4,71,1,N,2
2,1,1,1,8,10,38,1,N,2
1,1,1,2,7,9,64,1,N,2
2,6,2,2,6,9,28,1,N,2
1,1,2,1,7,7,48,1,N,2
2,6,2,2,1,7,28,1,N,2
1,1,1,1,7,10,68,1,N,2
2,1,1,1,2,5,72,1,N,2
1,1,6,1,8,12,57,1,N,2
2,1,1,1,8,11,34,1,N,2
2,1,1,1,3,10,75,1,N,2
1,N,2,1,N,1,50,1,N,2
2,6,2,2,2,1,2,1,N,2
2,6,2,2,2,4,72,1,N,2
1,N,1,1,N,2,1,1,N,2
2,6,1,1,0,4,12,1,N,2
2,6,2,1,0,4,13,1,N,2
1,6,1,0,7,7,30,3,N,2
1,1,1,1,8,10,31,1,N,2
2,1,2,2,6,5,41,1,N,2
2,6,1,1,0,4,17,1,N,2
2,6,1,2,2,9,57,1,N,2
1,1,2,1,8,10,44,1,N,2
1,6,1,0,5,7,33,1,N,2
2,6,2,1,0,4,31,1,N,2
2,4,1,1,5,7,64,1,N,2
2,6,6,1,0,3,17,1,N,2
1,4,1,2,8,9,68,1,N,2
1,6,2,1,7,7,38,1,N,2
1,6,1,2,6,9,53,1,N,2
2,6,2,2,2,5,53,1,N,2
1,6,1,0,1,7,31,3,N,2
1,1,2,1,3,5,40,1,N,2
2,6,2,1,4,7,60,1,N,2
1,1,1,2,7,9,29,1,N,2
2,N,2,2,0,3,15,1,N,2
1,N,9,1,0,3,7,1,N,2
2,6,2,2,0,3,24,1,N,2
2,1,1,1,4,7,73,1,N,2
2,1,1,1,3,9,86,1,N,2
1,1,6,1,8,10,58,1,N,2
1,6,1,2,8,9,27,1,N,2
2,6,1,2,6,9,23,1,N,2
2,1,1,2,4,9,27,1,N,2
1,1,1,1,8,10,39,1,N,2
2,6,1,2,3,5,62,1,N,2
1,4,2,2,8,9,61,1,N,2
2,6,2,2,0,4,42,1,N,2
1,1,1,1,8,10,78,1,N,2
1,2,6,0,0,9,49,3,N,2
2,1,1,1,7,10,41,1,N,2
1,1,2,1,6,7,57,1,N,2
1,1,2,1,7,7,59,1,N,2
2,1,1,1,4,9,62,1,N,2
2,3,2,1,2,3,83,1,N,2
1,1,1,1,8,10,60,1,N,2
2,6,2,1,2,7,21,1,N,2
1,1,1,1,8,10,65,1,N,2
2,N,8,2,N,1,5,1,N,2
1,1,1,1,7,7,39,1,N,2
2,6,2,2,4,5,45,1,N,2
1,1,1,1,8,10,33,1,N,2
1,1,1,1,6,7,57,1,N,2
1,1,1,1,8,7,68,1,N,2
2,6,2,2,2,5,45,1,N,2
1,6,1,1,0,4,26,1,N,2
1,1,6,2,7,10,56,1,N,2
1,1,1,1,8,10,25,1,N,2
2,N,1,1,N,1,67,1,N,2
2,4,1,1,3,1,65,1,N,2
2,N,1,1,0,3,4,1,N,2
1,1,1,1,7,7,71,1,N,2
2,1,1,1,3,9,81,1,N,2
2,N,1,1,N,2,4,1,N,2
2,1,6,1,4,10,45,1,N,2
1,N,1,1,0,3,12,1,N,2
1,1,2,1,8,7,47,1,N,2
1,6,1,0,0,4,25,3,N,2
1,1,6,1,8,10,55,1,N,2
2,6,1,1,4,5,35,1,N,2
1,1,2,1,4,7,62,1,N,2
1,N,1,2,N,2,4,1,N,2
2,6,1,2,4,5,60,1,N,2
2,1,2,2,2,5,72,1,N,2
2,1,1,2,7,10,35,1,N,2
1,1,2,2,8,10,69,1,N,2
1,1,1,2,8,9,31,1,N,2
1,1,1,1,8,10,76,1,N,2
1,6,6,2,1,4,22,1,N,2
2,4,1,2,4,9,72,1,N,2
2,6,1,2,2,5,52,1,N,2
2,4,2,2,4,5,65,1,N,2
2,1,2,2,2,1,72,1,N,2
1,6,1,2,1,4,29,1,N,2
1,6,6,0,0,4,22,3,N,2
1,1,1,1,6,11,58,1,N,2
1,1,1,1,8,10,61,1,N,2
1,6,1,2,0,4,32,1,N,2
1,6,1,2,8,9,46,1,N,2
2,6,1,1,6,9,23,1,N,2
1,6,1,1,1,7,27,1,N,2
2,1,2,2,2,5,69,1,N,2
2,6,2,2,2,4,60,1,N,2
1,6,1,2,0,4,35,1,N,2
2,4,1,2,5,5,76,1,N,2
2,6,6,2,3,9,28,1,N,2
1,6,1,0,0,3,17,3,N,2
1,6,1,1,8,9,33,1,N,2
2,3,2,2,9,9,81,1,N,2
2,6,1,1,0,7,19,1,N,2
1,6,1,1,5,7,28,1,N,2
2,6,1,2,3,5,34,1,N,2
1,6,1,0,0,3,9,2,N,2
2,6,2,2,4,7,35,1,N,2
2,1,1,1,5,7,73,1,N,2
1,1,1,2,7,10,61,1,N,2
1,6,1,2,1,7,32,1,N,2
2,6,2,1,2,4,60,1,N,2
2,6,1,1,0,9,21,1,N,2
2,6,2,2,0,5,26,1,N,2
1,6,1,2,8,10,29,1,N,2
1,1,1,1,7,9,39,1,N,2
2,N,2,2,0,3,13,1,N,2
2,1,1,1,4,7,59,1,N,2
1,6,1,0,1,7,33,3,N,2
1,6,1,1,6,7,40,1,N,2
1,1,6,1,8,10,25,1,N,2
1,N,2,1,0,3,13,1,N,2
1,6,1,0,5,7,34,3,N,2
2,1,2,2,7,7,59,1,N,2
2,N,2,2,0,3,10,1,N,2
2,1,1,1,8,9,29,1,N,2
1,N,1,2,0,3,10,1,N,2
1,6,2,0,1,7,29,3,N,2
1,N,1,2,0,3,9,1,N,2
2,1,2,1,3,5,63,1,N,2
1,N,3,1,N,1,7,1,N,2
1,6,1,2,5,9,33,1,N,2
2,6,2,1,0,4,21,1,N,2
2,6,2,2,6,7,33,1,N,2
1,6,2,2,7,7,56,1,N,2
1,1,1,1,8,10,53,1,N,2
2,1,1,1,4,5,75,1,N,2
2,1,2,2,2,5,57,1,N,2
2,6,2,2,1,7,22,1,N,2
1,1,2,1,8,7,68,1,N,2
2,6,1,2,0,7,34,1,N,2
2,1,6,1,4,10,63,1,N,2
2,6,2,1,2,5,46,1,N,2
2,6,2,1,N,3,17,1,N,2
2,6,2,2,2,5,52,1,N,2
2,1,1,1,6,9,53,1,N,2
2,6,1,1,1,7,26,1,N,2
1,1,1,1,8,9,31,1,N,2
1,1,1,1,6,10,38,1,N,2
1,1,1,1,7,7,59,1,N,2
1,1,1,1,8,9,63,1,N,2
1,6,6,2,1,7,35,1,N,2
1,1,1,1,3,5,75,1,N,2
2,6,2,2,4,5,54,1,N,2
1,1,6,1,8,10,48,1,N,2
1,N,1,1,N,1,57,1,N,2
1,4,2,1,7,7,63,1,N,2
1,6,1,0,1,7,28,3,N,2
1,1,1,1,8,10,61,1,N,2
1,6,2,2,0,4,10,1,N,2
1,6,2,2,0,4,28,1,N,2
2,N,2,1,N,1,5,1,N,2
2,N,2,2,N,3,19,1,N,2
2,N,2,1,N,2,4,1,N,2
1,6,1,2,8,9,23,1,N,2
2,1,1,1,3,9,26,1,N,2
2,N,2,2,N,3,10,1,N,2
2,4,2,1,6,7,59,1,N,2
1,N,1,2,0,3,13,1,N,2
2,1,1,1,3,5,47,1,N,2
1,6,2,0,0,7,30,3,N,2
1,1,2,1,8,9,64,1,N,2
1,N,1,1,N,2,10,1,N,2
1,6,1,1,1,7,26,1,N,2
2,4,2,1,6,7,69,1,N,2
2,1,1,1,8,11,58,1,N,2
2,6,2,0,2,5,56,3,N,2
1,N,1,1,0,2,0,1,N,2
2,6,1,2,7,9,37,1,N,2
2,1,1,1,8,11,74,1,N,2
1,6,2,1,0,5,43,1,N,2
2,6,2,2,0,4,20,1,N,2
1,1,1,1,8,9,55,1,N,2
2,1,1,1,2,9,61,1,N,2
1,1,1,1,6,7,51,1,N,2
2,6,1,0,2,5,66,3,N,2
2,6,1,0,0,3,52,3,N,2
2,3,1,2,2,5,71,1,N,2
2,N,1,1,N,3,54,1,N,2
2,6,2,1,0,4,22,1,N,2
2,1,1,1,3,5,63,1,N,2
2,6,1,0,0,4,48,3,N,2
2,3,1,1,3,5,86,1,N,2
1,1,2,2,6,5,58,1,N,2
2,N,6,1,0,3,12,1,N,2
1,6,1,0,1,7,34,3,N,2
1,1,1,1,6,10,57,1,N,2
1,6,2,0,0,7,24,3,N,2
2,1,1,1,7,10,85,1,N,2
1,6,1,0,1,7,21,3,N,2
1,1,2,2,7,9,62,1,N,2
2,1,8,2,0,5,52,1,N,2
1,1,1,1,8,10,74,1,N,2
2,4,1,1,7,9,67,1,N,2
1,6,1,2,0,3,3,1,N,2
2,1,1,1,8,11,49,1,N,2
1,6,1,1,1,7,25,1,N,2
2,6,2,1,2,4,66,1,N,2
1,6,1,2,5,9,41,1,N,2
2,6,2,1,2,5,35,1,N,2
2,6,1,2,0,4,10,1,N,2
1,6,2,1,4,7,26,1,N,2
1,1,1,1,8,10,80,1,N,2
1,N,2,0,0,3,10,3,N,2
1,1,6,1,8,10,64,1,N,2
2,1,1,1,3,9,62,1,N,2
1,6,6,2,6,9,27,1,N,2
1,6,1,0,0,4,48,2,N,2
2,1,1,2,8,9,38,1,N,2
2,6,1,2,7,10,28,1,N,2
2,6,2,0,0,7,31,3,N,2
2,6,2,1,4,7,39,1,N,2
2,N,8,2,0,1,7,1,N,2
2,6,2,2,0,3,18,1,N,2
2,3,1,1,7,9,77,1,N,2
1,1,1,1,7,10,54,1,N,2
1,N,1,2,0,1,8,1,N,2
1,6,6,2,5,9,26,1,N,2
1,1,1,1,8,10,70,1,N,2
2,N,6,1,N,1,4,1,N,2
2,1,2,1,3,5,62,1,N,2
2,N,6,1,0,3,8,1,N,2
1,6,1,2,8,9,34,1,N,2
1,6,1,0,0,7,38,2,N,2
2,1,2,2,4,5,44,1,N,2
2,1,2,1,0,5,46,1,N,2
2,6,2,2,7,9,47,1,N,2
1,6,1,1,0,4,12,1,N,2
2,6,1,2,2,5,56,1,N,2
1,1,1,1,8,9,53,1,N,2
1,1,2,1,6,7,77,1,N,2
2,1,1,1,8,9,49,1,N,2
1,6,2,2,0,4,16,1,N,2
2,4,2,2,8,7,60,1,N,2
1,N,2,2,0,N,1,1,N,2
1,6,6,2,8,11,38,1,N,2
2,1,8,2,0,5,45,1,N,2
2,1,2,2,4,5,60,1,N,2
1,6,2,1,8,9,54,1,N,2
1,6,1,2,0,4,30,1,N,2
2,1,1,1,0,3,72,1,N,2
2,N,1,1,N,N,68,1,N,2
1,6,1,1,0,4,20,1,N,2
2,N,2,2,0,3,12,1,N,2
1,1,1,2,8,9,24,1,N,2
