,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,20,2,5,2,2,2,N,10,0,1,15,6,2,4,1,197492.17131,9,501,48-02516,1,1,26,2,5,2,2,2,N,1,0,N,75000.0,8,501,61.53846153846154
1,25,2,2,2,2,2,N,8,0,1,12,4,0,10,1,93057.448008,8,501,48-02101,1,2,59,2,2,2,2,2,N,1,0,N,98000.0,8,501,76.92307692307693
2,9,2,5,2,2,N,N,3,1,1,N,N,2,5,2,N,N,200,48-02516,1,1,14,2,5,2,2,2,N,1,2,4,N,N,206,69.23076923076923
3,15,2,5,2,2,2,N,5,0,1,9,1,0,2,1,53163.95350349999,9,501,48-02516,1,1,46,2,5,2,2,2,N,1,0,3,280010.0,9,501,76.92307692307693
4,66,2,5,2,2,2,N,9,0,1,7,6,0,2,1,45744.5700411,0,368,48-02516,1,1,41,2,5,2,2,2,N,1,0,5,25000.0,4,501,61.53846153846154
5,64,2,6,2,2,2,N,5,0,1,N,3,4,N,1,30693.5358429,5,501,48-02515,1,1,82,2,6,2,2,1,N,1,0,N,0.0,0,0,53.84615384615385
6,10,2,2,2,2,2,N,1,0,1,N,N,0,5,1,N,N,128,48-02101,2,1,3,2,2,2,N,N,N,1,4,6,N,N,228,53.84615384615385
7,91,2,2,2,2,2,N,9,0,1,10,4,0,2,1,50630.931057,9,463,48-02102,1,1,51,2,2,2,2,2,N,1,1,3,70000.0,8,340,53.84615384615385
8,36,2,2,2,2,2,N,9,0,1,12,6,1,N,1,8990.4981684,0,215,48-02101,1,2,26,2,2,2,2,2,N,1,0,N,100000.0,9,501,61.53846153846154
9,30,2,2,2,2,2,N,7,0,1,11,1,3,5,2,57031.658754,4,275,48-02102,1,1,22,2,2,2,2,2,N,1,0,2,8000.0,2,47,53.84615384615385
10,45,2,5,2,1,2,N,5,0,1,6,1,0,2,2,494.2698915000001,0,410,48-02516,1,2,22,2,5,2,2,2,N,1,0,2,0.0,0,135,69.23076923076923
11,45,2,6,2,2,2,N,4,0,1,5,1,2,3,1,30285.597239100003,2,411,48-02515,1,1,60,2,6,2,2,2,N,1,0,4,40000.0,6,501,53.84615384615385
12,22,2,2,2,2,2,N,6,0,1,15,6,0,2,1,3209.4177905999986,7,283,48-02102,1,2,26,2,2,2,2,2,N,1,0,5,25000.0,4,501,61.53846153846154
13,16,2,6,2,2,2,N,9,0,1,12,6,2,3,2,10263.707433,0,501,48-02515,1,2,24,2,6,2,2,2,N,1,0,N,58000.0,7,437,53.84615384615385
14,44,2,5,2,2,2,N,9,0,1,10,6,0,3,1,-37.16283941999973,4,501,48-02516,1,2,23,2,5,2,2,2,N,1,0,4,12000.0,3,501,69.23076923076923
15,68,2,2,2,2,2,N,4,0,1,N,5,1,5,1,45245.890305,5,339,48-02102,1,1,52,2,2,2,2,2,N,1,0,2,14400.0,3,232,53.84615384615385
16,57,2,7,2,2,2,N,10,0,1,4,4,0,4,1,61965.41849400001,5,501,48-02510,1,2,53,2,7,2,2,2,N,1,0,2,150000.0,9,501,69.23076923076923
17,31,2,2,2,2,2,N,6,0,1,3,1,0,2,1,63516.432504,6,501,48-02102,1,2,43,2,2,2,2,2,N,1,0,4,32000.0,5,397,61.53846153846154
18,27,2,2,2,2,2,4,10,0,1,16,4,0,4,2,15576.795759,9,383,48-02102,1,2,66,1,2,2,1,2,N,1,0,N,30340.0,5,249,38.46153846153847
19,53,2,2,2,2,2,N,7,0,1,14,1,0,2,1,-75.35872805999952,7,327,48-02101,2,2,71,2,2,2,2,2,N,1,0,2,27020.0,5,453,69.23076923076923
20,8,2,5,2,2,2,N,3,0,1,N,N,3,6,2,N,N,39,48-02516,2,1,12,2,5,2,2,2,N,1,2,4,N,N,442,69.23076923076923
