,feature,divergence
11,INDP,45.91474953617805
16,POVPIP,10.246167037083
22,PWGTP,7.680420510263442
23,WGTP,7.278886527396194
1,AGEP,6.601247848537005
14,PINCP,6.035397477531107
15,PINCP_DECILE,4.525890742604057
12,INDP_CAT,4.143797581728617
10,DENSITY,2.0887051236994982
13,EDU,1.7158533207198075
7,NPF,1.452673107890499
6,NOC,0.8386366742455303
3,MSP,0.8292815994578109
0,PUMA,0.8147753789203389
5,RAC1P,0.5853403602426779
4,HISP,0.30683111351282627
17,DVET,0.27397831982633575
9,OWN_RENT,0.25649249701353316
2,SEX,0.1342869077903669
8,HOUSING_TYPE,0.06944590386436152
20,DEYE,0.05889724206908365
18,DREM,0.04149929621721346
21,DEAR,0.040682430105507025
19,DPHY,0.037596864963611185
