,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,58,2,0,5,0,4,1,9,501,25-02800,1,2,44,2,2,3,1,29,16.666666666666664
1,27,2,0,2,0,2,1,5,501,25-00503,2,2,35,2,0,2,3,165,50.0
2,32,2,0,6,2,4,1,6,501,25-02800,2,2,17,1,2,6,3,327,16.666666666666664
3,70,2,4,6,0,N,2,5,203,25-00703,1,2,27,2,0,2,4,323,33.33333333333333
4,5,2,0,N,2,3,1,N,501,25-01000,9,2,12,2,2,4,N,501,66.66666666666666
5,55,2,0,1,0,N,1,6,234,25-01000,8,1,47,2,2,4,7,276,16.666666666666664
6,87,1,2,1,3,5,1,2,501,25-01000,6,2,59,2,0,2,4,501,16.666666666666664
7,66,2,4,4,0,4,2,5,189,25-02800,1,2,48,2,0,3,4,324,33.33333333333333
8,9,2,4,N,2,4,1,N,501,25-00503,1,1,14,2,2,4,N,501,83.33333333333334
9,3,2,0,N,2,4,2,N,444,25-01000,2,1,0,2,1,3,N,226,33.33333333333333
10,51,2,2,1,1,5,1,7,501,25-01300,1,2,45,2,3,5,1,420,33.33333333333333
11,49,2,0,1,0,5,2,9,501,25-00503,2,1,44,2,0,2,0,207,33.33333333333333
12,4,2,4,N,1,3,1,N,34,25-00703,6,2,13,2,3,4,N,204,33.33333333333333
13,21,2,4,6,0,2,2,2,389,25-00703,1,1,27,2,0,N,7,501,33.33333333333333
14,24,2,4,6,0,4,0,0,N,25-00503,1,2,19,2,N,N,0,N,50.0
15,94,2,1,3,1,3,1,6,312,25-01000,1,2,71,2,0,N,7,501,16.666666666666664
16,52,2,0,2,0,4,1,5,214,25-02800,6,2,37,2,0,2,0,0,33.33333333333333
17,51,2,0,2,3,6,1,8,501,25-01300,6,1,46,2,0,N,9,501,33.33333333333333
18,61,2,4,3,0,2,1,7,501,25-01300,1,2,71,2,0,N,7,501,66.66666666666666
19,42,2,0,4,2,4,2,5,341,25-00703,6,2,46,2,4,5,1,8,16.666666666666664
20,15,2,0,6,2,4,0,0,N,25-02800,6,2,45,2,N,N,2,95,16.666666666666664
21,61,2,0,4,0,2,0,9,366,25-00703,1,1,45,2,N,N,1,20,16.666666666666664
22,73,2,0,4,0,N,1,5,38,25-02800,2,1,79,2,0,N,2,88,50.0
23,65,2,1,1,0,2,2,4,376,25-00703,1,1,43,2,3,5,3,176,16.666666666666664
24,76,2,2,1,0,3,2,8,501,25-01000,1,1,58,2,0,2,0,62,33.33333333333333
25,2,2,4,N,1,4,1,N,501,25-00703,6,1,8,2,3,4,N,204,50.0
26,65,2,0,6,0,5,2,6,47,25-00503,2,1,25,2,1,3,7,373,16.666666666666664
27,28,2,4,6,0,6,0,2,N,25-00703,1,2,19,2,N,N,1,N,33.33333333333333
28,87,1,2,1,0,4,2,5,2,25-01000,1,2,58,2,0,2,2,62,16.666666666666664
29,14,2,1,N,2,7,1,N,501,25-00703,1,1,10,2,1,3,N,501,50.0
30,41,2,4,1,2,4,2,5,283,25-00503,8,2,53,2,0,3,3,361,16.666666666666664
31,27,2,4,6,0,6,1,4,214,25-01000,2,2,15,2,1,3,0,501,16.666666666666664
32,63,2,0,4,0,N,1,2,44,25-00503,9,1,50,2,0,N,6,464,50.0
33,67,2,2,6,0,2,2,9,501,25-01000,1,2,26,2,0,N,4,206,33.33333333333333
34,8,2,1,N,2,3,2,N,301,25-00703,1,2,2,2,3,5,N,176,33.33333333333333
35,58,2,0,5,0,2,2,1,173,25-01300,1,2,50,2,1,2,6,353,33.33333333333333
36,79,2,0,2,0,2,0,3,N,25-01000,1,1,52,2,N,N,2,N,33.33333333333333
37,2,2,4,N,2,4,1,N,501,25-01300,1,2,12,2,0,2,N,222,33.33333333333333
38,18,2,0,6,1,3,1,2,501,25-01300,8,2,59,2,0,N,8,501,33.33333333333333
39,41,2,4,6,0,2,0,2,N,25-00703,8,2,16,2,N,N,0,N,33.33333333333333
40,94,2,0,3,0,2,1,3,499,25-00703,2,2,52,2,0,4,6,478,33.33333333333333
41,40,2,4,4,0,N,2,8,501,25-01000,1,1,68,2,0,N,4,212,50.0
42,61,2,4,6,0,4,1,6,501,25-01000,1,2,26,2,1,6,7,501,33.33333333333333
43,4,2,0,5,2,3,2,N,141,25-01000,1,1,65,2,0,N,5,313,16.666666666666664
44,42,2,4,1,0,3,2,6,501,25-01300,1,2,36,2,2,5,2,369,16.666666666666664
45,48,2,4,1,2,5,1,9,501,25-01000,2,2,46,2,1,3,6,501,33.33333333333333
46,11,2,0,N,3,6,2,5,18,25-01300,2,2,1,2,1,4,N,501,16.666666666666664
47,13,2,4,N,0,3,2,N,501,25-00703,1,1,0,2,3,4,N,15,33.33333333333333
48,53,2,1,1,1,2,2,9,501,25-00703,1,2,37,2,3,5,4,176,16.666666666666664
49,33,2,0,1,1,3,2,8,501,25-00703,2,1,38,2,2,4,6,374,16.666666666666664
50,23,2,0,6,0,2,2,2,496,25-01000,6,2,34,2,0,N,8,501,33.33333333333333
51,55,2,4,6,0,N,0,1,357,25-01300,1,1,20,2,N,N,0,N,33.33333333333333
52,55,2,2,1,0,N,1,9,501,25-00503,1,1,35,2,0,2,8,501,50.0
53,83,2,0,4,0,2,2,3,240,25-00703,9,2,50,2,3,4,4,105,16.666666666666664
54,74,2,0,4,0,2,2,8,501,25-00503,8,2,62,2,0,N,8,501,66.66666666666666
55,6,2,0,4,3,5,1,N,467,25-01000,6,2,63,2,0,N,3,127,16.666666666666664
56,83,2,0,4,0,2,1,1,18,25-01000,9,2,64,2,0,4,8,501,33.33333333333333
57,36,2,0,1,4,3,2,4,464,25-00703,9,2,54,2,0,2,5,501,16.666666666666664
58,26,2,3,6,0,2,1,6,501,25-00703,1,2,27,2,0,N,8,501,50.0
59,15,2,0,6,3,5,0,1,N,25-02800,2,2,63,2,N,N,2,55,16.666666666666664
60,38,2,0,1,1,3,2,3,501,25-02800,8,2,46,2,0,2,4,376,16.666666666666664
61,47,2,0,2,2,3,1,9,501,25-00703,6,1,49,2,0,N,0,0,16.666666666666664
62,14,2,1,N,2,4,1,N,501,25-00503,1,1,3,2,0,4,N,501,66.66666666666666
