SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,6,9.0,0,0,7,18,3,N,2
1,6,1.0,0,4,7,27,3,N,2
1,6,1.0,0,0,7,22,3,N,2
2,6,1.0,0,0,7,18,3,N,2
1,6,1.0,0,0,7,20,3,N,2
1,6,2.0,0,0,7,20,3,N,2
2,6,1.0,0,0,7,21,3,N,2
2,6,1.0,0,0,7,21,3,N,2
2,6,6.0,0,2,5,83,2,N,2
1,6,2.0,0,5,5,62,2,N,2
1,6,1.0,0,0,7,21,3,N,2
2,6,1.0,0,2,7,19,3,N,2
2,6,1.0,0,0,7,18,3,N,2
2,6,9.0,0,0,7,18,3,N,2
2,6,1.0,0,1,7,21,3,N,2
2,2,1.0,0,0,7,28,3,N,2
1,6,2.0,0,3,3,66,2,N,2
1,4,2.0,0,5,5,79,2,N,2
1,6,2.0,0,4,4,57,2,N,2
1,4,2.0,0,1,4,66,2,N,2
1,6,1.0,0,0,7,20,3,N,2
1,6,2.0,0,1,5,66,2,N,1
1,6,2.0,0,1,5,66,2,N,1
1,6,1.0,0,0,7,19,3,N,2
1,4,1.0,0,1,5,25,3,N,2
2,6,1.0,0,0,7,21,3,N,2
2,6,1.0,0,0,7,19,3,N,2
1,6,2.0,0,1,6,42,2,N,2
1,6,1.0,0,2,4,44,3,N,2
1,4,1.0,0,4,5,32,3,N,2
1,6,9.0,0,0,4,17,2,N,2
1,6,1.0,0,1,5,53,3,N,2
2,6,1.0,0,1,7,21,3,N,2
2,6,1.0,0,0,7,20,3,N,2
2,6,1.0,0,1,7,21,3,N,2
1,6,1.0,0,4,7,27,3,N,2
1,6,2.0,0,3,5,61,3,N,2
1,6,1.0,0,0,7,20,3,N,2
1,4,2.0,0,2,4,69,3,N,2
1,4,2.0,0,5,5,79,2,N,2
2,6,1.0,0,1,7,21,3,N,2
1,6,2.0,0,5,9,70,2,N,2
2,6,1.0,0,1,7,21,3,N,2
1,6,1.0,0,0,7,21,3,N,2
2,6,1.0,0,0,7,18,3,N,2
1,6,1.0,0,0,5,39,3,N,2
1,6,9.0,0,0,7,18,3,N,2
1,6,2.0,0,0,7,21,3,N,2
2,6,1.0,0,0,7,18,3,N,2
1,6,2.0,0,0,7,20,3,N,2
2,6,1.0,0,0,7,19,3,N,2
2,6,1.0,0,2,7,27,3,N,2
2,6,1.0,0,2,7,19,3,N,2
1,6,1.0,0,0,7,20,3,N,2
2,6,2.0,0,2,5,30,2,N,2
2,6,6.0,0,2,5,83,2,N,2
2,6,1.0,0,0,7,21,3,N,2
1,6,1.0,0,0,7,20,3,N,2
1,2,1.0,0,3,5,48,2,N,2
1,6,2.0,0,0,7,18,3,N,2
2,6,1.0,0,0,7,18,3,N,2
2,6,2.0,0,0,7,18,3,N,2
2,3,1.0,0,2,3,56,2,N,2
1,6,1.0,0,1,5,53,3,N,2
1,6,1.0,0,0,7,20,3,N,2
1,6,2.0,0,2,3,93,2,N,2
2,6,2.0,0,2,5,30,2,N,2
1,6,2.0,0,0,7,21,3,N,2
1,6,1.0,0,0,7,18,3,N,2
1,1,2.0,1,9,9,66,1,N,2
2,1,2.0,1,3,7,63,1,N,2
2,5,2.0,2,6,8,41,1,N,2
2,6,2.0,1,2,7,24,1,N,2
2,4,2.0,1,0,7,61,1,N,2
2,6,2.0,1,2,5,33,1,N,2
2,6,2.0,2,0,5,64,1,N,2
2,6,2.0,1,1,7,65,1,N,2
1,6,2.0,1,3,5,19,1,N,2
1,1,2.0,1,4,7,63,1,5,1
2,1,2.0,1,4,10,59,1,N,2
2,3,2.0,1,6,5,69,1,N,2
2,3,2.0,2,1,7,60,1,N,2
2,3,1.0,1,4,5,86,1,N,2
2,2,1.0,1,4,10,68,1,N,2
2,6,1.0,1,2,7,43,1,N,2
1,1,2.0,1,8,9,57,1,N,2
2,1,2.0,1,7,5,60,1,N,2
1,6,2.0,1,7,9,35,1,N,2
1,1,2.0,1,6,7,71,1,N,2
2,1,2.0,1,4,5,71,1,N,2
2,4,1.0,2,5,7,44,1,N,2
1,6,2.0,2,4,5,47,1,N,2
2,5,2.0,2,1,4,36,1,N,2
2,4,2.0,1,3,7,61,1,N,2
1,6,2.0,1,0,7,55,1,N,2
1,1,2.0,1,6,9,36,1,N,2
2,1,2.0,1,8,10,33,1,N,2
1,1,2.0,1,8,5,74,1,5,2
2,1,2.0,1,4,9,68,1,N,2
2,2,2.0,1,5,5,93,1,N,2
2,4,2.0,1,5,7,70,1,N,2
2,3,2.0,2,3,7,66,1,N,2
1,4,2.0,2,4,7,52,1,N,2
1,6,2.0,2,2,5,51,1,N,2
1,4,2.0,2,6,5,60,1,N,2
2,6,2.0,2,4,5,53,1,N,2
1,1,2.0,1,6,7,72,1,N,2
2,1,2.0,1,7,9,72,1,N,2
2,6,8.0,1,0,4,18,1,N,2
2,4,2.0,1,6,7,79,1,N,2
2,6,3.0,2,2,4,30,1,N,2
2,4,2.0,2,8,9,51,1,N,2
1,1,2.0,1,7,3,76,1,N,2
2,1,2.0,1,2,7,74,1,N,2
2,6,2.0,1,1,5,25,1,N,2
2,3,2.0,2,3,5,70,1,N,2
1,3,2.0,2,3,5,87,1,N,1
1,1,2.0,1,7,7,71,1,2,2
2,1,2.0,1,2,8,72,1,N,2
2,4,2.0,1,2,10,40,1,N,2
2,4,2.0,2,5,7,45,1,N,2
1,6,2.0,2,1,7,19,1,N,2
2,6,2.0,1,2,8,66,1,N,2
2,6,2.0,2,5,8,30,1,N,2
1,6,2.0,1,0,7,57,1,N,2
1,6,2.0,1,3,5,59,1,N,2
2,3,1.0,1,3,4,87,1,N,2
1,4,1.0,1,4,5,62,1,N,2
2,2,2.0,1,3,5,62,1,N,2
1,6,2.0,1,7,5,29,1,N,2
2,3,2.0,1,6,5,60,1,N,2
2,1,2.0,2,8,8,48,1,N,2
1,1,2.0,2,3,5,60,1,N,2
2,4,2.0,2,5,7,27,1,N,2
1,6,2.0,2,2,5,36,1,N,2
2,4,2.0,1,2,5,68,1,N,2
2,3,2.0,1,4,8,74,1,N,2
2,4,2.0,1,7,7,45,1,5,2
2,4,2.0,2,2,3,53,1,N,2
2,4,2.0,2,5,6,63,1,N,2
1,1,2.0,2,9,6,56,1,N,2
2,1,1.0,2,2,4,42,1,N,2
1,6,2.0,2,1,4,17,1,N,1
1,6,2.0,2,0,3,15,1,N,2
2,6,2.0,2,1,4,17,1,N,2
1,4,2.0,2,8,5,75,1,N,2
2,3,2.0,2,3,4,81,1,N,1
2,1,2.0,2,2,5,42,1,N,2
1,1,2.0,2,5,5,44,1,N,2
2,6,2.0,2,3,5,20,1,N,2
2,5,2.0,2,5,5,49,1,N,2
1,3,2.0,1,2,8,84,1,N,2
2,3,2.0,1,3,8,62,1,N,2
2,3,2.0,1,2,7,44,1,N,2
2,6,2.0,1,3,8,62,1,N,2
2,3,2.0,1,4,7,72,1,N,2
1,1,2.0,1,9,11,70,1,N,2
2,1,2.0,1,3,10,64,1,N,2
1,3,2.0,1,4,5,68,1,N,2
2,6,2.0,1,6,5,68,1,N,2
1,5,2.0,1,4,5,50,1,N,2
1,2,2.0,1,4,7,76,1,N,2
2,3,2.0,1,4,8,84,1,N,2
1,6,2.0,1,5,5,69,1,N,2
2,1,2.0,1,8,9,55,1,N,2
1,1,2.0,1,2,5,63,1,N,2
1,6,2.0,1,0,1,25,1,N,2
2,6,2.0,2,6,4,41,1,N,2
2,6,2.0,2,1,4,19,1,N,2
1,6,2.0,2,0,5,17,1,N,2
2,6,2.0,1,0,4,47,1,N,2
1,6,2.0,1,2,5,60,1,N,2
1,1,2.0,2,5,5,49,1,N,2
2,1,2.0,2,2,5,49,1,N,2
2,2,2.0,2,3,5,59,1,N,2
2,4,2.0,1,4,5,70,1,N,2
1,1,2.0,1,4,7,70,1,N,2
2,1,2.0,1,3,5,68,1,N,2
1,4,2.0,1,5,7,70,1,N,2
2,6,2.0,1,2,5,68,1,N,2
2,6,2.0,2,4,9,38,1,N,2
1,1,2.0,1,0,7,62,1,N,2
2,1,2.0,1,4,8,63,1,N,2
2,5,2.0,2,3,6,68,1,N,2
1,4,2.0,2,6,9,68,1,N,2
2,4,2.0,1,5,8,61,1,N,2
2,4,2.0,1,5,8,41,1,N,2
1,6,2.0,1,1,5,18,1,N,2
1,4,2.0,2,8,7,36,1,5,2
1,6,2.0,2,0,4,17,1,N,2
1,3,2.0,1,4,7,65,1,3,2
1,1,2.0,1,5,5,63,1,N,2
2,1,2.0,1,3,5,62,1,N,1
1,6,2.0,1,5,9,68,1,N,2
2,1,2.0,1,3,8,80,1,N,2
1,1,2.0,1,5,8,81,1,N,2
2,4,2.0,1,8,10,59,1,N,2
1,6,2.0,1,1,7,23,1,N,2
1,4,2.0,1,0,7,53,1,N,2
1,6,2.0,1,0,7,23,1,N,2
2,4,2.0,2,5,6,74,1,N,1
2,4,2.0,1,7,5,71,1,N,2
2,6,2.0,1,0,5,30,1,N,2
2,4,2.0,2,3,7,68,1,N,2
1,4,2.0,2,2,8,53,1,N,2
2,6,2.0,2,0,8,35,1,N,2
1,1,1.0,1,2,8,28,1,N,2
2,1,1.0,1,2,7,26,1,N,2
1,6,1.0,1,4,5,28,1,N,2
1,6,1.0,1,2,7,27,1,N,2
2,4,2.0,1,5,5,64,1,N,2
1,6,2.0,1,6,9,39,1,N,2
1,6,2.0,2,2,4,44,1,N,2
2,6,2.0,2,0,5,32,1,N,2
1,6,2.0,2,1,5,48,1,N,2
2,4,2.0,1,8,9,64,1,N,2
1,6,2.0,1,7,5,27,1,N,2
2,1,1.0,1,7,7,77,1,N,2
1,1,1.0,1,4,6,82,1,N,2
1,6,1.0,1,2,5,75,1,N,2
2,6,1.0,1,6,9,64,1,N,2
2,6,2.0,2,0,5,33,1,N,1
2,5,2.0,1,5,7,31,1,N,2
2,4,2.0,1,6,7,48,1,N,2
1,3,2.0,1,5,7,71,1,5,2
2,6,2.0,2,2,7,43,1,N,2
1,6,2.0,2,3,7,20,1,N,2
2,4,2.0,1,6,8,38,1,N,1
1,6,2.0,1,7,4,44,1,N,2
2,6,2.0,1,1,4,16,1,N,2
2,2,2.0,2,2,9,30,1,N,2
1,2,2.0,1,8,5,69,1,2,2
2,1,2.0,1,4,7,54,1,N,2
1,1,2.0,1,5,5,69,1,N,2
2,1,1.0,1,7,9,70,1,N,2
1,1,1.0,1,5,5,74,1,N,2
1,4,2.0,1,9,9,47,1,N,2
