SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,1.0,2.0,9,9,0.0,06-07502,8
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
1.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,1.0,1.0,9,9,0.0,06-07502,9
1.0,1,6.0,1.0,9,10,0.0,06-08507,4
2.0,1,6.0,1.0,9,10,0.0,06-08507,10
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
1.0,6,1.0,2.0,9,9,0.0,06-07502,10
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
1.0,1,1.0,1.0,9,9,0.0,06-08507,10
1.0,6,6.0,2.0,0,4,0.0,06-08507,N
1.0,6,1.0,2.0,9,9,0.0,06-07502,8
1.0,6,1.0,2.0,9,10,0.0,06-07502,10
1.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,6.0,1.0,9,12,0.0,06-08507,4
2.0,1,6.0,1.0,0,9,0.0,06-08507,N
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
2.0,1,1.0,1.0,0,9,0.0,06-08507,N
2.0,1,6.0,1.0,9,10,0.0,06-08507,4
1.0,1,6.0,1.0,9,12,0.0,06-08507,4
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
2.0,6,1.0,2.0,8,9,0.0,06-07502,6
1.0,1,6.0,2.0,9,10,0.0,06-08507,10
2.0,1,1.0,1.0,0,9,0.0,06-08507,N
1.0,1,1.0,1.0,9,9,0.0,06-08507,10
2.0,1,6.0,1.0,0,10,0.0,06-08507,N
1.0,1,1.0,1.0,9,9,0.0,06-08507,4
1.0,1,6.0,1.0,9,12,0.0,06-08507,4
2.0,1,6.0,1.0,9,10,0.0,06-08507,4
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
1.0,1,1.0,1.0,9,9,0.0,06-08507,10
1.0,1,6.0,1.0,9,12,0.0,06-08507,10
2.0,1,6.0,1.0,9,10,0.0,06-08507,4
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,6.0,1.0,9,10,0.0,06-08507,10
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,6.0,2.0,9,10,0.0,06-08507,10
1.0,1,6.0,2.0,9,10,0.0,06-08507,10
2.0,6,1.0,2.0,9,9,0.0,06-07502,10
1.0,6,1.0,2.0,9,9,0.0,06-07502,10
1.0,6,1.0,2.0,9,10,0.0,06-07502,10
1.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
2.0,1,6.0,1.0,9,10,0.0,06-08507,10
1.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,6.0,1.0,9,10,0.0,06-08507,10
2.0,1,1.0,1.0,0,9,0.0,06-08507,N
1.0,1,6.0,1.0,9,12,0.0,06-08507,4
2.0,1,6.0,1.0,9,10,0.0,06-08507,4
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
1.0,1,6.0,1.0,9,10,0.0,06-08507,10
2.0,1,6.0,1.0,0,9,0.0,06-08507,N
1.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
2.0,1,6.0,2.0,0,9,0.0,06-08507,N
1.0,1,1.0,1.0,9,9,0.0,06-07502,9
2.0,6,1.0,2.0,8,9,0.0,06-07502,6
2.0,1,1.0,2.0,9,10,0.0,06-07502,10
1.0,6,1.0,1.0,0,4,0.0,06-08507,N
2.0,1,1.0,1.0,0,9,0.0,06-08507,N
1.0,6,1.0,2.0,9,9,0.0,06-07502,10
1.0,1,6.0,1.0,9,12,0.0,06-08507,10
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
2.0,1,6.0,1.0,0,9,0.0,06-08507,N
1.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
2.0,1,1.0,2.0,9,9,0.0,06-07502,10
1.0,1,1.0,2.0,9,10,0.0,06-08507,4
1.0,6,1.0,2.0,0,4,0.0,06-08507,N
1.0,6,1.0,2.0,9,9,0.0,06-07502,8
2.0,6,1.0,2.0,8,9,0.0,06-07502,6
1.0,6,1.0,2.0,0,4,0.0,06-08507,N
2.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,6.0,1.0,9,10,0.0,06-08507,10
1.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,6.0,1.0,9,10,0.0,06-08507,4
1.0,1,6.0,2.0,9,10,0.0,06-08507,10
1.0,1,6.0,1.0,9,9,0.0,06-08507,10
2.0,1,6.0,1.0,0,10,0.0,06-08507,N
1.0,1,6.0,1.0,9,12,0.0,06-08507,10
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
1.0,1,1.0,1.0,9,9,0.0,06-08507,10
1.0,1,6.0,1.0,9,10,0.0,06-08507,4
2.0,1,6.0,1.0,0,10,0.0,06-08507,N
