SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,2,7,0.0,01-01301,11
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,1,7,0.0,01-01301,11
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,1,7,0.0,01-01301,11
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,1,7,0.0,01-01301,11
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,1,7,0.0,01-01301,11
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,2,7,0.0,01-01301,11
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
2.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,6,1.0,0.0,0,7,0.0,01-01301,N
1.0,1,2.0,1.0,4,7,0.0,01-01301,N
2.0,3,2.0,1.0,6,5,0.0,01-01301,N
1.0,1,2.0,1.0,6,7,0.0,01-01301,N
2.0,1,2.0,1.0,4,5,0.0,01-01301,N
1.0,1,2.0,1.0,6,7,0.0,01-01301,N
1.0,1,2.0,1.0,7,7,0.0,01-01301,N
2.0,3,2.0,1.0,6,5,0.0,01-01301,N
2.0,6,2.0,2.0,3,5,0.0,01-01301,N
2.0,3,2.0,1.0,2,7,0.0,01-01301,N
2.0,3,2.0,1.0,4,7,0.0,01-01301,N
1.0,1,2.0,1.0,4,7,0.0,01-01301,N
2.0,1,2.0,1.0,3,5,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
2.0,6,2.0,2.0,0,5,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
2.0,3,2.0,1.0,4,5,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,6,2.0,2.0,2,4,0.0,01-01301,N
2.0,3,2.0,1.0,6,7,0.0,01-01301,N
1.0,1,2.0,1.0,5,7,0.0,01-01301,N
2.0,6,2.0,2.0,0,5,0.0,01-01301,N
2.0,6,2.0,2.0,0,5,0.0,01-01301,N
2.0,6,2.0,2.0,0,5,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
2.0,1,2.0,1.0,2,5,0.0,01-01301,N
2.0,3,2.0,1.0,1,5,0.0,01-01301,N
2.0,3,2.0,1.0,5,7,0.0,01-01301,N
2.0,3,2.0,1.0,3,7,0.0,01-01301,N
2.0,3,2.0,1.0,5,7,0.0,01-01301,N
2.0,6,2.0,2.0,2,5,0.0,01-01301,N
2.0,3,2.0,1.0,4,5,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
1.0,1,2.0,1.0,1,7,0.0,01-01301,N
2.0,1,2.0,1.0,4,5,0.0,01-01301,N
2.0,3,2.0,1.0,4,5,0.0,01-01301,N
2.0,1,2.0,1.0,6,5,0.0,01-01301,N
2.0,3,2.0,1.0,6,7,0.0,01-01301,N
2.0,3,2.0,1.0,5,7,0.0,01-01301,N
2.0,6,2.0,2.0,2,5,0.0,01-01301,N
1.0,6,2.0,2.0,0,4,0.0,01-01301,N
2.0,1,2.0,1.0,5,5,0.0,01-01301,N
2.0,3,2.0,1.0,3,5,0.0,01-01301,N
1.0,1,2.0,1.0,4,7,0.0,01-01301,N
2.0,1,2.0,1.0,2,5,0.0,01-01301,N
2.0,6,2.0,2.0,2,5,0.0,01-01301,N
2.0,3,2.0,1.0,4,5,0.0,01-01301,N
2.0,3,2.0,1.0,5,7,0.0,01-01301,N
1.0,6,2.0,2.0,3,4,0.0,01-01301,N
1.0,6,1.0,2.0,9,9,0.0,06-07502,8
1.0,6,1.0,2.0,8,9,0.0,06-07502,9
1.0,1,1.0,1.0,9,9,0.0,06-08507,N
1.0,1,6.0,1.0,9,9,0.0,06-08507,4
2.0,1,6.0,1.0,8,10,0.0,06-08507,11
1.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,1.0,1.0,9,12,0.0,06-08507,4
2.0,1,1.0,1.0,0,10,0.0,06-08507,N
1.0,1,1.0,1.0,9,9,0.0,06-07502,9
2.0,3,6.0,2.0,2,3,0.0,06-07502,N
1.0,1,6.0,1.0,9,10,0.0,06-08507,4
2.0,1,6.0,1.0,9,10,0.0,06-08507,10
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
2.0,1,1.0,1.0,6,9,0.0,06-08507,11
2.0,3,1.0,1.0,1,7,0.0,06-08507,N
1.0,6,1.0,2.0,7,9,0.0,06-07502,10
1.0,6,1.0,2.0,9,9,0.0,06-07502,10
2.0,1,6.0,1.0,7,9,0.0,06-08507,4
1.0,1,1.0,1.0,4,10,0.0,06-08507,N
2.0,1,1.0,1.0,2,9,0.0,06-08507,N
1.0,6,1.0,2.0,7,9,0.0,06-07502,9
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
2.0,1,1.0,1.0,4,9,0.0,06-08507,10
1.0,1,1.0,1.0,9,9,0.0,06-08507,10
1.0,6,6.0,2.0,0,4,0.0,06-08507,N
1.0,6,1.0,2.0,9,9,0.0,06-07502,8
2.0,1,6.0,1.0,5,9,0.0,06-08507,10
1.0,6,1.0,2.0,7,9,0.0,06-07502,10
1.0,6,1.0,2.0,7,9,0.0,06-07502,10
1.0,1,6.0,1.0,8,10,0.0,06-08507,N
1.0,6,1.0,2.0,9,10,0.0,06-07502,10
1.0,6,1.0,2.0,8,9,0.0,06-07502,10
1.0,1,6.0,1.0,9,12,0.0,06-08507,4
2.0,1,6.0,1.0,0,9,0.0,06-08507,N
1.0,1,1.0,1.0,9,10,0.0,06-08507,10
2.0,1,1.0,1.0,0,9,0.0,06-08507,N
2.0,1,6.0,1.0,9,10,0.0,06-08507,4
1.0,1,6.0,1.0,9,12,0.0,06-08507,4
2.0,6,6.0,1.0,0,4,0.0,06-08507,N
