SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
1.0,6,1.0,0.0,0,7,22,3.0,N,2.0
2.0,6,1.0,0.0,0,7,18,3.0,N,2.0
1.0,6,1.0,0.0,0,7,20,3.0,N,2.0
1.0,6,2.0,0.0,0,7,20,3.0,N,2.0
2.0,6,1.0,0.0,0,7,21,3.0,N,2.0
2.0,6,1.0,0.0,0,7,21,3.0,N,2.0
1.0,6,1.0,0.0,0,7,21,3.0,N,2.0
2.0,6,1.0,0.0,2,7,19,3.0,N,2.0
2.0,6,1.0,0.0,0,7,18,3.0,N,2.0
2.0,6,1.0,0.0,1,7,21,3.0,N,2.0
1.0,6,1.0,0.0,0,7,20,3.0,N,2.0
1.0,6,1.0,0.0,0,7,19,3.0,N,2.0
2.0,6,1.0,0.0,0,7,21,3.0,N,2.0
2.0,6,1.0,0.0,0,7,19,3.0,N,2.0
1.0,6,1.0,0.0,1,5,53,3.0,N,2.0
2.0,6,1.0,0.0,1,7,21,3.0,N,2.0
2.0,6,1.0,0.0,0,7,20,3.0,N,2.0
2.0,6,1.0,0.0,1,7,21,3.0,N,2.0
1.0,6,1.0,0.0,0,7,20,3.0,N,2.0
2.0,6,1.0,0.0,1,7,21,3.0,N,2.0
2.0,6,1.0,0.0,1,7,21,3.0,N,2.0
1.0,6,1.0,0.0,0,7,21,3.0,N,2.0
2.0,6,1.0,0.0,0,7,18,3.0,N,2.0
1.0,6,1.0,0.0,0,5,39,3.0,N,2.0
1.0,6,2.0,0.0,0,7,21,3.0,N,2.0
2.0,6,1.0,0.0,0,7,18,3.0,N,2.0
1.0,6,2.0,0.0,0,7,20,3.0,N,2.0
2.0,6,1.0,0.0,0,7,19,3.0,N,2.0
2.0,6,1.0,0.0,2,7,27,3.0,N,2.0
2.0,6,1.0,0.0,2,7,19,3.0,N,2.0
1.0,6,1.0,0.0,0,7,20,3.0,N,2.0
2.0,6,1.0,0.0,0,7,21,3.0,N,2.0
1.0,6,1.0,0.0,0,7,20,3.0,N,2.0
1.0,6,2.0,0.0,0,7,18,3.0,N,2.0
2.0,6,1.0,0.0,0,7,18,3.0,N,2.0
2.0,6,2.0,0.0,0,7,18,3.0,N,2.0
1.0,6,1.0,0.0,1,5,53,3.0,N,2.0
1.0,6,1.0,0.0,0,7,20,3.0,N,2.0
1.0,6,2.0,0.0,0,7,21,3.0,N,2.0
1.0,6,1.0,0.0,0,7,18,3.0,N,2.0
1.0,1,2.0,1.0,9,9,66,1.0,N,2.0
2.0,1,2.0,1.0,3,7,63,1.0,N,2.0
2.0,6,2.0,1.0,2,7,24,1.0,N,2.0
2.0,6,2.0,1.0,2,5,33,1.0,N,2.0
2.0,6,2.0,2.0,0,5,64,1.0,N,2.0
2.0,6,2.0,1.0,1,7,65,1.0,N,2.0
1.0,6,2.0,1.0,3,5,19,1.0,N,2.0
2.0,3,1.0,1.0,4,5,86,1.0,N,2.0
1.0,6,2.0,1.0,7,9,35,1.0,N,2.0
1.0,1,2.0,1.0,6,7,71,1.0,N,2.0
2.0,1,2.0,1.0,4,5,71,1.0,N,2.0
1.0,6,2.0,1.0,0,7,55,1.0,N,2.0
2.0,1,2.0,1.0,8,10,33,1.0,N,2.0
2.0,4,2.0,1.0,5,7,70,1.0,N,2.0
1.0,6,2.0,2.0,2,5,51,1.0,N,2.0
2.0,6,2.0,2.0,4,5,53,1.0,N,2.0
1.0,1,2.0,1.0,6,7,72,1.0,N,2.0
2.0,1,2.0,1.0,7,9,72,1.0,N,2.0
2.0,4,2.0,1.0,6,7,79,1.0,N,2.0
2.0,4,2.0,2.0,5,7,45,1.0,N,2.0
1.0,6,2.0,2.0,1,7,19,1.0,N,2.0
1.0,6,2.0,1.0,0,7,57,1.0,N,2.0
1.0,6,2.0,1.0,3,5,59,1.0,N,2.0
1.0,4,1.0,1.0,4,5,62,1.0,N,2.0
1.0,6,2.0,1.0,7,5,29,1.0,N,2.0
2.0,4,2.0,2.0,5,7,27,1.0,N,2.0
1.0,6,2.0,2.0,2,5,36,1.0,N,2.0
2.0,6,2.0,2.0,1,4,17,1.0,N,2.0
1.0,1,2.0,2.0,5,5,44,1.0,N,2.0
2.0,6,2.0,2.0,3,5,20,1.0,N,2.0
2.0,6,2.0,2.0,1,4,19,1.0,N,2.0
1.0,6,2.0,2.0,0,5,17,1.0,N,2.0
2.0,6,2.0,1.0,0,4,47,1.0,N,2.0
1.0,6,2.0,1.0,2,5,60,1.0,N,2.0
1.0,1,2.0,2.0,5,5,49,1.0,N,2.0
1.0,1,2.0,1.0,4,7,70,1.0,N,2.0
2.0,1,2.0,1.0,3,5,68,1.0,N,2.0
2.0,6,2.0,1.0,2,5,68,1.0,N,2.0
2.0,6,2.0,2.0,4,9,38,1.0,N,2.0
1.0,6,2.0,2.0,0,4,17,1.0,N,2.0
2.0,4,2.0,1.0,8,10,59,1.0,N,2.0
1.0,6,2.0,1.0,1,7,23,1.0,N,2.0
1.0,6,2.0,1.0,0,7,23,1.0,N,2.0
2.0,6,2.0,1.0,0,5,30,1.0,N,2.0
2.0,4,2.0,2.0,3,7,68,1.0,N,2.0
2.0,1,1.0,1.0,2,7,26,1.0,N,2.0
1.0,6,1.0,1.0,4,5,28,1.0,N,2.0
1.0,6,1.0,1.0,2,7,27,1.0,N,2.0
1.0,6,2.0,1.0,6,9,39,1.0,N,2.0
1.0,6,2.0,2.0,2,4,44,1.0,N,2.0
2.0,6,2.0,2.0,0,5,32,1.0,N,2.0
1.0,6,2.0,2.0,1,5,48,1.0,N,2.0
1.0,6,2.0,1.0,7,5,27,1.0,N,2.0
2.0,1,1.0,1.0,7,7,77,1.0,N,2.0
1.0,6,1.0,1.0,2,5,75,1.0,N,2.0
2.0,6,1.0,1.0,6,9,64,1.0,N,2.0
2.0,4,2.0,1.0,6,7,48,1.0,N,2.0
2.0,6,2.0,2.0,2,7,43,1.0,N,2.0
1.0,6,2.0,2.0,3,7,20,1.0,N,2.0
2.0,6,2.0,1.0,1,4,16,1.0,N,2.0
2.0,1,1.0,1.0,7,9,70,1.0,N,2.0
1.0,1,1.0,1.0,5,5,74,1.0,N,2.0
1.0,6,2.0,2.0,0,4,17,1.0,N,2.0
2.0,6,1.0,1.0,1,5,49,1.0,N,2.0
1.0,1,1.0,1.0,6,5,49,1.0,N,2.0
2.0,1,1.0,1.0,0,5,45,1.0,N,2.0
1.0,6,2.0,1.0,0,5,22,1.0,N,2.0
1.0,6,2.0,2.0,0,4,18,1.0,N,2.0
2.0,1,2.0,1.0,8,10,72,1.0,N,2.0
1.0,6,2.0,2.0,3,7,63,1.0,N,2.0
2.0,1,2.0,1.0,3,7,69,1.0,N,2.0
2.0,6,2.0,1.0,2,7,19,1.0,N,2.0
1.0,6,2.0,1.0,0,4,16,1.0,N,2.0
1.0,6,2.0,1.0,2,4,15,1.0,N,2.0
2.0,1,2.0,1.0,5,7,57,1.0,N,2.0
1.0,6,2.0,1.0,4,7,28,1.0,N,2.0
2.0,6,2.0,2.0,0,5,33,1.0,N,2.0
1.0,6,2.0,1.0,6,9,30,1.0,N,2.0
1.0,1,2.0,2.0,5,5,38,1.0,N,2.0
2.0,6,2.0,2.0,4,5,35,1.0,N,2.0
2.0,6,2.0,2.0,3,4,64,1.0,N,2.0
1.0,6,2.0,2.0,0,5,26,1.0,N,2.0
2.0,6,2.0,2.0,0,5,51,1.0,N,2.0
2.0,6,2.0,2.0,4,5,38,1.0,N,2.0
2.0,1,2.0,1.0,5,7,64,1.0,N,2.0
1.0,6,2.0,1.0,0,4,16,1.0,N,2.0
1.0,6,2.0,1.0,7,5,42,1.0,N,2.0
2.0,3,1.0,1.0,3,5,87,1.0,N,2.0
2.0,4,2.0,1.0,5,7,70,1.0,N,2.0
1.0,1,2.0,1.0,6,7,39,1.0,N,2.0
2.0,1,2.0,1.0,5,7,39,1.0,N,2.0
2.0,6,2.0,2.0,0,5,18,1.0,N,2.0
1.0,6,2.0,2.0,0,4,16,1.0,N,2.0
2.0,4,2.0,1.0,4,7,70,1.0,N,2.0
2.0,1,2.0,1.0,6,7,74,1.0,N,2.0
2.0,6,2.0,2.0,4,8,49,1.0,N,2.0
2.0,6,2.0,2.0,8,9,51,1.0,N,2.0
2.0,6,2.0,2.0,3,4,79,1.0,N,2.0
1.0,1,2.0,1.0,9,9,54,1.0,N,2.0
2.0,1,2.0,1.0,6,7,53,1.0,N,2.0
2.0,1,2.0,1.0,2,5,71,1.0,N,2.0
2.0,6,2.0,1.0,2,4,20,1.0,N,2.0
1.0,6,2.0,1.0,0,7,40,1.0,N,2.0
2.0,6,2.0,1.0,2,7,22,1.0,N,2.0
2.0,6,2.0,1.0,1,4,16,1.0,N,2.0
2.0,6,2.0,1.0,0,7,61,1.0,N,2.0
2.0,6,2.0,2.0,2,5,60,1.0,N,2.0
2.0,6,2.0,2.0,3,7,41,1.0,N,2.0
1.0,6,2.0,2.0,4,7,22,1.0,N,2.0
1.0,6,1.0,2.0,4,7,21,1.0,N,2.0
2.0,1,2.0,1.0,4,5,58,1.0,N,2.0
1.0,1,2.0,1.0,6,5,42,1.0,N,2.0
1.0,6,2.0,1.0,2,5,21,1.0,N,2.0
1.0,6,2.0,1.0,0,5,18,1.0,N,2.0
1.0,6,2.0,1.0,0,4,15,1.0,N,2.0
2.0,6,2.0,2.0,2,7,32,1.0,N,2.0
2.0,6,2.0,2.0,6,7,28,1.0,N,2.0
1.0,1,2.0,1.0,6,7,39,1.0,N,2.0
2.0,4,2.0,1.0,4,7,61,1.0,N,2.0
2.0,6,2.0,1.0,3,7,27,1.0,N,2.0
1.0,1,2.0,1.0,9,10,61,1.0,N,2.0
2.0,1,2.0,1.0,3,5,71,1.0,N,2.0
1.0,6,2.0,1.0,4,7,44,1.0,N,2.0
1.0,6,2.0,2.0,2,4,17,1.0,N,2.0
1.0,6,2.0,2.0,0,4,15,1.0,N,2.0
2.0,1,2.0,1.0,8,10,68,1.0,N,2.0
2.0,6,2.0,2.0,2,4,29,1.0,N,2.0
1.0,1,2.0,1.0,9,10,69,1.0,N,2.0
2.0,1,2.0,1.0,7,10,65,1.0,N,2.0
2.0,4,2.0,1.0,5,7,51,1.0,N,2.0
1.0,6,2.0,1.0,6,9,22,1.0,N,2.0
2.0,6,1.0,1.0,1,5,20,1.0,N,2.0
1.0,1,2.0,1.0,8,7,64,1.0,N,2.0
2.0,1,2.0,1.0,7,10,61,1.0,N,2.0
2.0,1,2.0,1.0,4,5,64,1.0,N,2.0
2.0,6,2.0,1.0,2,4,17,1.0,N,2.0
1.0,6,2.0,2.0,2,5,66,1.0,N,2.0
1.0,6,1.0,1.0,0,5,60,1.0,N,2.0
1.0,1,2.0,1.0,6,5,75,1.0,N,2.0
2.0,1,2.0,1.0,7,9,48,1.0,N,2.0
2.0,6,2.0,1.0,0,4,15,1.0,N,2.0
2.0,4,2.0,1.0,4,7,70,1.0,N,2.0
1.0,1,1.0,1.0,4,9,26,1.0,N,2.0
2.0,1,1.0,1.0,1,7,26,1.0,N,2.0
2.0,6,2.0,2.0,3,4,38,1.0,N,2.0
1.0,6,2.0,2.0,0,5,18,1.0,N,2.0
1.0,6,2.0,2.0,0,5,18,1.0,N,2.0
1.0,1,2.0,2.0,4,5,53,1.0,N,2.0
2.0,1,1.0,2.0,0,5,32,1.0,N,2.0
1.0,6,2.0,1.0,0,5,20,1.0,N,2.0
2.0,6,2.0,2.0,0,4,40,1.0,N,2.0
1.0,6,2.0,1.0,1,7,28,1.0,N,2.0
1.0,6,1.0,1.0,9,10,79,1.0,N,2.0
2.0,4,2.0,1.0,6,7,42,1.0,N,2.0
1.0,1,2.0,1.0,8,7,77,1.0,N,2.0
