,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
0,51-51255,87,1,4.0,1,6,9.0,3.0,3,0,14671.407210299038,170.0,12.801628306122863,6.0,112277.77007205339,3.0,269.4265991894048,6.0,1.0,1.0,1,1,1216,376
1,38-00100,70,2,2.0,1,6,9.0,3.0,3,0,35896.41451207906,6262.674219368805,11.8928420061175,7.0,121700.8629353045,0.0,364.69888519041797,6.0,1.0,1.0,1,1,956,55
2,51-51255,93,1,4.0,1,6,9.0,4.0,3,0,14569.663270422352,170.0,10.669061698947553,7.0,87090.14072520885,0.0,501.0,6.0,1.0,1.0,1,1,1331,0
3,51-01301,43,1,3.0,1,6,9.0,3.0,3,0,13402.727072401527,9920.0,11.425032485492602,6.0,26348.859114191757,3.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,376
4,51-51255,54,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,6771.857071027163,12.520438314418026,6.0,-9000.0,2.0,216.59998979604384,6.0,1.0,1.0,1,1,1406,249
5,32-00405,68,1,4.0,1,6,9.0,4.0,3,0,13622.32773072936,170.0,10.49474949968256,6.0,244671.876074386,0.0,144.82233542768816,6.0,1.0,1.0,1,1,1596,183
6,40-00200,95,1,4.0,1,6,9.0,3.0,3,0,16406.940186472875,4054.015474733532,11.422381150010532,6.0,104368.3824550057,4.0,332.31547268163393,6.0,1.0,1.0,1,1,1431,376
7,36-03710,17,1,3.0,1,6,4.0,4.0,3,0,14207.277719919233,170.0,0.0,7.0,195509.07281453555,1.0,47.59397368891111,6.0,1.0,1.0,1,1,931,96
8,40-00200,83,1,4.0,1,6,9.0,2.0,3,0,15116.205477293399,170.0,10.788069673682752,7.0,13445.522354164219,3.0,172.8862414226443,6.0,1.0,1.0,1,1,1436,99
9,51-51255,93,1,3.0,1,6,9.0,4.0,3,0,13402.727072401527,5230.997301131259,0.0,6.0,44616.40310469917,0.0,477.23784617818075,6.0,1.0,1.0,1,1,242,0
10,51-51255,95,1,5.0,1,6,7.0,3.0,3,0,13402.727072401527,170.0,12.362393290396437,6.0,-9000.0,2.0,118.13091846621609,6.0,1.0,1.0,1,1,875,228
11,40-00200,36,1,4.0,1,6,7.0,3.0,3,0,15910.695292025139,9529.753892925994,13.437674175557735,6.0,59940.53829923626,3.0,339.6804446560223,6.0,1.0,1.0,1,1,1636,311
12,51-51255,72,1,4.0,1,6,9.0,3.0,3,0,14041.101885228074,265.61496778331775,12.17408430844118,7.0,-9000.0,3.0,296.9080460887658,6.0,1.0,1.0,1,1,1636,112
13,51-51255,42,1,4.0,1,6,9.0,4.0,3,0,13833.072716117327,9920.0,11.839004574963376,6.0,43549.3226690656,0.0,276.5220146930298,6.0,1.0,1.0,1,1,795,74
14,51-01301,32,1,4.0,1,6,9.0,3.0,3,0,15406.951574822935,7651.208204411971,13.5506325965281,6.0,81610.39657735596,2.0,317.15868495382443,6.0,1.0,1.0,1,1,1636,160
15,38-00100,92,1,4.0,1,6,7.0,3.0,3,0,14723.905569193223,4133.5550665792,9.386331047515132,6.0,-9000.0,4.0,213.58610373244403,6.0,1.0,1.0,1,1,559,207
16,40-00200,85,1,4.0,1,6,9.0,5.0,3,0,14433.791900980968,626.1303797459286,6.97396134332693,6.0,190535.37638314962,1.0,343.84278949189684,6.0,1.0,1.0,1,1,892,151
