PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
36-03710,67,2,4,2,8,0,N,1,2,52864.7,N,N,5,8000.0,2,66,N,1,2,2,1,197,197,16502
08-00803,20,2,6,0,1,N,N,3,0,3393.2,7870,11,7,2000.0,1,N,N,2,2,2,2,12,0,2955
01-01301,21,2,6,0,1,N,N,3,0,2731.2,N,N,7,0.0,0,N,N,2,2,2,2,112,0,29
29-01901,94,2,3,0,2,0,2,1,1,5434.8,N,N,4,8400.0,2,141,N,1,1,2,1,46,57,13143
24-01004,17,1,6,0,1,2,3,1,1,4187.9,8590,14,4,-900.0,0,501,N,2,2,2,2,60,41,10132
06-07502,69,2,4,0,6,0,N,1,2,33632.6,N,N,3,7100.0,2,58,N,2,2,2,2,63,63,1766
26-02702,23,2,6,0,6,0,N,1,2,4817.2,8680,14,9,18000.0,3,137,N,2,2,2,2,61,61,10693
32-00405,27,1,6,1,8,N,N,2,0,7990.5,770,3,4,800.0,1,N,N,2,2,2,2,85,0,14893
26-02702,24,2,6,0,6,N,N,3,0,4817.2,7390,10,9,8200.0,2,N,N,2,2,2,2,102,0,10466
38-00100,23,1,6,0,1,0,N,1,2,73.0,9680,17,7,30000.0,4,226,N,2,2,2,2,111,129,17789
40-00200,83,1,1,0,3,0,2,1,2,90.7,N,N,9,53300.0,8,501,N,2,2,2,1,44,79,20125
24-01004,60,2,1,0,1,0,4,1,1,4187.9,N,N,8,1500.0,1,258,N,1,2,2,2,40,38,10389
17-03531,57,2,1,0,2,0,3,1,1,11171.6,8270,12,4,32000.0,5,331,N,2,2,2,2,83,84,7174
40-00200,41,1,4,0,1,0,N,1,1,90.7,N,N,4,12900.0,3,97,N,2,1,2,2,942,398,20359
13-04600,19,2,6,0,1,N,N,3,0,3670.4,N,N,7,0.0,0,N,N,2,2,2,2,99,0,4150
26-02702,18,1,6,0,6,N,N,3,0,4817.2,N,N,7,73000.0,8,N,N,2,2,2,2,71,0,10514
06-08507,7,1,N,0,9,2,5,1,2,3305.1,N,N,2,N,N,501,N,2,2,2,2,115,114,23805
28-01100,15,2,6,0,2,2,4,1,1,2674.3,N,N,4,0.0,0,137,N,2,2,2,2,300,346,11550
06-08507,38,2,1,0,6,2,4,1,2,3305.1,7380,10,10,0.0,0,501,N,2,2,2,2,89,80,1578
08-00803,18,2,6,0,1,N,N,3,0,3393.2,N,N,7,0.0,0,N,N,2,2,2,2,66,0,2921
51-51255,41,1,1,0,1,0,2,1,1,11224.3,7270,10,11,516000.0,9,501,N,2,2,2,2,60,46,22372
51-51255,14,1,N,0,1,2,4,1,1,11224.3,N,N,3,N,N,501,N,2,2,2,2,49,56,25870
17-03531,76,2,3,0,2,0,N,1,1,11171.6,1790,4,4,13200.0,3,108,N,2,1,2,2,91,91,5740
13-04600,76,2,6,0,2,0,N,1,2,3670.4,N,N,5,27300.0,5,225,N,2,1,1,2,97,98,5046
29-01901,7,1,N,0,2,1,2,1,2,5434.8,N,N,3,N,N,217,N,2,2,1,2,200,217,26772
13-04600,31,1,6,0,2,1,2,1,2,3670.4,770,3,5,12000.0,3,91,N,2,2,2,2,388,387,4814
30-00600,60,2,4,0,1,1,2,1,1,16.3,N,N,8,15600.0,3,119,N,2,1,2,2,68,74,14730
36-03710,19,2,6,4,8,0,5,1,2,52864.7,N,N,7,0.0,0,217,N,2,2,2,2,209,206,16986
24-01004,4,1,N,4,1,2,8,1,1,4187.9,N,N,1,N,N,332,N,N,N,2,2,132,150,26163
24-01004,76,2,1,0,1,0,2,1,1,4187.9,N,N,10,13700.0,2,501,N,2,2,2,2,18,18,9602
24-01004,51,1,1,0,1,1,3,1,1,4187.9,7071,9,10,250000.0,9,501,N,2,2,2,2,54,57,10259
38-00100,39,1,1,2,8,0,7,1,1,73.0,N,N,7,0.0,0,308,N,2,2,2,2,146,61,18227
06-07502,60,1,6,0,6,0,N,1,2,33632.6,7380,10,9,67000.0,7,501,N,2,2,2,2,440,441,1400
08-00803,65,2,1,0,1,0,2,1,1,3393.2,8590,14,10,30300.0,4,501,N,2,2,2,2,88,90,3670
38-00100,85,2,1,0,1,0,2,1,1,73.0,N,N,7,8500.0,2,212,N,2,2,2,2,67,37,18491
40-00200,80,1,1,0,1,0,2,1,1,90.7,8670,14,4,21900.0,4,198,N,2,2,1,1,38,69,20540
19-01700,72,1,1,0,2,0,2,1,1,3572.3,N,N,7,16300.0,3,301,N,1,1,1,2,61,61,7559
51-51255,51,2,1,0,1,1,3,1,1,11224.3,7870,11,10,62210.0,7,487,N,2,2,2,2,56,56,21936
06-07502,31,2,1,0,1,0,2,1,2,33632.6,5275,6,10,60000.0,7,501,N,2,2,2,2,63,57,716
29-01901,65,1,2,0,2,0,2,1,2,5434.8,4971,6,5,20400.0,4,173,N,2,2,2,2,66,77,12618
38-00100,31,1,1,0,1,4,6,1,2,73.0,7580,10,9,130000.0,9,384,N,2,2,2,2,167,136,19583
28-01100,37,2,1,0,2,3,5,1,2,2674.3,7860,11,10,41500.0,7,160,N,2,2,2,2,32,32,11491
06-07502,69,1,1,0,6,0,2,1,2,33632.6,N,N,7,24000.0,4,222,N,2,2,2,2,210,210,2206
26-02702,31,1,2,0,6,0,N,1,1,4817.2,7870,11,11,62000.0,8,470,N,2,2,2,2,70,70,10776
17-03531,54,1,2,0,2,0,9,1,1,11171.6,3990,4,5,20000.0,3,239,N,2,2,2,2,76,54,7141
30-00600,45,2,1,0,1,0,2,1,1,16.3,180,0,10,26000.0,5,266,N,2,2,2,2,80,80,13532
40-00200,3,1,N,0,3,2,4,1,1,90.7,N,N,1,N,N,501,N,N,N,2,2,414,281,24726
29-01901,94,2,6,0,2,0,N,1,2,5434.8,N,N,1,15600.0,3,129,N,2,2,2,2,71,71,13059
24-01004,49,2,1,0,1,2,5,1,1,4187.9,7460,10,11,0.0,0,152,N,2,2,2,2,51,59,9070
32-00405,13,1,N,4,8,2,5,1,1,7990.5,N,N,3,N,N,100,N,2,2,2,2,65,53,23145
32-00405,26,1,1,1,1,0,2,1,2,7990.5,8590,14,5,32000.0,5,287,N,2,2,2,2,37,34,15211
26-02702,73,2,1,0,1,0,3,1,1,4817.2,8080,12,10,45800.0,7,501,N,2,2,2,2,61,59,11267
26-02702,66,2,1,0,1,0,2,1,1,4817.2,7870,11,10,93000.0,9,501,N,2,2,2,2,75,75,11021
38-00100,8,1,N,0,3,3,5,1,2,73.0,N,N,3,N,N,102,N,2,2,2,2,155,47,24124
29-01901,57,1,1,0,2,0,2,1,1,5434.8,7780,10,10,180000.0,9,501,N,2,2,2,2,102,119,12799
30-00600,10,2,N,0,1,2,5,1,1,16.3,N,N,3,N,N,344,N,2,2,2,2,33,61,27128
36-04010,8,2,N,0,2,2,5,1,2,50441.6,N,N,3,N,N,408,N,2,2,2,2,61,87,23455
19-01700,1,1,N,0,9,1,3,1,1,3572.3,N,N,N,N,N,37,N,N,N,2,2,181,109,25416
30-00600,53,1,1,0,1,0,2,1,1,16.3,8191,12,10,69690.0,8,409,N,2,2,2,2,176,177,13500
17-03529,30,1,6,0,6,0,N,1,2,15097.5,7870,11,10,32000.0,5,241,N,2,2,2,2,47,47,5920
06-07502,27,2,6,0,1,0,N,1,2,33632.6,5170,6,9,110000.0,8,501,N,2,2,2,2,49,43,1174
08-00803,32,2,6,0,1,0,N,1,2,3393.2,8563,14,9,8400.0,2,63,N,2,2,2,2,108,76,3072
17-03531,11,2,N,2,2,1,2,1,2,11171.6,N,N,3,N,N,304,N,2,2,2,2,74,63,25281
28-01100,12,2,N,0,2,1,5,1,2,2674.3,N,N,3,N,N,159,N,2,2,2,2,347,302,26701
51-01301,34,2,1,0,1,0,2,1,2,11162.8,8191,12,9,59000.0,7,501,N,2,2,2,2,98,103,21333
13-04600,20,2,6,0,2,N,N,3,0,3670.4,N,N,7,0.0,0,N,N,2,2,2,2,27,0,4140
17-03531,0,2,N,0,2,2,4,1,1,11171.6,N,N,N,N,N,338,N,N,N,2,2,109,117,25155
40-00200,34,2,1,0,1,3,7,1,1,90.7,N,N,7,0.0,0,84,N,2,2,2,2,56,39,20581
24-01004,45,1,1,0,1,2,4,1,1,4187.9,7470,10,10,150000.0,9,501,N,2,2,2,2,129,129,9723
38-00100,70,1,1,0,1,0,2,1,1,73.0,8870,15,7,53300.0,7,452,N,2,2,2,2,35,35,18611
17-03531,4,2,N,0,2,0,4,1,1,11171.6,N,N,1,N,N,434,N,N,N,2,2,145,69,25168
