,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,48-02102,42,2,4,0,1,1,3,1,1,269.8533020019531,N,1,95050.0,3,412,N,2,2,2,2
1,48-02510,63,1,1,0,1,0,2,1,1,1864.9026927947998,12,6,9000.0,8,501,N,2,2,2,2
2,48-02102,6,1,1,1,1,0,2,1,1,380.9954605102539,N,7,61200.0,4,501,N,2,1,2,2
3,48-02101,46,1,3,0,1,0,N,1,1,368.2942352294922,12,8,56200.0,6,501,N,2,2,2,2
4,48-02101,63,1,1,0,1,0,2,1,2,311.90599060058594,4,7,33300.0,6,501,N,2,2,2,2
5,48-02102,58,2,4,1,1,0,2,1,1,755.2097091674805,N,4,40000.0,6,501,N,2,2,2,2
6,48-02516,60,2,1,0,2,0,4,1,2,301.5250549316406,6,4,61900.0,7,191,N,2,2,2,2
7,48-02516,63,1,1,0,1,0,2,1,1,1916.7311248779297,7,9,21000.0,5,53,N,2,2,2,2
8,48-02516,64,2,4,0,1,0,3,1,1,3633.266502380371,6,7,83990.0,9,304,N,2,2,2,2
9,48-02510,8,1,1,0,1,0,3,1,1,2972.5947914123535,10,7,40000.0,2,10,N,2,2,2,2
10,48-02515,77,1,1,0,1,0,3,1,2,775.9037170410156,10,6,18000.0,7,275,N,2,2,2,2
11,48-02101,51,1,1,0,1,0,8,1,1,263.08263397216797,11,9,800.0,5,107,N,2,2,2,2
12,48-02507,42,2,1,0,1,0,6,1,2,2686.2652168273926,14,8,5000.0,7,264,N,2,2,2,2
13,48-02516,68,1,5,1,1,1,4,1,2,1341.555019378662,11,5,196100.0,2,306,N,2,2,2,2
14,48-02102,0,2,4,0,1,11,3,1,1,398.5175094604492,16,10,40000.0,4,501,N,2,1,2,2
15,48-02102,57,1,1,0,1,0,4,1,1,500.12261962890625,15,9,35000.0,9,501,N,2,2,2,2
16,48-02102,27,1,1,0,1,0,2,1,1,381.0643539428711,5,7,65000.0,6,501,N,2,2,2,2
17,48-02102,37,2,1,0,1,0,4,1,1,2815.8789405822754,N,5,27300.0,0,413,N,2,2,2,2
18,48-02101,3,1,6,0,1,0,5,1,1,1241.7619094848633,10,10,49000.0,4,281,N,2,2,2,2
19,48-02510,56,1,6,0,1,0,N,1,1,4014.5420989990234,3,5,43000.0,4,501,N,2,2,2,2
20,48-02510,43,1,6,0,1,0,N,1,1,3719.5779571533203,14,7,60000.0,5,343,N,2,2,2,2
21,48-02101,21,2,1,0,1,0,3,1,1,290.5475387573242,6,12,95000.0,2,370,N,2,2,2,2
22,48-02515,45,1,4,1,1,0,N,1,1,3766.172348022461,N,9,28000.0,1,10,N,2,2,2,2
23,48-02102,37,1,6,1,1,0,4,1,1,1350.54195022583,6,5,38500.0,6,113,N,2,2,2,2
24,48-02102,92,2,4,0,1,0,3,1,1,434.43387603759766,12,4,51000.0,6,232,N,2,2,2,2
25,48-02515,60,2,6,0,1,0,4,1,2,1851.645456314087,10,10,45050.0,7,369,N,2,2,2,2
26,48-02102,49,1,1,0,1,0,2,1,1,739.9518737792969,3,4,155000.0,8,365,N,2,2,2,2
27,48-02516,75,1,1,0,1,0,2,1,1,3583.2040939331055,6,3,25400.0,4,85,N,2,2,2,2
28,48-02101,8,2,6,0,1,0,3,1,1,324.2006072998047,10,4,88800.0,8,501,N,2,2,2,2
29,48-02102,73,1,6,1,2,0,4,1,1,443.4839782714844,N,5,14400.0,7,501,N,2,2,2,2
