,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,2,N,6,1,9,0,48-02510,27,0,5,501
1,2,6,1,2,6,0,48-02102,38,0,4,389
2,2,1,1,2,6,0,48-02101,67,0,6,446
3,2,1,1,1,6,0,48-02510,54,0,2,501
4,1,4,1,2,7,0,48-02101,59,0,5,390
5,1,6,1,1,2,0,48-02101,59,5,2,19
6,1,1,1,1,7,0,48-02101,76,0,3,501
7,2,1,1,2,7,0,48-02101,27,0,3,229
8,2,1,1,1,5,0,48-02515,8,0,2,86
9,1,1,1,2,8,0,48-02515,11,1,4,252
10,1,4,1,1,3,0,48-02510,28,0,3,260
11,2,6,8,2,5,1,48-02515,57,1,2,501
12,1,4,1,1,N,0,48-02510,62,0,5,348
13,2,6,2,2,0,0,48-02102,75,2,5,303
14,2,6,1,2,3,0,48-02101,65,0,5,484
15,1,4,1,1,2,0,48-02510,34,0,3,116
16,1,3,8,1,7,0,48-02101,42,0,2,468
17,2,1,1,2,3,0,48-02515,69,1,2,363
18,2,4,1,1,0,0,48-02102,68,1,3,501
19,1,1,1,1,8,0,48-02101,41,0,3,458
20,1,1,1,1,8,0,48-02510,84,0,2,245
21,2,1,1,1,7,1,48-02101,61,0,3,501
22,2,N,1,1,8,0,48-02102,66,0,3,199
23,1,1,1,1,2,0,48-02516,46,3,4,501
24,2,1,1,1,7,0,48-02101,31,0,2,501
25,2,6,1,1,0,0,48-02101,68,0,2,195
26,2,6,2,1,4,0,48-02102,40,2,N,235
27,2,N,1,1,5,0,48-02507,33,0,4,152
28,1,5,1,2,4,0,48-02510,63,2,3,501
29,2,3,1,1,8,1,48-02101,51,3,2,291
30,1,1,1,1,3,1,48-02510,36,0,7,60
31,1,1,1,1,9,0,48-02101,53,0,4,501
32,1,1,1,1,6,0,48-02515,5,0,2,0
33,2,1,1,1,8,0,48-02510,37,0,5,443
34,1,2,1,2,3,0,48-02516,54,0,4,501
35,2,1,1,1,9,0,48-02510,54,0,2,501
36,1,6,1,1,5,0,48-02507,54,0,2,342
37,1,1,1,1,7,0,48-02507,72,2,2,501
38,1,1,1,1,5,0,48-02515,50,0,N,501
39,1,1,1,1,7,0,48-02515,75,0,2,501
40,1,6,1,1,7,0,48-02515,63,0,4,501
41,2,1,1,1,8,1,48-02507,20,0,2,501
42,2,3,1,2,7,0,48-02507,67,0,2,501
43,1,1,1,1,8,0,48-02510,53,0,6,140
44,2,1,1,1,5,0,48-02101,61,0,2,501
45,2,2,1,1,2,1,48-02101,46,0,3,375
46,1,1,1,1,6,0,48-02101,55,0,2,501
47,1,1,1,2,7,0,48-02516,66,0,2,241
48,2,1,1,1,8,0,48-02510,69,0,2,501
49,1,4,1,1,8,0,48-02101,52,0,4,234
50,1,1,1,1,2,0,48-02507,35,0,4,233
51,1,1,1,1,7,0,48-02516,24,0,2,430
52,1,1,1,1,3,0,48-02516,53,0,4,501
53,2,1,1,1,5,0,48-02516,62,0,7,298
54,2,2,1,1,2,0,48-02102,57,1,4,501
55,1,1,1,1,3,0,48-02516,53,0,2,501
56,1,4,1,1,7,0,48-02515,34,1,2,182
57,1,6,1,1,0,0,48-02516,23,1,6,501
58,2,1,1,1,5,0,48-02515,56,0,3,501
59,1,1,1,1,3,0,48-02101,2,0,2,302
60,1,1,1,1,7,1,48-02516,86,1,3,501
61,2,6,8,1,0,1,48-02510,59,0,2,458
62,2,1,1,1,N,0,48-02516,61,0,N,501
63,2,4,1,1,0,0,48-02510,54,1,3,253
64,2,6,1,1,0,0,48-02516,82,1,4,501
65,2,2,1,1,8,0,48-02516,65,0,3,501
66,2,1,1,2,2,0,48-02101,27,0,4,241
67,2,1,3,1,3,0,48-02510,30,0,3,501
68,2,1,1,1,7,0,48-02102,58,0,3,472
69,1,5,1,1,5,0,48-02101,71,0,4,9
70,1,6,1,1,7,0,48-02507,25,0,4,501
71,2,6,1,1,1,0,48-02507,38,1,5,284
72,2,1,1,1,3,0,48-02515,65,1,3,309
73,1,5,1,1,6,0,48-02102,60,0,2,0
74,1,1,1,0,2,0,48-02102,71,1,3,323
75,2,1,1,2,7,0,48-02510,29,0,2,383
76,2,1,1,1,9,0,48-02510,49,0,3,501
77,1,N,1,1,5,0,48-02102,61,0,3,501
78,1,1,1,2,2,0,48-02515,28,0,N,501
79,1,6,1,1,3,0,48-02102,40,1,7,N
80,1,4,1,1,5,0,48-02516,31,0,4,501
81,2,1,1,1,0,0,48-02515,72,1,4,501
82,1,1,1,1,6,0,48-02507,22,0,3,501
83,1,1,1,1,7,0,48-02516,34,0,2,210
84,2,1,1,1,7,0,48-02101,24,1,3,338
85,1,1,1,2,3,0,48-02515,42,4,4,70
86,1,4,2,1,0,0,48-02101,31,2,6,246
