,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,2,1,5,1,9,1,48-02507,65,1,N,90
1,1,5,9,2,0,4,48-02510,16,0,6,408
2,2,5,2,1,1,0,48-02507,54,1,11,283
3,1,6,6,1,0,2,48-02515,19,6,13,120
4,1,2,2,2,4,1,48-02102,3,4,4,301
5,2,1,4,2,4,0,48-02510,28,0,11,324
6,2,N,3,1,7,0,48-02101,46,7,13,237
7,2,3,3,1,5,3,48-02510,7,0,4,143
8,1,2,1,1,0,0,48-02507,41,1,3,206
9,2,6,7,0,0,1,48-02515,55,0,4,11
10,1,1,5,1,N,1,48-02516,41,4,6,183
11,1,6,4,2,8,0,48-02516,82,2,3,294
12,2,2,8,0,2,0,48-02101,30,3,11,10
13,1,2,8,0,N,2,48-02101,49,5,5,478
14,2,4,7,0,5,3,48-02516,6,0,6,461
15,2,1,9,1,5,0,48-02101,13,11,8,155
16,2,1,8,2,5,4,48-02507,50,4,5,236
17,1,N,4,2,5,1,48-02507,66,6,11,278
18,1,2,8,1,3,4,48-02515,1,0,3,438
19,1,1,1,0,4,2,48-02102,25,4,2,443
20,1,N,8,2,3,4,48-02101,28,1,13,220
21,1,4,1,2,6,1,48-02102,39,2,4,260
22,2,N,5,0,5,3,48-02101,30,1,7,260
23,2,3,1,1,5,4,48-02507,82,1,4,413
24,2,6,5,1,1,2,48-02516,5,6,11,64
25,1,4,3,0,0,3,48-02515,8,6,11,310
26,2,4,1,1,5,1,48-02102,32,1,N,433
27,2,3,8,1,9,0,48-02101,71,3,3,104
28,1,2,1,0,5,1,48-02515,2,3,13,19
29,1,2,1,0,7,3,48-02101,20,N,3,95
30,2,N,9,1,0,3,48-02102,41,N,3,419
31,1,4,1,1,7,0,48-02507,17,11,5,444
32,1,6,7,1,8,1,48-02101,77,2,6,463
33,2,4,8,1,5,1,48-02516,76,1,6,410
34,2,N,2,1,8,0,48-02516,65,2,4,17
35,1,6,7,0,6,1,48-02516,66,4,2,313
36,2,N,8,2,9,4,48-02101,23,1,6,321
37,2,3,6,1,7,0,48-02510,84,6,6,1
38,1,5,7,1,0,2,48-02507,77,2,7,323
39,1,1,6,1,4,1,48-02507,92,N,7,498
40,1,2,3,0,8,4,48-02516,68,5,6,341
41,1,2,3,1,0,1,48-02515,33,0,7,138
42,2,3,2,2,8,1,48-02515,38,5,6,11
