,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,1,1,4,0,4,1,2,48-02101,5
1,2,1,8,0,7,10,1,48-02516,15
2,2,3,1,1,7,1,2,48-02516,3
3,2,6,9,1,7,4,1,48-02507,14
4,1,1,6,2,8,10,3,48-02101,14
5,1,6,5,2,1,12,0,48-02510,14
6,2,6,5,2,0,9,0,48-02101,7
7,2,6,3,1,2,3,0,48-02515,18
8,1,6,7,0,5,2,0,48-02516,16
9,2,1,1,2,0,12,4,48-02510,3
10,2,N,4,2,2,7,0,48-02515,15
11,1,6,1,1,2,6,2,48-02516,2
12,1,1,6,1,1,6,4,48-02516,9
13,2,4,1,2,1,2,2,48-02510,1
14,2,2,1,1,0,6,4,48-02507,10
15,1,3,1,1,8,5,2,48-02510,0
16,1,N,1,0,7,12,0,48-02102,10
17,1,5,2,0,7,9,4,48-02510,5
18,2,4,1,0,N,10,3,48-02510,7
19,2,6,7,1,4,N,3,48-02515,13
20,1,6,4,1,7,8,0,48-02507,2
21,1,4,4,1,0,2,4,48-02101,5
22,2,5,3,1,2,4,1,48-02515,2
23,1,6,3,2,5,2,2,48-02101,4
24,1,3,9,1,5,5,0,48-02101,7
25,2,N,9,2,1,7,4,48-02102,11
26,1,3,3,0,0,11,3,48-02101,13
27,2,1,1,2,6,10,3,48-02510,3
28,1,1,3,2,3,N,4,48-02515,12
29,2,5,5,1,4,2,2,48-02510,1
30,2,2,6,1,6,12,4,48-02507,16
31,2,5,4,1,8,8,1,48-02507,9
32,1,5,1,0,4,7,3,48-02102,13
33,1,5,6,2,2,4,1,48-02510,8
34,2,6,9,1,4,7,1,48-02515,2
35,2,6,6,0,2,9,1,48-02102,6
36,2,3,8,1,9,9,2,48-02510,12
37,2,6,6,1,0,12,2,48-02507,12
38,1,1,6,2,7,5,4,48-02516,11
39,1,4,6,1,2,8,2,48-02507,0
40,2,6,5,0,1,12,4,48-02510,0
41,1,5,9,0,2,3,3,48-02510,12
42,1,5,8,0,9,3,0,48-02101,0
43,2,2,2,1,0,1,4,48-02102,2
44,2,N,2,0,3,5,1,48-02515,6
45,2,N,7,1,2,1,3,48-02102,1
46,2,1,1,0,6,5,0,48-02515,13
47,1,N,8,0,7,4,4,48-02515,5
48,1,3,2,1,8,2,2,48-02510,6
49,2,1,1,0,6,7,0,48-02101,17
50,2,1,1,1,0,4,2,48-02516,11
51,2,1,1,1,8,8,1,48-02516,6
52,1,5,2,2,7,3,0,48-02515,1
53,1,3,1,1,6,12,4,48-02102,6
54,2,5,6,0,0,4,4,48-02102,3
55,1,N,3,0,3,11,3,48-02101,11
56,1,3,5,1,5,11,0,48-02102,3
57,1,N,2,2,7,3,0,48-02510,9
58,1,1,5,2,5,5,4,48-02101,7
59,1,5,1,2,7,2,0,48-02102,7
60,1,6,6,1,1,1,2,48-02515,13
61,1,N,7,1,N,11,1,48-02515,12
62,2,5,2,1,3,9,0,48-02102,4
63,2,N,1,1,8,2,0,48-02510,13
64,1,3,3,0,1,11,2,48-02101,13
