AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
37,1,1,2,1,1,N,8,9
36,1,6,2,1,1,N,7,9
49,1,1,1,1,2,N,5,5
38,1,6,2,1,1,N,9,5
11,7,6,1,1,1,N,8,9
33,1,6,1,3,1,N,2,9
64,1,2,2,1,1,N,6,7
20,1,4,1,1,1,N,3,4
72,1,1,1,1,1,N,5,5
61,1,1,1,1,1,N,6,9
28,1,3,1,1,1,N,9,9
30,1,1,2,1,1,N,9,7
46,1,1,1,1,1,N,6,8
51,1,2,1,1,1,N,8,7
52,9,4,1,1,1,N,0,6
86,1,1,2,1,1,N,9,5
82,1,1,1,1,1,N,8,8
67,2,6,1,1,1,N,6,1
55,1,1,2,1,1,N,5,5
24,1,3,2,1,1,N,2,8
34,1,6,2,1,1,N,5,5
53,1,6,1,1,1,N,9,7
30,6,1,2,1,1,N,3,10
58,1,1,1,1,1,N,3,7
78,1,1,1,1,2,N,8,6
25,1,1,2,1,1,N,4,7
33,1,4,2,1,2,N,8,9
65,1,3,2,1,1,N,0,7
60,1,1,1,1,1,N,6,7
55,1,N,2,1,1,N,0,3
51,1,4,1,1,1,N,6,9
53,2,1,2,1,1,N,8,7
48,1,1,2,1,1,N,4,9
65,1,1,2,1,2,N,7,N
35,8,6,1,1,1,N,5,7
77,1,6,2,1,2,N,0,7
48,1,1,1,1,2,N,0,5
62,1,1,2,1,2,2,6,12
79,1,1,1,1,1,3,1,4
35,1,1,2,1,1,N,8,9
0,1,1,1,1,1,N,6,9
37,1,1,1,1,1,N,0,7
49,1,1,1,1,1,N,9,5
27,1,6,1,1,1,N,2,5
62,1,1,2,1,1,N,7,5
84,1,4,1,1,1,N,6,N
36,1,1,2,2,1,N,6,5
50,1,1,2,1,1,N,8,7
30,1,1,1,1,2,N,N,4
49,1,1,1,1,1,N,0,9
61,1,1,2,3,1,N,7,6
60,2,6,1,1,2,N,N,3
76,6,4,2,1,1,N,9,4
47,1,4,1,1,1,N,5,10
30,1,6,1,1,1,N,6,5
23,1,1,2,1,1,N,3,9
53,1,3,1,1,1,N,6,10
48,1,1,2,1,1,N,8,5
36,1,4,1,1,1,N,3,5
74,1,1,2,1,1,N,5,8
40,1,N,1,1,1,N,5,5
2,1,1,1,1,1,N,8,5
72,1,4,1,1,1,N,8,8
75,1,1,1,1,1,N,9,9
35,1,6,2,1,1,N,4,7
71,1,1,1,1,1,N,1,4
67,1,1,1,1,1,N,0,7
23,1,1,2,1,1,N,7,5
37,1,4,1,1,1,N,2,8
42,1,1,2,1,2,N,4,5
57,1,1,2,1,1,N,N,5
32,1,4,2,2,1,N,0,9
28,1,1,2,1,1,N,8,7
60,8,2,2,1,1,N,6,9
60,1,6,1,1,1,N,6,6
63,2,1,2,1,2,N,5,5
30,6,1,2,1,1,N,7,9
51,1,4,2,1,1,N,9,10
31,1,1,1,1,1,N,3,10
20,1,3,2,1,2,N,9,7
1,1,1,1,1,1,N,1,8
4,1,3,1,1,1,N,N,5
80,1,1,2,1,2,N,0,5
51,1,1,2,1,2,N,6,9
62,1,4,1,1,1,N,2,4
60,2,1,1,1,1,N,1,9
47,1,1,1,1,1,N,3,9
78,1,1,1,1,2,2,N,10
72,6,1,2,1,1,N,3,5
20,1,1,2,1,1,1,5,4
56,1,1,2,1,1,N,7,2
49,1,6,1,1,2,N,6,5
42,1,1,2,1,1,N,2,7
30,1,1,1,1,1,N,6,5
30,1,1,1,1,2,N,0,10
69,1,4,2,1,1,N,5,5
82,1,1,2,1,1,N,7,5
39,1,1,1,1,2,N,8,7
42,1,1,1,1,2,N,7,4
68,1,1,1,1,1,N,6,5
69,6,1,1,1,1,N,5,7
69,1,1,2,1,1,2,6,10
75,1,4,2,1,1,N,8,8
64,1,6,1,1,1,N,4,6
36,1,4,2,1,1,3,8,5
47,1,1,2,1,1,N,9,5
19,1,1,1,1,1,N,2,9
45,1,1,1,1,1,N,5,5
64,1,1,2,1,2,N,5,5
65,1,1,2,1,2,N,3,5
44,1,1,2,1,1,N,4,5
6,1,1,2,1,1,N,8,8
49,2,1,2,1,1,N,5,3
38,1,1,1,1,1,N,2,6
6,1,1,1,1,1,N,8,7
28,1,4,1,1,1,N,8,3
48,1,1,2,1,1,N,8,7
49,1,3,1,1,1,N,8,5
62,6,6,2,1,1,N,2,4
50,1,3,1,1,1,N,8,4
73,1,6,2,1,0,N,8,5
42,1,1,1,1,1,N,6,7
41,8,1,2,1,1,N,8,5
73,1,1,1,1,2,N,7,11
20,1,1,1,1,1,6,0,5
28,1,1,2,1,2,N,5,5
64,1,1,2,1,1,N,8,5
