,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,48-02507,37,2,1,0,8,3,N,1,1,1688.423152923584,18,9,83200.0,3,60,2,2,N,2,1
1,48-02510,58,1,6,3,9,3,7,3,0,1071.8953094482422,17,2,274000.0,4,402,4,2,2,1,1
2,48-02101,27,2,2,0,6,N,6,2,2,2037.3753271102905,18,12,44890.0,4,441,2,1,1,2,2
3,48-02101,31,2,6,3,8,1,11,3,1,1348.4268531799316,10,8,76000.0,9,153,4,1,N,1,2
4,48-02101,43,1,4,1,5,5,N,1,1,1880.1033363342285,N,6,68800.0,4,1,2,N,2,1,1
5,48-02516,38,1,N,0,7,4,7,3,1,2077.2009167671204,6,8,27400.0,8,67,2,2,1,1,2
6,48-02515,81,1,1,3,6,1,5,1,1,2360.400210380554,7,6,150400.0,0,223,6,2,N,2,1
7,48-02507,33,2,3,3,7,11,11,1,1,1689.2365989685059,7,5,3300.0,N,383,1,2,N,2,2
8,48-02510,56,2,1,1,2,2,3,3,0,1630.3013000488281,18,5,82300.0,5,400,5,2,N,1,2
9,48-02102,37,2,4,0,9,5,2,1,1,2227.403019428253,4,8,447000.0,9,121,N,N,N,2,2
10,48-02515,75,1,6,3,4,N,4,3,0,1584.8282012939453,1,4,29210.0,8,181,1,2,N,2,1
11,48-02515,32,1,6,0,4,1,5,2,1,1581.5890655517578,8,5,74300.0,0,162,2,2,1,2,2
12,48-02507,77,1,2,2,7,3,7,1,1,2286.2872920036316,10,7,100030.0,8,220,5,1,2,1,1
13,48-02510,79,2,5,2,3,2,7,2,2,2124.2856583595276,2,2,320.0,2,466,3,2,2,2,2
14,48-02507,60,2,6,4,8,0,13,2,0,1209.7990188598633,6,8,7500.0,4,445,6,N,2,2,2
15,48-02515,75,2,5,4,6,1,4,2,0,2280.188849925995,5,5,35900.0,7,66,1,2,N,2,1
16,48-02515,51,2,5,3,6,6,13,2,1,1125.4082260131836,3,6,24120.0,1,104,N,2,2,1,2
17,48-02507,65,1,6,3,3,N,13,2,0,2292.2394785881042,9,1,70250.0,0,196,5,N,1,1,2
18,48-02102,84,1,5,2,4,3,7,1,1,1341.4762268066406,15,2,31700.0,4,254,5,2,2,2,2
19,48-02507,17,1,1,3,2,2,N,1,2,2091.2939581871033,4,1,17400.0,4,411,6,N,N,2,1
20,48-02516,81,2,2,2,9,1,N,3,1,1266.5344772338867,N,9,132000.0,0,501,N,1,N,2,1
21,48-02101,46,1,2,1,2,3,3,2,2,1970.3566799163818,4,6,137600.0,7,163,5,1,N,2,1
22,48-02102,18,1,3,1,6,11,8,3,0,926.3813934326172,3,8,77700.0,7,216,4,2,1,1,1
23,48-02515,35,1,6,2,6,7,7,1,1,1650.6946716308594,18,9,27500.0,4,251,5,2,1,1,2
24,48-02101,22,1,N,0,8,3,4,3,2,1711.2600955963135,6,5,17420.0,2,12,5,1,2,2,2
25,48-02507,14,2,4,2,7,11,8,1,1,1775.8685455322266,15,11,68200.0,7,308,6,2,N,1,2
26,48-02516,62,1,4,1,4,11,3,2,1,1529.8804817199707,1,9,21300.0,1,295,N,1,1,1,1
27,48-02516,33,1,6,3,1,11,11,2,1,1725.3887424468994,16,4,93400.0,3,293,N,N,1,2,1
28,48-02515,8,1,6,0,4,1,3,3,0,1331.0261688232422,8,5,89400.0,N,192,2,N,2,2,1
29,48-02515,28,2,4,4,8,4,4,3,1,1060.5234298706055,11,5,46140.0,4,347,2,N,1,2,1
30,48-02510,92,1,3,2,1,6,4,1,1,1319.2887649536133,N,2,1900.0,3,354,5,2,2,2,2
31,48-02516,30,2,5,2,6,7,6,2,2,2462.9902420043945,8,5,68090.0,9,267,5,N,N,2,2
32,48-02102,52,1,6,4,2,11,3,3,1,1856.1417255401611,0,1,44000.0,0,195,3,2,N,1,2
33,48-02516,57,2,5,0,5,1,13,1,2,1883.1476078033447,6,4,27400.0,0,199,4,N,2,1,1
34,48-02510,88,2,6,4,4,11,13,1,1,1804.469877243042,18,9,46000.0,1,169,1,1,2,1,2
35,48-02516,50,1,4,4,8,0,5,2,0,1833.5257110595703,1,7,10200.0,5,204,4,2,N,1,1
36,48-02516,11,2,5,1,7,0,7,1,1,1777.8478870391846,18,2,66400.0,0,125,N,1,2,2,2
37,48-02101,14,1,3,0,1,N,8,1,2,1307.4544296264648,15,N,40600.0,4,390,3,2,1,2,1
38,48-02515,88,2,3,1,3,6,5,3,2,2847.707534790039,7,4,26000.0,1,357,5,2,1,1,2
39,48-02102,48,1,2,1,4,4,8,2,0,1647.4095878601074,11,12,73000.0,7,425,2,1,N,1,1
40,48-02102,43,2,3,0,1,6,7,3,0,1611.987606048584,8,1,20400.0,N,238,5,1,N,1,2
41,48-02516,64,2,6,0,2,4,11,3,1,1969.5044813156128,8,4,3000.0,N,56,1,1,N,1,1
42,48-02515,52,1,4,0,1,7,5,3,2,2189.174246251583,12,1,76160.0,5,210,1,1,N,2,2
43,48-02507,26,2,1,4,9,0,5,1,0,2407.2287187576294,5,6,49400.0,N,305,4,N,1,2,2
44,48-02510,68,1,1,4,1,1,3,1,1,1932.0536479949951,7,8,255000.0,3,267,5,N,2,2,2
45,48-02507,64,2,1,1,3,4,13,2,2,1753.9131412506104,11,8,120500.0,4,202,3,1,N,2,1
46,48-02102,43,2,3,1,9,2,5,3,1,1710.3768119812012,1,7,26100.0,3,468,1,N,2,1,1
47,48-02516,73,1,4,3,5,6,8,3,1,2263.7555060386658,9,1,355200.0,1,17,1,1,2,2,1
48,48-02102,41,2,2,3,1,N,5,3,0,2281.3421998023987,15,5,98400.0,8,491,5,2,1,2,2
49,48-02507,88,1,N,3,4,11,8,2,2,2138.350561618805,15,9,11400.0,2,122,1,1,1,1,1
50,48-02515,6,1,4,0,6,1,3,1,1,1876.5922317504883,5,10,92090.0,N,85,2,1,2,2,1
51,48-02515,30,2,2,1,8,N,3,2,1,2196.5022978782654,9,9,112900.0,N,390,3,2,N,1,1
52,48-02507,23,1,N,0,9,5,4,2,2,1907.781702041626,2,12,52100.0,8,293,4,1,2,2,1
53,48-02507,1,2,1,2,1,6,6,3,2,2200.112978577614,15,11,561700.0,6,228,1,2,N,2,1
54,48-02507,60,2,2,1,1,7,13,1,2,2255.1863417625427,3,6,970.0,8,379,N,2,1,2,1
55,48-02515,30,2,6,2,3,7,2,1,2,1832.3439083099365,6,11,81240.0,5,170,4,2,2,2,2
56,48-02515,2,2,3,4,1,11,3,1,1,1210.4315338134766,18,5,102500.0,5,280,5,2,2,1,1
57,48-02507,25,1,6,0,7,6,2,3,1,1817.9528198242188,5,1,54800.0,7,290,N,2,2,2,1
58,48-02510,26,1,2,2,5,2,N,3,2,2427.1769580841064,8,N,34500.0,1,178,4,N,2,1,1
59,48-02102,2,2,6,1,9,N,8,2,1,2155.5374059677124,18,11,30000.0,3,415,N,1,1,2,1
60,48-02507,47,2,5,3,8,3,7,2,1,2051.4121494293213,6,N,11800.0,7,426,1,2,2,1,2
61,48-02101,37,1,2,1,9,11,6,3,0,2399.777914047241,13,10,41000.0,7,467,4,2,N,2,1
62,48-02102,28,1,5,3,1,4,13,1,2,1517.5805435180664,12,6,34400.0,0,345,N,N,2,1,1
63,48-02515,11,2,6,2,5,0,N,1,0,1683.196979522705,9,8,185900.0,5,384,2,2,N,1,2
64,48-02516,67,2,3,0,1,0,N,2,0,2259.488562107086,1,5,48010.0,7,438,1,2,N,2,1
65,48-02516,75,2,N,1,2,5,3,1,1,1512.7998886108398,16,12,275000.0,0,458,4,2,1,2,2
66,48-02510,1,2,1,0,8,N,2,1,1,2337.030445098877,7,9,214900.0,1,118,N,1,1,2,2
67,48-02516,27,1,1,1,7,1,13,1,1,1879.8713359832764,14,9,214600.0,1,493,1,2,2,2,2
68,48-02510,69,1,N,3,3,6,7,2,1,2276.14785528183,16,2,108500.0,3,0,N,1,N,2,1
69,48-02510,86,2,3,0,9,1,11,1,2,2294.290331363678,11,1,133700.0,8,434,1,N,N,1,2
70,48-02507,48,2,1,3,8,0,3,3,1,1926.3146648406982,14,3,32410.0,9,129,1,2,1,2,1
71,48-02102,29,1,5,0,4,5,N,3,2,1832.1842632293701,12,4,33600.0,N,8,6,2,1,2,1
72,48-02102,71,1,4,3,1,2,13,2,1,2175.7082006931305,16,12,198000.0,5,5,3,1,1,1,1
73,48-02516,55,1,6,4,3,N,7,2,1,1997.341290473938,N,9,26700.0,0,326,4,1,2,2,1
