,DENSITY,count_target,count_deidentified
0,7,7400.0,0.0
1,0,5526.0,0.0
2,8,4526.0,0.0
3,10,3694.0,0.0
4,13,2117.0,0.0
5,11,1574.0,0.0
6,9,1365.0,0.0
7,12,1051.0,0.0
8,10974,0.0,1.0
9,10977,0.0,3.0
10,10976,0.0,2.0
11,10975,0.0,5.0
12,10971,0.0,1.0
13,10973,0.0,3.0
14,10972,0.0,1.0
15,10981,0.0,3.0
16,10980,0.0,4.0
17,10986,0.0,3.0
18,10982,0.0,2.0
19,10984,0.0,3.0
20,10985,0.0,2.0
21,10969,0.0,3.0
22,10987,0.0,1.0
23,10988,0.0,4.0
24,10989,0.0,1.0
25,10990,0.0,4.0
26,10991,0.0,3.0
27,10970,0.0,2.0
28,10964,0.0,3.0
29,10968,0.0,2.0
30,10956,0.0,5.0
31,10947,0.0,4.0
32,10948,0.0,3.0
33,10950,0.0,2.0
34,10951,0.0,1.0
35,10952,0.0,1.0
36,10953,0.0,4.0
37,10954,0.0,1.0
38,10955,0.0,2.0
39,10957,0.0,2.0
40,10966,0.0,1.0
41,10958,0.0,1.0
42,10959,0.0,1.0
43,10960,0.0,1.0
44,10961,0.0,1.0
45,10962,0.0,2.0
46,10963,0.0,2.0
47,10994,0.0,2.0
48,10965,0.0,2.0
49,10992,0.0,1.0
50,10999,0.0,3.0
51,10995,0.0,3.0
52,11034,0.0,1.0
53,11024,0.0,3.0
54,11027,0.0,1.0
55,11028,0.0,2.0
56,11029,0.0,4.0
57,11030,0.0,2.0
58,11031,0.0,4.0
59,11032,0.0,2.0
60,11033,0.0,3.0
61,11035,0.0,2.0
62,10996,0.0,1.0
63,11036,0.0,4.0
64,11037,0.0,4.0
65,11038,0.0,1.0
66,11039,0.0,3.0
67,11040,0.0,1.0
68,11042,0.0,1.0
69,11043,0.0,3.0
70,11044,0.0,3.0
71,11023,0.0,1.0
72,11022,0.0,1.0
73,11020,0.0,1.0
74,11019,0.0,1.0
75,10997,0.0,1.0
76,10944,0.0,2.0
77,11000,0.0,2.0
78,11001,0.0,2.0
79,11002,0.0,2.0
80,11003,0.0,1.0
81,11004,0.0,2.0
82,11005,0.0,2.0
83,11006,0.0,3.0
84,11007,0.0,1.0
85,11008,0.0,1.0
86,11010,0.0,2.0
87,11012,0.0,2.0
88,11013,0.0,3.0
89,11015,0.0,1.0
90,11016,0.0,1.0
91,11018,0.0,1.0
92,10945,0.0,1.0
93,10937,0.0,5.0
94,10941,0.0,1.0
95,10868,0.0,2.0
96,10855,0.0,3.0
97,10856,0.0,2.0
98,10857,0.0,6.0
99,10859,0.0,3.0
100,10860,0.0,1.0
101,10861,0.0,1.0
102,10862,0.0,2.0
103,10864,0.0,1.0
104,10869,0.0,1.0
105,10853,0.0,2.0
106,10870,0.0,2.0
107,10871,0.0,2.0
108,10872,0.0,2.0
109,10873,0.0,2.0
110,10875,0.0,2.0
111,10878,0.0,3.0
112,10879,0.0,1.0
113,10880,0.0,1.0
114,10854,0.0,1.0
115,10852,0.0,1.0
116,10940,0.0,1.0
117,10839,0.0,3.0
118,10826,0.0,1.0
119,10827,0.0,1.0
120,10832,0.0,1.0
121,10833,0.0,2.0
122,10834,0.0,2.0
123,10835,0.0,1.0
124,10836,0.0,1.0
125,10838,0.0,1.0
126,10840,0.0,2.0
127,10851,0.0,1.0
128,10841,0.0,2.0
129,10842,0.0,1.0
130,10843,0.0,2.0
131,10845,0.0,2.0
132,10846,0.0,1.0
133,10848,0.0,1.0
134,10849,0.0,2.0
135,10850,0.0,4.0
136,10881,0.0,2.0
137,10882,0.0,2.0
138,10883,0.0,1.0
139,10929,0.0,3.0
140,10919,0.0,1.0
141,10920,0.0,2.0
142,10921,0.0,1.0
143,10922,0.0,1.0
144,10924,0.0,1.0
145,10926,0.0,2.0
146,10927,0.0,1.0
147,10928,0.0,1.0
148,10930,0.0,1.0
149,10885,0.0,3.0
150,10931,0.0,2.0
151,10932,0.0,1.0
152,10933,0.0,1.0
153,10934,0.0,4.0
154,10935,0.0,2.0
155,10936,0.0,4.0
156,11046,0.0,1.0
157,10938,0.0,1.0
158,10918,0.0,1.0
159,10916,0.0,3.0
160,10915,0.0,5.0
161,10914,0.0,1.0
162,10889,0.0,1.0
163,10890,0.0,1.0
164,10891,0.0,1.0
165,10892,0.0,3.0
166,10893,0.0,3.0
167,10894,0.0,1.0
168,10896,0.0,1.0
169,10897,0.0,1.0
170,10898,0.0,1.0
171,10901,0.0,1.0
172,10902,0.0,3.0
173,10904,0.0,1.0
174,10905,0.0,5.0
175,10907,0.0,3.0
176,10908,0.0,1.0
177,10911,0.0,1.0
178,10913,0.0,2.0
179,11045,0.0,3.0
180,11050,0.0,1.0
181,11047,0.0,2.0
182,11175,0.0,3.0
183,11167,0.0,4.0
184,11168,0.0,2.0
185,11169,0.0,4.0
186,11170,0.0,2.0
187,11171,0.0,1.0
188,11172,0.0,1.0
189,11173,0.0,3.0
190,11174,0.0,1.0
191,11176,0.0,1.0
192,11165,0.0,2.0
193,11177,0.0,2.0
194,11178,0.0,2.0
195,11179,0.0,2.0
196,11180,0.0,4.0
197,11181,0.0,2.0
198,11182,0.0,5.0
199,11183,0.0,2.0
200,11184,0.0,1.0
201,11166,0.0,3.0
202,11164,0.0,1.0
203,11142,0.0,2.0
204,11153,0.0,3.0
205,11144,0.0,2.0
206,11145,0.0,3.0
207,11146,0.0,3.0
208,11148,0.0,3.0
