"SEX","MSP","RAC1P","OWN_RENT","PINCP_DECILE","EDU","HISP","PUMA","INDP_CAT"
2,"6",1,1,"4","9",0,"25-00703","10"
1,"N",1,1,"N","3",0,"25-01300","N"
1,"3",1,1,"4","8",0,"25-02800","N"
2,"1",1,1,"3","9",0,"25-01000","N"
2,"4",1,1,"7","5",0,"25-00703","15"
2,"6",1,1,"0","4",0,"25-01000","N"
1,"N",1,2,"N","1",0,"25-00503","N"
1,"1",1,1,"9","9",0,"25-02800","10"
1,"6",1,1,"7","10",0,"25-00503","3"
2,"N",9,1,"N","3",0,"25-02800","N"
2,"N",1,1,"N","N",0,"25-00703","N"
2,"1",1,1,"2","9",0,"25-00703","6"
1,"3",1,1,"2","9",0,"25-00703","N"
2,"1",1,1,"7","8",0,"25-00703","7"
2,"N",1,1,"N","1",0,"25-01300","N"
1,"1",1,1,"8","10",0,"25-01000","7"
2,"1",1,1,"7","9",0,"25-00703","10"
2,"6",6,0,"1","5",0,"25-01000","6"
2,"1",1,1,"7","10",0,"25-00703","13"
1,"1",1,1,"8","5",0,"25-01000","3"
1,"1",1,1,"6","7",0,"25-00703","16"
2,"1",1,1,"6","5",0,"25-00703","4"
2,"1",6,1,"0","11",0,"25-01300","10"
2,"1",6,2,"0","10",0,"25-02800","12"
1,"2",1,2,"3","10",0,"25-01000","7"
2,"N",1,2,"N","N",0,"25-00703","N"
2,"3",1,1,"6","5",0,"25-02800","N"
2,"6",1,0,"1","7",0,"25-00703","15"
2,"1",1,1,"7","10",0,"25-00703","10"
2,"1",1,1,"1","7",0,"25-00503","N"
2,"3",1,1,"7","10",0,"25-00703","N"
2,"N",1,2,"N","2",0,"25-01000","N"
2,"6",1,2,"1","4",0,"25-00503","6"
2,"1",1,1,"8","5",0,"25-00703","10"
2,"N",1,1,"N","1",0,"25-01300","N"
2,"6",1,1,"6","8",0,"25-02800","11"
1,"2",1,2,"7","11",0,"25-02800","12"
2,"6",1,0,"1","7",0,"25-00703","15"
2,"1",1,1,"4","5",0,"25-00503","N"
2,"1",6,2,"3","10",0,"25-00703","3"
1,"1",1,1,"8","7",0,"25-01000","7"
1,"4",1,1,"3","5",0,"25-01000","5"
1,"6",1,0,"2","4",0,"25-00703","14"
