PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
25-00703,65,1,1,0,1,0,2,1,1,770,3,7,58000.0,6,501,N,2,2,2,2
25-00503,2,2,N,0,1,1,3,1,1,N,N,N,N,N,501,N,N,N,2,2
25-00703,72,1,1,0,1,0,2,1,1,6190,7,7,4.0,0,501,N,2,2,2,2
25-01300,34,1,6,0,1,0,2,1,1,1190,4,5,0.0,0,501,N,2,2,2,2
25-01300,25,1,6,0,1,0,N,1,2,8680,14,5,44400.0,5,347,N,2,2,2,2
25-01300,5,2,N,0,1,2,4,1,1,N,N,1,N,N,501,N,1,2,2,2
25-00703,7,2,N,0,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
25-01300,5,2,N,0,1,2,4,1,1,N,N,2,N,N,501,N,2,2,2,2
25-00703,13,2,N,0,1,1,2,1,1,N,N,3,N,N,286,N,2,2,2,2
25-00703,33,2,6,0,1,0,N,1,1,8990,15,7,6000.0,1,43,N,1,2,2,2
25-02800,32,1,6,0,1,0,6,1,1,4870,6,7,13100.0,2,501,N,1,2,2,2
25-00503,75,2,4,0,1,0,2,1,2,3980,4,9,200000.0,9,501,N,2,1,2,1
25-00503,70,2,4,0,1,1,2,1,1,N,N,9,15000.0,3,187,N,2,2,2,2
25-01300,45,2,1,0,1,2,4,1,1,9370,16,10,124000.0,9,501,N,2,2,2,2
25-00703,72,1,4,0,1,0,N,1,2,N,N,5,0.0,0,0,N,2,1,2,2
25-01300,12,1,N,0,1,2,4,1,1,N,N,3,N,N,360,N,2,2,2,2
25-01300,47,1,1,0,1,3,5,1,1,6970,9,10,75000.0,7,501,N,2,2,2,2
25-00703,53,2,1,0,1,0,2,1,1,7071,9,9,63400.0,7,501,N,2,2,2,2
25-00703,22,1,6,0,1,0,4,1,1,280,0,9,5000.0,1,501,N,2,2,2,2
25-02800,94,1,4,0,1,0,N,1,2,N,N,4,70400.0,7,501,5,1,1,2,1
25-00503,46,1,5,0,1,2,3,1,2,7071,9,9,260000.0,9,501,N,2,2,2,2
25-01300,37,2,1,0,1,3,5,1,1,N,N,9,-1600.0,0,501,N,2,2,2,2
25-02800,35,1,1,0,1,0,2,1,1,7290,10,12,170000.0,9,501,N,2,2,2,2
25-00703,58,1,1,0,1,1,3,1,2,8990,15,5,32000.0,4,325,N,2,2,2,2
25-00703,48,1,1,0,1,2,4,1,1,4795,6,7,52000.0,6,427,N,2,2,2,2
25-00503,28,1,6,0,2,N,N,3,0,8570,14,4,0.0,0,11,N,2,2,2,2
25-00503,21,2,6,0,6,0,N,1,2,N,N,5,1000.0,1,10,N,2,2,2,2
25-00703,75,2,4,0,1,0,N,1,2,N,N,5,25600.0,4,212,N,2,1,2,2
25-00703,61,2,1,0,1,0,2,1,1,6770,8,5,40000.0,5,501,N,2,2,2,2
25-01000,45,1,6,0,1,0,N,1,1,6992,9,10,120000.0,8,501,N,2,2,2,2
25-01300,48,2,1,0,1,3,5,1,1,7460,10,9,80000.0,7,501,N,2,2,2,2
25-00503,12,2,N,0,6,2,4,1,2,N,N,3,N,N,501,N,2,2,2,2
25-02800,42,1,1,2,1,1,3,1,1,9570,16,4,80000.0,7,501,N,2,2,2,2
25-00503,75,1,1,0,1,0,3,1,1,N,N,7,14000.0,3,454,N,2,2,2,2
25-02800,82,2,6,0,1,N,N,3,0,N,N,9,0.0,0,0,N,2,1,2,2
25-01300,61,1,1,0,1,0,3,1,1,6070,7,5,95000.0,8,501,N,2,2,2,2
25-02800,60,2,6,0,1,0,N,1,1,8680,14,9,18000.0,3,133,N,2,2,2,2
25-02800,42,2,1,0,1,2,4,1,1,7860,11,10,60000.0,6,501,N,2,2,2,2
25-02800,52,1,1,0,1,0,2,1,1,7870,11,9,81000.0,7,501,N,2,2,2,2
25-02800,15,1,6,0,1,1,4,1,1,N,N,4,0.0,0,501,N,2,2,2,2
25-00503,20,1,6,0,1,N,N,3,0,7890,11,7,2000.0,1,N,N,2,2,2,2
25-02800,65,2,1,0,1,0,4,1,1,5381,6,7,28000.0,4,501,N,2,2,2,2
25-00503,32,2,1,0,1,1,3,1,2,7860,11,10,78000.0,7,501,N,2,2,2,2
25-01300,4,1,N,0,1,2,4,1,1,N,N,1,N,N,501,N,N,N,2,2
25-01300,83,1,1,0,1,0,2,1,1,N,N,1,53000.0,6,423,N,2,2,2,1
25-00703,11,1,N,0,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
25-01000,71,2,3,0,1,0,N,1,2,N,N,5,8560.0,2,68,N,2,2,2,2
25-01000,67,2,1,0,1,0,2,1,1,N,N,5,9100.0,2,501,N,2,2,2,2
25-00503,48,2,1,0,6,0,3,1,1,7460,10,12,152000.0,9,501,N,2,2,2,2
25-00703,26,2,1,0,1,3,5,1,1,4795,6,10,53000.0,6,427,N,2,2,2,2
25-02800,59,2,1,0,1,0,2,1,1,2190,4,10,157000.0,9,501,N,2,2,2,2
25-00703,19,2,6,0,1,2,3,1,2,7390,10,7,1600.0,1,501,N,2,2,2,2
25-01300,46,2,1,0,1,2,4,1,1,8270,12,6,890.0,1,434,N,2,2,2,2
25-00703,67,2,3,0,1,0,4,1,1,7860,11,9,74300.0,7,478,N,2,2,2,2
25-00503,39,2,1,0,6,2,4,1,1,8191,12,11,139000.0,9,501,N,2,2,2,2
25-00703,59,1,1,0,1,2,4,1,1,7870,11,9,86000.0,8,471,N,2,2,2,2
25-00703,75,2,1,0,1,0,2,1,1,7860,11,5,34800.0,5,470,N,2,2,2,2
25-00703,71,2,6,0,1,0,N,1,2,7670,10,9,74300.0,7,501,N,2,2,2,2
25-00703,55,1,1,0,1,1,3,1,1,8370,13,10,0.0,0,501,N,2,2,2,2
25-02800,82,2,3,0,1,0,4,1,1,N,N,5,26710.0,4,501,N,2,2,2,2
25-00703,34,1,6,0,1,0,N,1,2,1190,4,5,65000.0,7,501,N,2,2,2,2
25-00503,21,1,6,2,1,N,N,3,0,N,N,7,0.0,0,N,N,2,2,2,2
25-00503,45,1,1,0,6,0,4,1,1,7380,10,10,245000.0,9,501,N,2,2,2,2
25-00703,21,2,6,0,1,0,4,1,1,7860,11,7,7200.0,2,501,N,2,2,2,2
25-01000,31,2,6,0,1,0,3,1,1,7860,11,7,117000.0,8,501,N,2,2,2,2
25-02800,37,2,1,0,1,1,3,1,1,6890,9,9,120000.0,8,501,N,2,2,2,2
25-01300,73,1,1,0,1,0,2,1,1,N,N,7,19200.0,3,321,N,2,2,2,2
25-00503,31,1,6,0,1,1,2,1,2,7860,11,9,42000.0,5,349,N,2,2,2,2
25-02800,59,1,4,0,1,0,N,1,1,4971,6,8,86600.0,8,501,N,2,2,2,2
25-00703,40,2,1,0,1,2,4,1,1,7860,11,11,80600.0,7,501,N,2,2,2,2
25-01300,17,1,6,0,1,2,4,1,1,8470,13,4,5000.0,1,501,N,2,2,2,2
25-00703,75,1,6,0,1,0,N,1,1,N,N,10,70100.0,7,501,N,2,2,2,2
25-00703,66,2,4,0,1,0,N,1,1,9370,16,9,113850.0,8,501,N,2,2,2,2
25-02800,37,2,6,0,1,1,2,1,1,9160,15,9,24000.0,4,162,N,2,2,2,2
25-01300,27,2,6,0,1,0,2,1,1,3390,4,9,27000.0,4,501,N,2,2,2,2
25-00703,4,1,N,0,1,2,4,1,2,N,N,2,N,N,298,N,N,N,2,2
25-01000,19,2,6,0,1,0,7,1,1,8470,13,5,6000.0,1,501,N,2,2,2,2
25-00703,76,1,3,0,1,0,N,1,1,5190,6,5,25000.0,4,204,N,2,2,2,2
25-00503,52,1,1,0,1,2,4,1,1,7460,10,9,200000.0,9,501,N,2,2,2,2
25-01300,5,1,N,0,9,2,4,1,1,N,N,2,N,N,501,N,2,2,2,2
25-01000,71,1,1,0,1,0,2,1,1,N,N,8,42000.0,5,501,N,2,2,2,2
25-02800,49,2,4,4,9,1,2,1,2,3390,4,9,54000.0,6,501,N,2,2,2,2
25-00503,19,2,6,0,1,N,N,3,0,7870,11,7,1200.0,1,N,N,2,2,2,2
25-01000,41,2,1,0,1,2,4,1,1,7071,9,9,50000.0,6,470,N,2,2,2,2
25-01000,23,1,6,0,1,0,3,1,1,7860,11,5,3000.0,1,501,N,2,2,2,2
25-00503,0,1,N,0,1,0,2,1,2,N,N,N,N,N,373,N,N,N,2,2
25-01000,68,1,1,0,1,0,2,1,1,770,3,5,32200.0,4,248,N,2,2,2,1
25-02800,72,2,4,0,2,0,N,1,1,1790,4,5,53500.0,6,442,N,2,2,2,2
25-00703,52,2,6,0,1,0,N,1,1,8370,13,7,55000.0,6,427,N,2,1,2,2
25-00503,78,2,4,0,1,0,N,1,2,N,N,8,10000.0,2,72,N,2,1,2,2
25-00503,22,2,6,4,8,N,N,3,0,7380,10,7,0.0,0,N,N,1,2,2,1
25-01300,81,2,3,0,1,0,2,1,1,N,N,7,15400.0,3,52,N,1,2,2,2
25-02800,44,2,1,0,1,2,4,1,1,7860,11,9,19300.0,3,501,N,2,2,2,2
25-00503,71,1,6,0,1,0,N,1,1,7190,9,5,10000.0,2,73,N,2,2,2,2
25-00503,63,2,1,0,1,0,2,1,1,N,N,5,7270.0,2,501,N,2,2,2,2
25-01300,79,2,1,0,1,0,2,1,1,N,N,10,16600.0,3,191,N,2,2,2,2
25-00503,21,1,6,0,1,N,N,3,0,7870,11,5,1000.0,1,N,N,2,2,2,2
25-02800,59,1,1,0,1,0,2,1,1,770,3,5,65000.0,7,501,N,2,2,2,2
25-00703,32,2,1,0,1,2,4,1,1,7870,11,10,0.0,0,501,N,2,2,2,2
25-00703,68,2,1,0,6,0,2,1,1,9370,16,5,15000.0,3,216,N,2,2,2,2
25-00703,56,1,1,0,1,0,2,1,2,5170,6,8,30000.0,4,329,N,2,2,2,2
25-01000,12,1,N,0,1,3,4,1,1,N,N,3,N,N,410,N,2,2,2,2
25-01000,60,2,1,0,1,0,5,1,1,7860,11,8,20100.0,3,481,N,2,2,2,2
25-02800,65,1,1,0,1,0,2,1,1,N,N,9,60110.0,6,501,N,2,2,1,2
25-01000,67,2,4,0,1,0,N,1,1,7460,10,9,174000.0,9,501,N,2,2,2,2
25-00703,22,1,6,0,1,0,2,1,2,8290,12,6,30000.0,4,90,N,2,2,2,2
25-00703,75,2,3,0,1,0,N,1,2,N,N,7,69200.0,7,501,N,2,2,2,2
25-02800,57,2,1,0,1,0,2,1,1,2570,4,5,53000.0,6,501,N,2,1,2,2
25-00703,80,2,3,0,1,0,N,1,2,N,N,7,1900.0,1,16,N,2,1,2,2
25-00703,49,2,1,0,1,1,3,1,1,8191,12,10,50000.0,6,501,N,2,2,2,2
25-01000,82,2,4,0,1,0,N,1,1,N,N,5,12000.0,2,98,N,2,1,2,2
25-01000,5,1,N,0,1,2,6,1,1,N,N,2,N,N,348,N,2,2,2,2
25-01000,52,1,1,0,1,0,2,1,1,7390,10,10,627000.0,9,501,N,2,2,2,2
25-01300,6,2,N,0,9,4,6,1,1,N,N,2,N,N,239,N,2,2,2,2
25-00503,80,2,3,0,1,0,N,1,1,N,N,10,75000.0,7,501,N,2,2,2,2
25-01300,65,1,1,0,1,0,2,1,1,570,2,5,50000.0,6,501,N,2,2,2,2
25-01300,11,1,N,0,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
25-00503,72,2,1,0,6,0,2,1,2,8270,12,5,20200.0,3,425,N,2,2,2,2
25-00503,9,1,N,0,6,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
25-02800,56,1,1,0,1,0,6,1,1,8680,14,5,40000.0,5,449,N,2,2,2,2
25-00703,38,2,1,0,1,2,4,1,1,5580,6,4,85800.0,8,501,N,2,2,2,2
