"AGEP","RAC1P","MSP","SEX","HOUSING_TYPE","OWN_RENT","DVET","DEYE","PINCP_DECILE","EDU"
68,1,"4",2,1,1,"N",2,"8","7"
40,1,"6",2,1,1,"N",2,"0","7"
50,1,"1",2,1,1,"N",2,"0","7"
33,2,"6",2,1,2,"N",2,"5","7"
58,1,"4",2,1,1,"N",2,"8","10"
73,1,"1",2,1,1,"N",2,"0","7"
82,1,"1",1,1,1,"N",2,"9","9"
0,1,"N",1,1,1,"N",2,"N","N"
68,1,"1",1,1,1,"N",2,"8","10"
41,1,"1",2,1,1,"N",2,"3","5"
69,1,"1",2,1,1,"N",2,"3","4"
49,1,"1",1,1,1,"N",2,"8","7"
7,1,"N",1,1,1,"N",2,"N","3"
9,1,"N",1,1,1,"N",2,"N","3"
17,9,"6",2,1,1,"N",2,"2","4"
23,1,"6",1,1,1,"N",2,"5","5"
46,1,"1",2,1,1,"N",2,"0","3"
43,6,"1",2,1,1,"N",2,"3","9"
42,1,"1",1,1,1,"N",2,"8","7"
13,1,"N",1,1,2,"N",2,"N","3"
32,1,"6",1,1,1,"N",2,"7","9"
6,1,"N",2,1,1,"N",2,"N","2"
20,1,"6",2,1,2,"N",2,"4","5"
10,1,"N",2,1,1,"N",2,"N","3"
8,1,"N",2,1,2,"N",2,"N","3"
61,1,"4",1,1,1,"N",1,"5","4"
49,1,"1",1,1,1,"N",2,"9","8"
15,1,"1",1,1,2,"N",2,"0","4"
35,1,"1",2,1,1,"N",2,"3","5"
54,1,"1",2,1,1,"N",2,"4","5"
55,6,"1",2,1,1,"N",2,"0","3"
49,8,"1",2,1,1,"N",2,"0","3"
37,1,"6",1,1,1,"N",2,"0","8"
2,1,"N",1,1,1,"N",2,"N","N"
3,1,"N",2,1,1,"N",2,"N","2"
67,1,"1",1,1,1,"N",2,"9","7"
15,1,"6",2,1,1,"N",2,"0","4"
58,1,"4",1,1,2,"N",2,"9","7"
65,1,"1",2,1,1,"N",2,"4","5"
47,1,"1",1,1,1,"N",2,"9","9"
52,1,"1",2,1,1,"N",2,"9","9"
44,1,"6",1,1,1,"N",2,"0","7"
3,9,"N",1,1,2,"N",2,"N","1"
68,1,"3",2,1,1,"N",2,"9","7"
27,1,"1",2,1,2,"N",2,"0","5"
30,1,"1",1,1,1,"N",2,"7","7"
28,1,"1",1,1,1,"N",2,"7","9"
67,1,"1",2,1,1,"N",2,"2","5"
34,1,"1",1,1,1,"N",2,"8","9"
16,1,"6",1,1,2,"N",2,"0","4"
3,1,"N",1,1,1,"N",2,"N","1"
65,1,"1",2,1,1,"N",2,"7","9"
76,1,"4",1,1,1,"N",2,"3","5"
52,1,"1",2,1,1,"N",2,"0","9"
17,1,"6",2,1,1,"N",2,"2","4"
67,1,"1",1,1,1,"N",2,"8","7"
18,1,"6",2,3,0,"N",2,"3","5"
28,1,"6",1,1,1,"N",2,"7","9"
