,feature,divergence
1,AGEP,2.0014719202898554
10,DENSITY,1.3400529731043003
15,POVPIP,1.3329492053576877
13,PINCP,0.7676203952544126
14,PINCP_DECILE,0.6273131394143308
12,EDU,0.28464106844741244
11,INDP_CAT,0.1840663175136395
7,NPF,0.17738686381032961
5,RAC1P,0.13512990234421796
3,MSP,0.11297820314923579
6,NOC,0.051898209799207756
0,PUMA,0.03087505056392703
8,HOUSING_TYPE,0.024572137117754904
4,HISP,0.023886787265957894
17,DREM,0.02151687890466631
18,DPHY,0.014766015447523873
16,DVET,0.012975920911061894
9,OWN_RENT,0.01227002238357805
2,SEX,0.00405996962949251
19,DEYE,0.0027681183313077312
20,DEAR,0.002448713198760437
