,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,1.0,1,1.0,1.0,0,0.0,06-07502,39.0,0,4,501
1,1.0,1,1.0,1.0,0,0.0,06-07502,48.0,0,4,501
2,1.0,1,1.0,1.0,0,0.0,30-00600,47.0,0,3,501
3,1.0,1,1.0,1.0,0,0.0,30-00600,55.0,0,2,501
4,1.0,1,1.0,1.0,0,0.0,30-00600,60.0,0,2,501
5,1.0,1,1.0,1.0,0,0.0,30-00600,60.0,0,3,501
6,1.0,1,1.0,1.0,0,0.0,30-00600,61.0,0,2,501
7,1.0,1,1.0,1.0,0,0.0,30-00600,61.0,0,2,501
8,1.0,1,1.0,1.0,0,0.0,30-00600,68.0,0,2,501
9,1.0,1,1.0,1.0,0,0.0,30-00600,68.0,0,2,501
10,1.0,1,1.0,1.0,0,0.0,30-00600,68.0,0,3,501
11,1.0,1,1.0,1.0,0,0.0,38-00100,60.0,0,2,501
12,1.0,1,1.0,1.0,0,0.0,38-00100,60.0,0,2,501
13,1.0,1,1.0,1.0,0,0.0,38-00100,62.0,0,2,501
14,1.0,1,1.0,1.0,0,0.0,38-00100,62.0,0,2,501
15,1.0,1,1.0,1.0,0,0.0,38-00100,62.0,0,3,501
16,1.0,1,1.0,1.0,0,0.0,38-00100,64.0,0,3,501
17,1.0,1,1.0,1.0,0,0.0,38-00100,64.0,0,3,501
18,1.0,1,1.0,1.0,0,0.0,40-00200,38.0,1,3,501
19,1.0,1,1.0,1.0,0,0.0,40-00200,68.0,0,3,501
20,1.0,1,1.0,1.0,0,0.0,51-01301,39.0,0,3,501
21,1.0,1,1.0,1.0,0,0.0,51-01301,39.0,0,3,501
22,1.0,1,1.0,1.0,0,0.0,51-51255,60.0,1,2,501
23,1.0,1,1.0,1.0,0,0.0,06-08507,42.0,1,3,501
24,1.0,1,1.0,1.0,0,0.0,06-08507,45.0,0,3,501
25,1.0,1,1.0,1.0,0,0.0,06-08507,45.0,0,4,501
26,1.0,1,1.0,1.0,0,0.0,06-08507,45.0,1,3,501
27,1.0,1,1.0,1.0,0,0.0,06-08507,45.0,1,4,501
28,1.0,1,1.0,1.0,0,0.0,06-08507,48.0,0,3,501
29,1.0,1,1.0,1.0,0,0.0,06-08507,48.0,0,3,501
30,1.0,1,1.0,1.0,0,0.0,06-08507,62.0,0,3,501
31,1.0,1,1.0,1.0,0,0.0,06-08507,64.0,0,2,501
32,1.0,1,1.0,1.0,0,0.0,17-03529,62.0,0,2,501
