,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,1.0,1,1.0,1.0,0,1,0.0,32-00405,N
1,1.0,1,1.0,1.0,0,1,0.0,32-00405,N
2,1.0,1,1.0,1.0,0,1,0.0,06-08507,N
3,1.0,1,1.0,1.0,0,10,0.0,06-07502,N
4,1.0,1,1.0,1.0,0,10,0.0,06-07502,N
5,1.0,1,1.0,1.0,0,10,0.0,06-07502,N
6,1.0,1,1.0,1.0,0,10,0.0,36-04010,11
7,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
8,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
9,1.0,1,1.0,1.0,0,10,0.0,51-01301,11
10,1.0,1,1.0,1.0,0,10,0.0,51-51255,11
11,1.0,1,1.0,1.0,0,10,0.0,06-08507,N
12,1.0,1,1.0,1.0,0,10,0.0,06-08507,N
13,1.0,1,1.0,1.0,0,10,0.0,06-08507,11
14,1.0,1,1.0,1.0,0,10,0.0,13-04600,N
15,1.0,1,1.0,1.0,0,10,0.0,19-01700,11
16,1.0,1,1.0,1.0,0,10,0.0,24-01004,N
17,1.0,1,1.0,1.0,0,10,0.0,24-01004,N
18,1.0,1,1.0,1.0,0,10,0.0,24-01004,14
19,1.0,1,1.0,1.0,0,10,1.0,06-07502,N
20,1.0,1,1.0,1.0,0,10,4.0,24-01004,N
21,1.0,1,1.0,1.0,0,8,0.0,01-01301,14
22,1.0,1,1.0,1.0,0,8,0.0,28-01100,N
23,1.0,1,1.0,1.0,0,8,0.0,29-01901,6
24,1.0,1,1.0,1.0,0,8,0.0,29-01901,N
25,1.0,1,1.0,1.0,0,8,0.0,30-00600,N
26,1.0,1,1.0,1.0,0,8,0.0,32-00405,N
27,1.0,1,1.0,1.0,0,8,0.0,38-00100,N
28,1.0,1,1.0,1.0,0,8,0.0,38-00100,N
29,1.0,1,1.0,1.0,0,8,0.0,40-00200,6
30,1.0,1,1.0,1.0,0,8,0.0,40-00200,N
31,1.0,1,1.0,1.0,0,8,0.0,13-04600,3
32,1.0,1,1.0,1.0,0,8,0.0,13-04600,3
33,1.0,1,1.0,1.0,0,8,0.0,13-04600,3
34,1.0,1,1.0,1.0,0,8,0.0,19-01700,10
35,1.0,1,1.0,1.0,0,8,0.0,24-01004,N
36,1.0,1,1.0,1.0,0,8,1.0,32-00405,10
37,1.0,1,1.0,1.0,0,8,4.0,24-01004,N
38,1.0,1,1.0,1.0,0,9,0.0,01-01301,N
39,1.0,1,1.0,1.0,0,9,0.0,06-07502,9
40,1.0,1,1.0,1.0,0,9,0.0,06-07502,9
41,1.0,1,1.0,1.0,0,9,0.0,06-07502,N
42,1.0,1,1.0,1.0,0,9,0.0,28-01100,N
43,1.0,1,1.0,1.0,0,9,0.0,30-00600,11
44,1.0,1,1.0,1.0,0,9,0.0,32-00405,N
45,1.0,1,1.0,1.0,0,9,0.0,32-00405,11
46,1.0,1,1.0,1.0,0,9,0.0,36-04010,N
47,1.0,1,1.0,1.0,0,9,0.0,36-04010,N
48,1.0,1,1.0,1.0,0,9,0.0,36-04010,N
49,1.0,1,1.0,1.0,0,9,0.0,36-04010,11
50,1.0,1,1.0,1.0,0,9,0.0,36-04010,13
51,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
52,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
53,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
54,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
55,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
56,1.0,1,1.0,1.0,0,9,0.0,38-00100,16
57,1.0,1,1.0,1.0,0,9,0.0,51-01301,N
58,1.0,1,1.0,1.0,0,9,0.0,51-01301,N
59,1.0,1,1.0,1.0,0,9,0.0,51-01301,10
60,1.0,1,1.0,1.0,0,9,0.0,51-01301,11
61,1.0,1,1.0,1.0,0,9,0.0,51-01301,16
62,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
63,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
64,1.0,1,1.0,1.0,0,9,0.0,51-51255,11
65,1.0,1,1.0,1.0,0,9,0.0,51-51255,15
66,1.0,1,1.0,1.0,0,9,0.0,06-08507,10
67,1.0,1,1.0,1.0,0,9,0.0,06-08507,11
68,1.0,1,1.0,1.0,0,9,0.0,06-08507,11
