,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
1,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
2,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
3,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
4,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
5,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
6,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
7,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
8,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
9,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
10,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
11,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
12,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
13,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
14,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
15,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
16,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
17,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
18,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
19,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
20,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
21,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
22,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
23,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
24,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
25,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
26,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
27,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
28,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
29,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
30,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
31,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
32,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
33,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
34,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
35,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
36,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
37,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
38,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
39,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
40,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
41,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
42,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
43,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
44,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
45,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
46,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
47,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
48,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
49,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
50,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
51,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
52,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
53,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
54,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
55,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
56,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
57,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
58,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
59,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
60,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
61,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
62,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
63,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
64,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
65,11.0,1.0,N,2.0,1.0,1.0,N,2.0,N,3
