,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
1,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
2,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
3,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
4,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
5,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
6,1.0,1,1.0,1.0,0,10,0.0,51-01301,N
7,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
8,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
9,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
10,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
11,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
12,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
13,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
14,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
15,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
16,1.0,1,1.0,1.0,0,10,0.0,51-51255,N
17,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
18,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
19,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
20,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
21,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
22,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
23,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
24,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
25,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
26,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
27,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
28,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
29,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
30,1.0,1,1.0,1.0,0,9,0.0,38-00100,N
31,1.0,1,1.0,1.0,0,9,0.0,51-01301,N
32,1.0,1,1.0,1.0,0,9,0.0,51-01301,N
33,1.0,1,1.0,1.0,0,9,0.0,51-01301,N
34,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
35,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
36,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
37,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
38,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
39,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
40,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
41,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
42,1.0,1,1.0,1.0,0,9,0.0,51-51255,N
43,1.0,1,1.0,1.0,0,9,0.0,06-08507,N
44,1.0,1,1.0,1.0,0,9,0.0,06-08507,N
45,1.0,1,1.0,1.0,0,9,0.0,06-08507,N
46,1.0,1,1.0,1.0,0,9,0.0,06-08507,N
47,1.0,1,1.0,1.0,0,9,0.0,06-08507,N
48,1.0,1,1.0,1.0,0,9,0.0,06-08507,N
49,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
50,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
51,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
52,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
53,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
54,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
55,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
56,1.0,1,1.0,1.0,0,9,0.0,08-00803,N
57,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
58,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
59,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
60,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
61,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
62,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
63,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
64,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
65,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
66,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
67,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
68,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
69,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
70,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
71,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
72,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
73,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
74,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
75,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
76,1.0,1,1.0,1.0,0,9,0.0,24-01004,N
77,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
78,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
79,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
80,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
81,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
82,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
83,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
84,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
85,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
86,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
87,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
88,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
89,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
90,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
91,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
92,1.0,1,1.0,1.0,0,4,0.0,38-00100,N
93,1.0,1,1.0,1.0,0,4,0.0,40-00200,N
94,1.0,1,1.0,1.0,0,4,0.0,40-00200,N
95,1.0,1,1.0,1.0,0,4,0.0,40-00200,N
96,1.0,1,1.0,1.0,0,4,0.0,40-00200,N
97,1.0,1,1.0,1.0,0,4,0.0,40-00200,N
98,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
99,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
100,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
101,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
102,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
103,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
104,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
105,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
106,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
107,1.0,1,1.0,1.0,0,4,0.0,06-08507,N
108,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
109,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
110,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
111,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
112,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
113,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
114,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
115,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
116,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
117,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
118,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
119,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
120,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
121,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
122,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
123,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
124,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
125,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
126,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
127,1.0,1,1.0,1.0,0,5,0.0,30-00600,N
128,1.0,1,1.0,1.0,0,5,0.0,40-00200,N
129,1.0,1,1.0,1.0,0,5,0.0,40-00200,N
130,1.0,1,1.0,1.0,0,5,0.0,40-00200,N
131,1.0,1,1.0,1.0,0,5,0.0,40-00200,N
132,1.0,1,1.0,1.0,0,5,0.0,40-00200,N
133,1.0,1,1.0,1.0,0,7,0.0,28-01100,N
134,1.0,1,1.0,1.0,0,7,0.0,28-01100,N
135,1.0,1,1.0,1.0,0,7,0.0,28-01100,N
136,1.0,1,1.0,1.0,0,7,0.0,28-01100,N
137,1.0,1,1.0,1.0,0,7,0.0,28-01100,N
138,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
139,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
140,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
141,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
142,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
143,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
144,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
145,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
146,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
147,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
148,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
149,1.0,1,1.0,1.0,0,7,0.0,30-00600,N
