SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,6,8,1,6,1,30-00600,42,0,4,157,14463
1,2,9,2,2,1,36-04010,30,0,3,5,17693
2,4,2,2,6,0,36-03710,44,2,3,431,16318
1,6,1,0,5,0,32-00405,33,N,N,N,15033
2,6,2,1,6,0,26-02702,54,1,2,19,10871
2,3,2,2,1,0,36-03710,70,0,3,161,16298
2,3,2,2,1,0,26-02702,61,0,12,144,11081
1,N,3,1,9,0,36-04010,6,0,2,500,24257
1,N,1,1,N,0,24-01004,3,2,4,501,26275
1,6,1,0,4,0,24-01004,17,N,9,99,10409
2,1,1,1,4,0,51-01301,46,2,4,51,22616
1,1,1,1,5,0,30-00600,69,0,2,376,15060
1,6,8,2,1,1,30-00600,20,0,3,148,14953
2,N,2,1,9,0,13-04600,11,0,12,96,24966
1,6,1,2,5,0,06-07502,43,0,N,236,2099
2,1,6,2,1,0,06-08507,48,2,4,501,2480
2,6,2,1,0,0,01-01301,22,0,3,95,444
2,1,1,1,7,0,51-01301,61,0,12,500,22230
1,6,1,2,1,0,51-51255,19,6,10,438,21585
1,N,2,2,9,0,36-03710,11,2,3,500,23431
2,N,2,2,N,0,28-01100,2,0,10,96,26967
2,1,2,2,2,0,51-01301,31,0,12,500,21246
2,6,2,1,2,0,28-01100,55,0,2,187,11631
1,1,2,2,8,0,51-51255,45,4,6,76,22698
2,6,8,2,1,1,08-00803,28,0,N,53,3479
1,1,2,1,1,0,36-03710,79,0,12,127,16671
1,6,1,2,5,0,06-08507,24,0,9,367,3316
1,N,1,2,9,0,51-01301,6,2,2,228,25617
1,1,1,1,9,4,30-00600,68,0,2,501,14543
2,6,1,1,0,0,26-02702,17,1,3,501,12068
2,2,2,1,0,0,17-03529,45,0,12,498,5643
1,1,1,1,8,0,51-01301,46,2,3,50,20174
1,6,1,0,0,1,29-01901,17,N,N,N,13428
1,6,9,1,0,0,30-00600,14,2,2,194,14431
1,2,2,1,2,0,01-01301,46,0,N,71,833
1,6,2,2,1,0,36-03710,37,0,N,192,17652
1,1,2,2,7,0,36-04010,71,0,2,51,18054
1,1,8,2,7,0,32-00405,53,0,3,500,16325
2,N,1,1,N,0,51-01301,6,2,4,501,26051
1,1,1,1,8,0,36-04010,53,0,3,500,17906
1,1,1,1,7,0,19-01700,72,0,12,500,9035
1,2,2,1,0,0,29-01901,65,0,2,108,13200
2,4,1,1,5,0,38-00100,81,0,N,318,19140
2,1,6,1,7,0,06-07502,41,2,3,500,1510
2,6,1,1,3,0,38-00100,24,0,2,440,18300
1,1,1,1,7,0,36-04010,41,3,4,312,18057
1,1,1,2,1,0,13-04600,64,0,3,50,4665
2,3,1,1,6,0,06-08507,70,0,9,500,3190
2,1,1,1,0,4,24-01004,50,2,4,501,8599
2,1,6,1,0,0,19-01700,31,0,12,500,9905
2,6,1,1,5,3,32-00405,46,0,N,222,15710
2,1,2,2,3,0,28-01100,25,1,3,250,12697
1,N,3,2,9,0,29-01901,1,4,4,69,26472
1,6,1,2,9,0,06-07502,29,0,N,501,3146
1,1,2,1,4,0,13-04600,30,0,12,316,4619
1,1,2,1,4,0,08-00803,67,0,12,239,4169
1,1,1,1,8,0,36-04010,28,1,2,500,17363
2,1,1,1,9,0,17-03529,67,0,2,501,7735
2,6,2,2,2,0,29-01901,54,0,N,87,13140
1,6,2,1,5,0,17-03529,21,0,12,500,6030
2,6,2,2,0,0,08-00803,14,0,3,314,4215
2,6,1,0,0,0,06-08507,17,N,9,98,2873
2,6,1,2,0,1,36-04010,13,3,5,290,17385
1,6,1,2,1,0,08-00803,20,0,N,150,3854
1,6,2,1,0,0,17-03529,13,0,2,2,3556
1,6,1,1,0,4,19-01700,17,0,3,50,8699
2,1,6,2,4,0,51-51255,43,0,2,69,23510
2,6,6,2,0,0,06-07502,14,1,2,0,2404
1,1,1,1,8,0,51-01301,34,0,12,500,22365
1,6,6,1,0,0,06-07502,16,2,3,500,2492
1,N,2,2,N,0,28-01100,11,1,2,233,27110
1,1,1,1,5,0,30-00600,77,0,2,432,14304
2,N,2,2,9,0,26-02702,11,3,3,70,26231
1,1,1,2,5,4,36-03710,62,0,2,468,16512
2,5,1,1,0,0,40-00200,23,1,4,240,20200
2,1,6,2,7,0,01-01301,39,1,2,5,179
2,3,1,1,5,0,19-01700,60,0,N,237,8412
1,6,1,2,5,0,08-00803,25,0,N,274,3281
1,6,6,1,5,0,19-01700,24,0,3,51,9705
2,6,6,1,6,0,08-00803,24,0,4,501,3570
2,1,6,1,8,0,24-01004,51,1,3,501,8966
2,1,1,2,7,0,19-01700,22,0,12,37,9892
1,1,1,1,4,0,06-08507,68,0,3,501,1873
1,1,1,1,5,0,38-00100,58,1,3,465,19132
1,6,2,2,3,0,30-00600,24,0,9,185,14389
1,1,1,1,3,1,17-03531,69,0,2,247,7602
1,6,1,1,2,0,30-00600,21,0,4,361,14650
1,1,1,1,7,0,08-00803,86,0,2,52,4085
2,4,5,2,4,1,30-00600,50,0,9,209,14194
1,N,2,1,N,0,17-03531,6,1,2,501,25591
1,2,1,1,8,0,19-01700,53,0,4,500,8611
1,1,1,1,9,0,38-00100,47,2,4,501,18851
1,4,1,1,9,0,08-00803,50,0,N,501,4153
2,1,1,1,3,0,38-00100,74,0,2,382,20095
1,4,1,2,5,0,19-01700,67,0,N,250,8853
1,1,2,2,6,0,13-04600,50,0,2,442,5679
2,6,1,0,2,4,36-04010,49,N,N,7,16267
1,1,2,2,5,0,01-01301,66,0,2,188,856
1,1,1,2,5,0,51-01301,33,0,12,500,21941
1,1,2,1,5,0,01-01301,71,0,12,500,85
1,1,1,2,7,0,38-00100,63,0,2,458,18681
1,3,1,1,0,0,17-03531,81,0,9,0,7204
2,1,9,1,6,0,38-00100,54,0,12,500,19984
1,N,1,1,9,0,19-01700,2,2,3,500,25880
2,6,2,2,1,0,17-03529,45,1,2,79,8491
2,1,1,1,0,1,32-00405,48,0,4,103,15951
1,6,1,0,0,0,36-03710,26,N,N,N,16499
2,6,2,2,4,0,32-00405,23,1,2,114,15714
2,6,2,1,5,0,17-03529,58,0,9,308,5872
1,N,1,1,N,0,51-51255,1,1,3,501,26325
2,4,1,1,3,0,28-01100,61,0,N,77,12292
1,N,9,2,9,1,30-00600,0,0,4,95,22618
1,1,1,1,3,0,36-04010,75,0,12,18,17464
2,3,1,1,7,0,17-03531,82,0,12,469,8028
2,1,1,1,1,0,51-01301,71,0,12,50,21246
1,1,1,1,8,0,24-01004,48,1,2,500,10165
2,N,1,1,N,0,06-08507,9,0,5,431,24230
2,6,1,1,0,1,32-00405,17,2,5,211,16089
2,N,6,1,N,0,06-08507,12,2,4,501,24592
2,6,9,1,2,0,38-00100,25,0,N,99,19065
1,1,1,2,6,0,40-00200,32,3,5,108,20424
2,1,1,1,8,0,29-01901,65,0,12,500,13346
2,N,6,1,N,0,24-01004,10,2,4,405,26372
1,6,2,2,0,0,36-03710,59,1,5,173,17013
1,6,2,1,0,0,26-02702,13,2,3,130,11165
1,1,2,2,5,0,36-03710,77,0,2,351,16830
2,6,2,2,0,0,01-01301,40,3,4,0,544
1,1,1,1,8,0,19-01700,50,0,4,501,8278
1,1,1,1,8,0,36-04010,69,0,12,500,17757
2,6,1,1,7,0,19-01700,50,4,6,175,9010
2,1,2,2,0,0,36-04010,58,0,4,361,17939
1,4,2,2,5,0,24-01004,39,5,5,196,10328
2,1,1,1,9,0,08-00803,50,2,4,501,3954
