SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
2,6,8,1,7,1,46,1,N,2,15930
1,2,9,2,3,7,36,1,N,2,19642
2,4,2,2,6,1,42,1,N,2,15714
1,6,1,0,4,6,32,2,N,2,14637
2,6,2,1,6,7,54,1,N,2,10876
2,3,2,2,2,1,76,1,N,2,17721
2,3,2,2,2,6,65,1,N,2,12215
1,N,3,1,9,2,4,1,N,2,23110
1,N,1,1,N,1,3,1,N,2,26305
1,6,1,0,4,6,14,3,N,2,9129
2,1,1,1,4,10,46,1,N,2,22709
1,1,1,1,5,7,67,1,N,2,14680
1,6,8,2,2,5,24,1,N,2,16262
2,N,2,1,N,3,15,1,N,2,25592
1,6,1,2,4,6,41,1,N,2,1705
2,1,6,2,1,9,49,1,N,2,2594
2,6,2,1,0,4,25,1,N,1,894
2,1,1,1,7,10,58,1,N,2,21484
1,6,1,2,1,8,19,1,N,2,21725
1,N,2,2,N,3,12,1,N,2,23899
2,N,2,2,9,9,1,1,N,2,26636
2,1,2,2,2,7,30,1,N,2,21084
2,6,2,1,2,6,56,1,N,1,11820
1,1,2,2,7,1,37,1,N,2,20301
2,6,8,2,1,9,33,1,N,2,4822
1,1,2,1,2,3,84,1,N,2,18190
1,6,1,2,6,9,27,1,N,2,4186
1,N,1,2,9,2,6,1,N,2,25550
1,1,1,1,9,9,70,1,N,2,15350
2,6,1,1,0,3,12,1,N,2,10360
2,2,2,1,1,8,51,1,N,2,7703
1,1,1,1,8,8,47,1,N,2,20316
1,6,1,0,0,4,16,2,N,2,13097
1,6,9,1,0,3,16,1,N,2,15446
1,2,2,1,1,4,43,1,N,2,241
1,6,2,2,0,6,34,1,N,2,16538
1,1,2,2,6,4,66,1,N,2,16543
1,1,8,2,7,6,51,1,N,2,15858
2,N,1,1,N,2,5,1,N,2,25855
1,1,1,1,8,8,55,1,N,2,18408
1,1,1,1,7,1,70,1,N,2,8540
1,2,2,1,0,5,60,1,N,2,11613
2,4,1,1,4,10,80,1,N,2,18833
2,1,6,1,8,10,43,1,N,2,1858
2,6,1,1,2,1,23,1,N,2,18124
1,1,1,1,7,6,37,1,N,2,16626
1,1,1,2,2,11,70,1,N,2,6117
2,3,1,1,7,10,73,1,N,1,3897
