,INDP,count_target,count_deidentified
3,1070,2,0.0
26,1080,1,1.0
29,1090,3,1.0
43,1170,3,3.0
5,1180,7,2.0
18,1270,2,0.0
9,1280,11,8.0
23,1290,1,1.0
27,1370,4,0.0
28,1390,1,0.0
45,1480,1,0.0
44,1670,1,0.0
13,1691,2,1.0
22,1790,4,2.0
42,1870,1,0.0
38,1880,1,0.0
34,1990,4,2.0
7,2090,2,1.0
35,2190,5,0.0
24,2270,1,1.0
41,2280,2,0.0
20,2290,2,0.0
12,2370,5,1.0
19,2390,2,1.0
37,2490,2,2.0
21,2570,1,0.0
15,2590,1,0.0
10,2670,5,0.0
1,2770,3,2.0
4,2870,2,1.0
6,2880,3,2.0
40,2890,2,2.0
16,2980,2,0.0
33,3095,1,0.0
36,3180,2,0.0
0,3291,6,1.0
17,3370,2,1.0
32,3380,4,1.0
30,3470,2,2.0
39,3490,2,1.0
2,3570,38,12.0
14,3580,4,1.0
25,3895,4,3.0
8,3960,6,2.0
31,3980,6,2.0
11,3990,10,6.0
