SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,1,1,1,N,3,39,1,N,2,7412
1,1,1,1,9,6,39,1,N,2,3195
2,1,1,1,7,3,72,1,N,2,1949
2,1,6,1,3,9,28,1,N,2,4842
2,1,1,1,3,6,32,1,N,2,4191
2,1,1,1,1,4,14,1,N,2,3768
2,1,1,1,3,6,57,1,N,2,731
1,6,1,2,0,6,14,1,N,2,2226
1,1,1,1,8,1,16,1,N,2,4867
2,N,1,1,9,12,4,1,N,2,8683
1,1,1,1,6,6,70,1,N,2,2867
1,1,1,1,7,9,59,1,N,2,7291
1,1,1,1,9,6,63,1,N,2,7623
2,6,1,1,0,9,15,1,N,2,4137
2,1,1,1,5,1,38,1,N,2,7273
1,4,1,1,6,7,47,1,N,2,1940
1,1,1,1,6,5,73,1,N,2,4281
1,6,1,1,6,9,29,1,N,2,4071
2,1,1,1,9,5,41,1,N,2,2045
1,3,1,1,8,7,66,1,N,2,2143
1,6,1,1,0,1,21,1,N,2,2789
2,1,1,1,8,5,79,1,N,2,7504
2,3,1,1,8,2,62,1,N,2,2150
1,1,1,2,5,7,28,1,N,2,1911
1,1,1,1,5,9,44,1,N,2,692
2,1,1,1,4,1,46,1,N,2,5638
2,6,1,2,3,5,56,1,N,2,6010
2,1,1,1,7,1,31,1,N,2,5418
2,3,1,1,6,8,38,1,N,2,766
1,1,1,1,2,3,71,1,N,2,8716
2,1,1,1,5,9,77,1,N,2,3548
2,1,1,1,3,4,18,1,N,2,3862
2,4,1,1,6,8,29,1,N,2,3979
2,N,1,1,9,9,12,1,N,2,5819
1,1,1,2,6,6,71,1,N,2,1773
2,3,2,1,9,5,31,1,N,1,4633
1,1,1,1,8,6,63,1,N,2,5646
1,6,1,1,6,9,38,1,N,2,4293
1,1,1,1,9,9,76,1,N,2,7237
1,4,1,1,8,5,41,1,N,2,4472
2,1,1,2,1,12,14,1,N,2,487
1,6,1,1,7,7,64,1,N,2,4514
2,2,1,2,5,6,37,1,N,2,1842
2,3,1,1,8,1,75,1,N,2,6398
2,1,1,1,8,9,29,1,N,2,716
1,4,1,1,0,9,64,1,N,2,7184
2,1,1,1,0,7,29,1,N,2,821
2,1,1,1,5,6,57,1,N,2,2327
1,6,1,1,0,7,13,1,N,2,2901
2,1,1,1,2,6,57,1,N,2,5176
2,4,1,1,1,9,67,1,N,2,8611
1,6,1,1,6,9,56,1,N,2,3109
2,1,1,1,3,7,44,1,N,2,6431
2,4,1,1,1,1,29,1,N,2,4215
2,1,1,1,5,4,68,1,N,2,7123
2,1,1,1,0,8,47,1,N,2,5315
1,N,1,1,9,2,15,1,N,2,8556
1,1,1,1,6,7,62,1,N,2,849
2,4,1,1,1,9,30,1,N,2,6823
2,1,1,1,2,5,56,1,N,2,4744
2,6,1,1,5,9,30,1,N,2,8607
2,N,1,1,0,2,14,1,N,2,7377
1,6,1,2,4,3,16,1,N,2,3566
2,6,1,1,3,6,29,1,N,2,4473
2,1,1,1,3,4,15,1,N,2,4668
2,1,1,1,0,5,37,1,N,2,2145
1,6,1,2,7,3,15,1,N,2,1562
2,1,1,1,5,6,57,1,N,2,2150
2,6,1,1,4,9,17,1,N,2,1760
2,4,1,0,6,5,52,2,N,2,127
1,4,1,1,3,5,72,1,N,2,656
1,6,1,1,3,4,38,1,N,2,716
1,4,1,2,0,1,65,2,N,2,6161
2,6,1,1,5,4,69,1,N,2,3712
2,6,1,2,4,9,17,1,N,2,3290
1,4,1,1,2,6,36,1,N,2,1914
1,1,1,1,7,12,48,1,N,2,1697
1,1,1,1,7,7,59,1,N,2,8670
2,4,1,1,0,7,30,1,N,2,6590
1,1,1,2,3,6,39,1,N,2,6279
2,2,1,1,0,2,18,1,N,2,7686
2,1,1,1,3,6,41,1,N,2,866
1,6,1,1,3,6,55,1,N,2,7192
1,1,2,1,5,6,50,1,N,2,7255
1,6,1,1,0,5,16,1,N,2,534
2,1,1,1,8,10,73,1,N,2,3859
2,1,1,1,7,4,64,1,N,2,4754
1,1,1,1,7,9,36,1,N,2,5967
1,1,1,1,3,3,5,1,N,2,7279
1,1,1,1,3,8,71,1,N,2,984
1,6,1,1,N,3,57,1,N,2,5748
2,3,1,1,7,3,57,1,N,2,658
2,4,1,1,0,6,57,1,N,2,7277
2,1,1,2,9,8,59,1,N,2,7685
1,1,1,1,4,4,37,1,N,2,7289
1,6,1,1,1,9,26,1,N,2,5436
1,1,1,1,8,9,60,1,N,2,4192
1,2,1,2,4,4,15,1,N,2,4451
2,4,1,2,0,5,26,1,N,2,4468
2,1,1,1,7,9,39,1,N,2,986
1,1,1,1,8,5,53,1,N,2,2016
2,4,1,1,5,6,15,1,N,2,6624
2,N,1,1,N,9,3,1,N,2,8737
1,1,1,1,7,9,61,1,N,2,5774
2,1,1,1,7,1,15,1,N,2,2286
1,1,1,1,8,9,65,1,N,2,7474
1,1,1,1,5,6,77,1,N,2,8522
1,1,1,1,0,5,13,1,N,2,5539
2,1,1,1,4,9,64,1,N,2,7619
2,N,1,2,9,3,14,1,N,2,7571
1,1,1,1,4,1,30,1,N,2,4563
2,N,1,1,7,2,5,1,N,2,8751
1,1,1,1,1,6,30,1,N,2,7118
1,6,1,1,3,4,30,1,N,2,6874
1,1,1,1,9,3,54,1,N,2,1971
1,4,1,1,6,7,54,1,N,1,2959
2,1,6,1,1,5,58,1,N,2,7459
2,6,1,2,6,6,60,1,N,2,5365
2,N,1,1,7,9,30,1,N,2,6277
2,6,1,1,3,4,30,1,N,2,2856
1,6,1,1,3,5,22,1,N,2,7123
2,2,1,1,4,4,29,1,N,2,1940
1,4,1,1,7,5,73,1,N,2,7255
2,6,1,2,3,6,71,1,N,2,4458
1,1,1,1,4,6,62,1,N,2,3656
1,1,1,1,7,8,39,1,N,2,6954
2,1,1,1,6,7,47,1,N,2,4043
2,4,1,1,9,3,16,1,N,2,8849
2,1,1,1,5,6,30,1,N,2,2023
1,1,1,1,5,1,39,1,N,2,5614
1,N,1,1,N,4,63,1,N,2,933
2,6,1,2,N,4,18,1,N,2,7016
1,N,1,1,N,2,12,1,N,2,8669
1,6,1,1,0,3,19,1,N,2,2054
2,6,1,1,0,1,60,1,N,2,767
2,1,1,1,1,9,4,1,N,2,5892
2,1,2,1,5,8,62,1,N,2,3963
2,3,1,1,8,4,81,1,N,1,2150
1,6,1,1,5,5,46,1,N,2,1926
2,1,1,1,4,7,29,1,N,2,2400
1,1,1,1,3,3,27,1,N,2,6883
1,1,1,1,7,1,56,1,N,2,2194
2,3,1,1,0,7,64,1,N,2,7494
2,N,1,2,N,5,34,1,N,2,8507
1,1,1,1,7,12,45,1,N,2,1880
2,1,1,1,8,6,57,1,N,2,2167
2,6,1,1,0,3,37,1,N,2,4293
2,6,1,1,0,7,30,1,N,2,5528
2,2,1,1,4,9,69,1,N,2,575
1,3,1,1,8,7,71,1,N,1,4324
2,1,1,1,1,9,39,1,N,2,741
1,N,1,1,9,1,14,1,N,2,7385
2,2,1,2,9,12,29,1,N,2,7188
1,4,1,1,8,5,41,1,N,2,7236
1,1,6,1,3,7,43,1,N,2,2459
2,1,1,1,8,1,45,1,N,2,3744
2,N,1,1,4,4,56,1,N,2,3047
1,1,1,1,8,7,48,1,N,2,7351
2,3,1,2,1,5,75,1,N,2,6033
2,N,1,1,9,4,15,1,N,2,8503
1,1,1,1,1,1,59,1,N,2,525
2,1,1,1,1,5,58,1,N,2,5840
2,1,1,1,0,5,57,1,N,2,5873
2,N,1,1,3,4,50,1,N,2,5525
1,1,1,1,7,9,38,1,N,2,7483
2,N,1,1,N,1,4,1,N,2,8550
1,1,1,1,7,8,65,1,N,2,3618
1,1,1,1,7,4,72,1,N,2,664
1,1,1,2,1,3,14,1,N,2,1979
2,6,2,2,6,6,28,1,N,2,3973
2,4,1,2,7,1,76,1,N,2,5577
1,1,1,1,7,6,17,1,N,2,6869
1,1,1,1,9,10,30,1,N,2,5910
2,1,1,1,1,8,66,1,N,2,1932
1,6,1,1,5,4,58,1,N,2,4254
2,1,1,1,1,4,65,1,N,2,7263
2,1,2,1,8,6,62,3,N,2,5879
1,6,1,1,7,7,59,1,N,2,8625
1,1,1,1,4,7,57,1,N,2,5607
1,6,1,1,1,6,31,1,N,2,8712
2,6,1,2,5,1,46,1,N,2,3918
1,1,2,1,7,9,34,1,N,2,1989
1,1,1,1,5,1,36,1,N,2,5121
1,1,1,1,6,2,64,1,N,2,3167
1,N,1,1,0,9,27,1,N,2,8671
2,4,1,1,5,5,47,1,N,2,2575
2,N,1,1,3,2,15,1,N,2,2248
2,1,1,1,4,9,34,1,N,2,7635
1,1,1,1,0,9,67,1,N,2,7203
1,1,1,1,5,2,74,1,N,2,6911
1,4,1,1,0,9,60,1,N,2,2067
1,1,1,2,7,1,30,1,N,2,1710
1,1,1,2,8,3,36,1,N,2,7475
2,4,1,1,6,9,72,1,N,2,3675
2,1,1,2,1,8,60,1,N,2,7032
2,4,1,1,1,9,71,1,N,2,2758
1,N,1,2,3,7,14,1,N,2,7547
1,1,1,1,6,5,66,1,N,2,7304
1,1,1,2,5,6,32,1,N,2,6521
1,6,1,1,1,4,16,1,N,2,2217
1,1,1,1,9,5,60,1,N,2,2009
1,6,1,1,5,6,57,1,N,2,1789
1,6,1,1,8,6,63,1,N,2,848
1,6,1,1,0,2,13,1,N,2,4431
2,N,1,2,N,3,6,1,N,2,7509
1,N,1,2,N,3,6,1,N,2,8790
1,1,1,1,4,3,17,1,N,2,701
1,4,1,1,9,1,74,1,N,2,1758
2,N,1,1,N,9,13,2,N,2,8625
2,1,1,1,7,7,62,1,N,2,697
1,4,1,1,9,9,58,1,N,2,5561
1,6,1,1,4,5,30,1,N,2,7248
2,1,1,1,8,7,15,1,N,2,4674
2,N,1,1,N,5,60,1,N,2,3656
1,1,1,1,6,8,29,1,N,2,7343
2,6,1,1,1,6,17,1,N,2,2444
1,1,1,1,0,8,49,1,N,2,6819
2,4,1,1,8,8,39,1,N,2,812
2,1,1,1,7,6,61,1,N,2,5763
2,3,1,1,6,7,67,1,N,2,7192
1,1,1,1,6,6,68,1,N,2,2291
2,1,1,1,4,7,63,1,N,2,7301
2,1,1,1,5,5,19,1,N,2,748
1,1,1,2,0,6,16,1,N,2,7630
1,4,1,1,6,6,62,1,N,2,5031
2,1,1,1,0,12,58,1,N,2,3854
1,1,1,1,9,7,61,1,N,2,8750
1,1,1,1,6,6,37,1,N,2,5840
2,6,1,2,3,4,62,1,N,2,692
1,1,1,1,5,4,59,1,N,2,3980
1,1,1,1,8,1,42,1,N,2,1922
1,1,1,1,0,9,66,1,N,2,1937
2,4,1,1,1,5,71,3,N,2,395
1,1,1,1,8,1,32,1,N,2,2121
1,1,1,1,1,3,17,1,N,2,7360
1,6,1,1,8,9,30,1,N,2,3165
1,1,1,1,3,6,41,1,N,2,4436
2,1,1,1,7,5,35,1,N,2,5516
2,1,1,1,5,8,35,1,N,2,1877
2,1,1,1,3,1,40,1,N,2,4625
1,1,1,1,8,7,37,1,N,2,5113
1,6,1,1,4,8,28,1,N,2,4637
1,1,1,2,7,2,6,1,N,2,7482
1,N,1,1,N,6,38,1,N,2,7609
2,3,2,1,6,12,37,1,N,2,3170
2,3,1,1,6,1,5,1,N,2,8687
2,6,1,2,1,2,39,1,N,2,8833
2,1,1,1,N,2,59,1,N,2,7572
2,1,1,1,3,7,62,1,N,2,5497
1,1,1,1,6,8,77,1,N,2,5176
2,N,1,1,3,4,62,1,N,2,7523
1,6,1,0,5,3,38,2,N,2,371
2,6,1,1,3,5,40,1,N,2,3826
2,1,1,1,0,4,58,1,N,2,7265
2,3,1,1,5,9,36,1,N,2,5771
1,2,1,1,4,6,69,1,N,2,7487
2,3,1,1,8,6,65,1,N,2,7559
2,1,1,1,6,6,71,1,N,2,3783
1,6,1,1,3,7,72,1,N,2,5517
1,1,2,1,9,8,18,1,N,2,7378
1,1,1,1,6,7,50,1,N,2,815
2,4,1,2,3,2,27,1,N,2,3740
2,1,2,1,0,9,61,1,N,2,7668
2,1,1,1,6,7,14,1,N,2,605
1,N,6,1,9,9,5,1,N,2,8635
2,1,1,1,0,4,38,1,N,2,1843
1,4,1,1,5,5,70,1,N,2,5588
1,1,1,1,9,1,63,1,N,2,3349
2,2,1,2,3,4,28,1,N,2,2203
1,1,1,2,8,6,29,1,N,2,6194
1,1,1,1,6,9,64,1,N,2,7627
2,1,1,1,1,1,60,1,N,2,772
2,1,1,1,3,5,49,1,N,2,7342
2,4,1,1,3,6,72,1,N,2,8634
2,1,1,1,6,7,39,1,N,2,7377
2,6,1,1,4,6,15,1,N,2,5927
2,1,1,1,9,9,56,1,N,2,5845
2,3,1,1,4,9,46,1,N,2,6357
1,N,1,1,9,12,29,1,N,2,3000
1,4,1,1,9,12,64,1,N,2,1607
1,2,1,1,3,2,64,1,N,2,7246
1,N,2,1,N,2,13,1,N,2,8668
2,N,1,2,9,5,29,1,N,2,8606
1,N,1,2,7,6,62,1,N,2,3870
1,1,1,1,7,5,56,1,N,2,658
2,1,1,2,0,9,60,1,N,2,5718
1,6,1,1,3,4,62,1,N,2,3634
2,1,1,1,5,7,37,1,N,2,7321
2,4,1,1,7,4,58,1,N,2,7087
