SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,1,1,1,4,0,48-02101,38,0,5,309,1682
2,1,1,1,8,0,48-02515,51,2,4,501,669
1,6,1,1,0,0,48-02507,17,1,4,500,8566
1,6,1,2,5,4,48-02516,14,0,3,463,5548
1,1,1,1,7,1,48-02507,59,0,2,500,1812
1,4,1,2,5,0,48-02515,66,1,4,227,3157
1,1,1,1,5,0,48-02102,15,0,3,500,8552
2,1,1,1,1,0,48-02102,12,0,2,500,8626
1,1,1,1,6,0,48-02510,58,0,2,386,6974
2,1,1,1,0,0,48-02515,59,0,2,397,788
2,N,1,2,N,0,48-02101,4,3,4,501,6149
2,1,1,1,5,0,48-02516,38,0,2,249,4289
2,6,6,2,8,0,48-02515,27,0,2,500,6593
2,N,1,1,N,1,48-02510,3,3,4,394,7153
2,1,1,1,1,0,48-02507,74,0,4,215,6784
2,1,1,1,9,0,48-02101,58,0,8,501,1633
2,N,1,1,N,0,48-02102,60,3,N,91,8560
1,6,1,1,4,0,48-02515,41,0,N,501,4243
1,4,1,1,N,0,48-02101,4,0,N,130,4653
1,6,2,1,1,0,48-02102,16,0,2,451,7495
1,1,1,1,1,0,48-02516,68,0,2,457,6142
2,1,2,1,N,0,48-02101,57,3,5,221,8774
2,1,1,2,6,0,48-02515,37,1,3,500,7429
2,6,1,1,0,0,48-02102,14,0,4,254,3982
1,1,1,1,3,1,48-02510,35,1,2,325,2943
1,5,1,1,1,0,48-02102,62,4,7,117,5569
1,1,1,1,5,0,48-02101,38,2,2,500,5966
1,1,1,1,6,0,48-02516,28,0,2,52,7147
2,N,1,1,N,0,48-02515,15,0,2,391,8709
2,6,1,1,0,0,48-02101,56,1,5,228,1763
1,N,1,1,N,1,48-02101,10,2,4,501,8654
1,1,1,1,N,0,48-02510,12,2,4,225,7382
1,1,1,1,7,0,48-02101,25,2,5,501,4232
2,1,1,2,5,0,48-02101,38,0,5,52,4477
1,1,1,1,4,0,48-02507,69,0,2,216,6154
1,2,1,1,1,0,48-02515,30,N,4,90,318
2,1,1,1,3,0,48-02102,60,0,3,245,1861
1,1,1,1,0,0,48-02515,64,0,2,499,4993
2,1,1,1,0,0,48-02510,71,0,4,241,6987
2,1,1,1,9,0,48-02102,13,0,2,500,3964
1,2,1,1,3,0,48-02102,16,0,4,215,7329
1,6,2,1,8,0,48-02102,37,0,2,329,5515
2,4,1,1,4,0,48-02510,46,2,5,129,1665
1,6,1,1,6,0,48-02515,59,0,N,88,5420
1,1,1,1,7,0,48-02507,48,2,2,460,1750
2,1,1,1,0,0,48-02515,45,1,2,500,7005
1,6,1,1,1,0,48-02102,12,0,3,45,782
2,1,1,1,6,0,48-02102,60,0,3,5,7285
2,6,2,2,6,0,48-02510,45,0,4,5,693
1,1,1,1,6,0,48-02101,71,0,2,387,504
2,1,1,1,3,0,48-02507,68,0,2,501,7089
2,3,1,1,5,0,48-02515,46,0,3,501,5525
1,N,1,1,N,1,48-02102,2,1,3,211,8788
2,1,1,1,9,0,48-02102,27,1,2,500,5405
2,N,1,1,N,1,48-02516,14,2,3,5,7213
1,4,1,1,N,0,48-02515,37,2,4,89,538
1,6,1,1,9,0,48-02101,57,0,N,501,6041
1,1,1,1,6,1,48-02510,34,2,5,137,5595
1,1,1,1,6,0,48-02102,59,0,7,500,6557
2,1,1,1,0,0,48-02510,28,2,5,53,699
2,1,1,1,3,0,48-02102,24,0,5,499,4838
1,4,6,2,0,0,48-02516,59,0,4,388,4094
1,6,1,1,N,0,48-02102,4,0,2,85,1837
1,N,1,1,N,0,48-02516,11,1,3,501,8671
2,1,1,1,6,0,48-02102,60,0,3,388,7289
1,4,2,1,1,0,48-02516,55,0,N,91,6397
2,1,1,1,7,0,48-02507,57,0,2,52,1472
1,1,2,1,5,0,48-02516,51,0,N,226,1638
2,1,1,1,3,1,48-02516,27,1,4,238,534
2,N,2,1,0,0,48-02516,14,2,5,228,8748
1,1,1,1,6,0,48-02510,59,0,2,473,1966
1,1,2,2,8,0,48-02102,37,0,2,135,5073
2,6,1,1,1,0,48-02515,38,0,5,13,1507
2,1,2,1,6,0,48-02101,71,0,2,326,5843
