,feature,divergence
11,INDP_CAT,11.174695348704159
1,AGEP,9.61164462249978
15,POVPIP,7.325809958365071
6,NOC,6.392352092352091
12,EDU,6.048946130430773
5,RAC1P,5.830501986023988
7,NPF,5.477612338563347
14,PINCP_DECILE,4.282075335546255
13,PINCP,4.157489244030531
16,DVET,4.009332513139553
3,MSP,3.7664408760046104
4,HISP,2.7016160031981795
10,DENSITY,2.314616809269214
18,DPHY,1.8746113180437447
8,HOUSING_TYPE,1.7902421425691306
9,OWN_RENT,1.494405486791376
17,DREM,1.418744776232809
20,DEAR,0.9284079611948464
19,DEYE,0.6761669161767749
0,PUMA,0.2252577563108018
2,SEX,0.09215270907709294
