,feature,divergence
1,AGEP,15.543445837082766
22,PWGTP,14.612824759071996
23,WGTP,14.486828845711862
14,PINCP,6.459692598517585
15,PINCP_DECILE,5.345583501984448
13,EDU,4.766982306915106
11,INDP,4.147364457831326
16,POVPIP,4.0759048227598615
10,DENSITY,2.408098756195642
7,NPF,1.914372430568958
3,MSP,1.4112111065837571
12,INDP_CAT,1.3659402788989148
2,SEX,0.7963955496132458
6,NOC,0.6565590859664994
9,OWN_RENT,0.30993232373560414
0,PUMA,0.2458388960881484
5,RAC1P,0.19650321587771627
4,HISP,0.19272415301440646
19,DPHY,0.1519087354833002
18,DREM,0.1115903607514192
21,DEAR,0.04735008445945946
20,DEYE,0.026230660407716745
8,HOUSING_TYPE,0.02559748196406749
17,DVET,0.013959089678044306
