,INDP,count_target,count_deidentified
38,1070,1,0.0
41,1080,3,0.0
30,1090,2,0.0
40,1170,5,0.0
37,1180,2,0.0
16,1190,3,0.0
5,1270,2,1.0
19,1280,9,0.0
26,1370,3,2.0
49,1480,1,0.0
48,1670,1,2.0
13,1691,7,0.0
35,1790,1,0.0
39,1870,1,0.0
31,1880,1,0.0
0,1990,6,0.0
10,2190,11,0.0
1,2280,4,0.0
12,2290,2,0.0
29,2370,2,0.0
47,2380,1,0.0
34,2390,1,1.0
28,2490,2,1.0
46,2590,2,1.0
36,2670,1,0.0
33,2770,1,1.0
17,2870,1,1.0
22,2880,2,0.0
32,2890,2,0.0
42,2980,2,0.0
44,3070,1,2.0
43,3080,1,0.0
23,3095,1,1.0
8,3170,1,0.0
25,3180,2,2.0
18,3291,5,1.0
4,3365,3,1.0
27,3370,1,0.0
21,3380,4,0.0
11,3390,12,19.0
20,3470,2,0.0
6,3490,5,1.0
9,3570,33,9.0
2,3580,5,1.0
45,3875,1,0.0
24,3895,3,0.0
7,3960,8,0.0
14,3970,3,1.0
3,3980,9,2.0
15,3990,6,3.0
