,INDP,count_target,count_deidentified
6,4670,75,69
34,4680,5,14
0,4690,36,28
2,4770,42,40
16,4780,5,14
17,4795,49,40
10,4870,59,69
8,4880,26,27
20,4890,28,28
7,4971,189,166
30,4972,31,27
26,4980,22,27
29,4990,9,28
5,5070,66,55
25,5080,38,27
31,5090,50,41
4,5170,124,121
27,5180,15,13
24,5190,16,13
18,5275,57,55
19,5280,5,13
23,5295,5,14
14,5370,17,14
12,5381,44,42
3,5391,154,123
28,5470,14,14
21,5480,14,28
13,5490,21,28
1,5570,15,13
15,5580,32,42
22,5593,52,55
32,5670,4,13
33,5680,8,13
9,5690,13,14
11,5790,41,41
