SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,6,2,2,4,9,0,28-01100,1,11136
2,6,1,1,1,5,0,38-00100,N,19445
1,6,1,1,7,1,0,26-02702,12,23018
1,1,1,1,7,1,0,19-01700,12,8534
1,5,2,2,4,5,0,36-03710,11,15928
1,6,9,2,6,9,0,30-00600,15,16578
2,3,6,1,2,3,0,38-00100,N,1474
1,1,1,1,6,4,0,38-00100,14,20341
1,6,6,2,7,4,0,06-08507,1,1486
2,6,2,0,6,7,0,51-01301,14,16819
2,6,1,1,8,8,0,40-00200,15,22318
1,6,1,2,3,6,0,08-00803,10,5595
1,6,6,1,3,9,0,26-02702,N,10829
1,1,2,1,5,6,0,13-04600,N,5078
2,1,6,1,6,3,0,08-00803,14,3923
1,N,2,1,9,9,0,19-01700,9,25978
2,1,1,1,3,3,1,38-00100,10,15571
2,6,1,2,2,10,2,32-00405,8,22661
1,1,1,1,4,6,0,38-00100,16,20056
2,6,1,1,6,9,0,51-01301,1,22141
1,6,1,1,1,10,0,28-01100,10,10919
1,6,1,1,0,4,0,32-00405,9,16867
1,4,1,1,6,9,0,36-04010,10,19666
1,N,1,1,9,2,1,36-04010,9,23434
1,N,9,1,9,2,1,38-00100,9,24186
2,1,2,1,4,4,0,26-02702,N,13683
2,6,1,1,1,4,1,30-00600,14,14668
1,2,1,2,0,3,0,29-01901,9,13520
1,1,1,1,2,2,0,36-04010,9,13698
2,4,1,1,8,4,0,26-02702,14,13282
1,1,1,1,6,5,0,19-01700,6,7715
1,1,1,1,8,1,0,28-01100,3,13656
2,3,2,1,6,9,0,36-03710,N,16152
1,N,9,1,9,3,1,38-00100,9,24462
1,6,1,2,7,6,0,51-01301,1,3929
2,1,1,1,7,9,0,51-01301,10,3688
1,4,2,1,6,6,0,36-03710,N,17099
1,6,8,1,0,4,1,06-08507,9,1483
1,N,1,1,9,2,0,19-01700,9,23587
2,5,2,2,2,4,0,01-01301,14,1411
1,N,2,1,9,9,0,06-08507,9,26214
1,1,1,1,9,10,0,51-01301,10,10658
