,library name,algorithm name,algorithm type,target dataset,feature set name,feature space size,features list,privacy category,privacy label detail,epsilon,delta,variant label,variant label detail,research papers,data path,labels path,report path,team,submission number,submission timestamp,quasi identifiers subset,deid data id
0,Anonos Data Embassy SDK,Anonos Data Embassy SDK,neural net,ma2019,all-features,13330105588800000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",non_dp,"Synthetic data, not formally private.",,,ma2019-synthetic,,,deid_data/anonos_sdk_Anonos/ma/anonos_sdk_BriannaJohnson_1.csv,deid_data/anonos_sdk_Anonos/ma/anonos_sdk_BriannaJohnson_1.json,deid_data/anonos_sdk_Anonos/ma/r_anonos_sdk_BriannaJohnson_1,Anonos,1.0,7/17/2023 11:20:15,,9df408f21e1bccec59c6d537f6450f80f613ff62
1,Anonos Data Embassy SDK,Anonos Data Embassy SDK,neural net,national2019,all-features,517839049728000000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",non_dp,"Synthetic data, not formally private.",,,national2019-synthetic,,,deid_data/anonos_sdk_Anonos/national/anonos_sdk_BriannaJohnson_1.csv,deid_data/anonos_sdk_Anonos/national/anonos_sdk_BriannaJohnson_1.json,deid_data/anonos_sdk_Anonos/national/r_anonos_sdk_BriannaJohnson_1,Anonos,1.0,7/17/2023 11:20:15,,4ef4811cf2a7727a08bb621a2450cbe47e352071
2,Anonos Data Embassy SDK,Anonos Data Embassy SDK,neural net,tx2019,all-features,36042774768000000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",non_dp,"Synthetic data, not formally private.",,,tx2019-synthetic,,,deid_data/anonos_sdk_Anonos/tx/anonos_sdk_BriannaJohnson_1.csv,deid_data/anonos_sdk_Anonos/tx/anonos_sdk_BriannaJohnson_1.json,deid_data/anonos_sdk_Anonos/tx/r_anonos_sdk_BriannaJohnson_1,Anonos,1.0,7/17/2023 11:20:15,,b4e4b5dc8b657bd9f02c90feddf17dfc5a2eec9f
3,Genetic SD,Genetic SD,query matching,ma2019,all-features,13330105588800000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1.0,10^(-5),sync_ma2019_1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/ma/r_genetic_sd_e_1_GiuseppeVietri_2,DataEvolution,2.0,4/16/2023 20:31:04,,da8cc8377602ef284eaa4b00f9ca1e6d90a0ee49
4,Genetic SD,Genetic SD,query matching,ma2019,all-features,13330105588800000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10.0,10^(-5),sync_ma2019_10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/ma/r_genetic_sd_e_10_GiuseppeVietri_2,DataEvolution,2.0,4/16/2023 20:31:04,,f92728a5d5e5270a44c51342cca2fa5994c3e185
5,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10.0,10^(-5),sync_ma2019_simple_10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_simple_GiuseppeVietri_3.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_simple_GiuseppeVietri_3.json,deid_data/genetic_sd_DataEvolution/ma/r_genetic_sd_e_10_simple_GiuseppeVietri_3,DataEvolution,3.0,4/18/2023 13:55:09,,b645799fe17deb1d8b8eb9adebab996c382bbe59
6,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1.0,10^(-5),sync_ma2019_simple_1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_simple_GiuseppeVietri_3.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_simple_GiuseppeVietri_3.json,deid_data/genetic_sd_DataEvolution/ma/r_genetic_sd_e_1_simple_GiuseppeVietri_3,DataEvolution,3.0,4/18/2023 13:55:09,,792ece23589ff68eb250b47e737a673a46fe786d
7,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10.0,10^(-5),MA_Rows=N_k=3_eps=10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_10_simple_GiuseppeVietri_4.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_10_simple_GiuseppeVietri_4.json,deid_data/genetic_sd_DataEvolution/ma/r_genetic_sd_k_3_e_10_simple_GiuseppeVietri_4,DataEvolution,4.0,4/28/2023 14:37:48,,a8d608f75c399f1dab94f1b5673c3cbf59690ded
8,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1.0,10^(-5),MA_Rows=N_k=3_eps=1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_1_simple_GiuseppeVietri_4.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_1_simple_GiuseppeVietri_4.json,deid_data/genetic_sd_DataEvolution/ma/r_genetic_sd_k_3_e_1_simple_GiuseppeVietri_4,DataEvolution,4.0,4/28/2023 14:37:48,,aa4c3508f6bf8d814f750b64d0ec627a85e9417a
9,Genetic SD,Genetic SD,query matching,national2019,all-features,517839049728000000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1.0,10^(-5),sync_national2019_1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_1_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_1_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/national/r_genetic_sd_e_1_GiuseppeVietri_2,DataEvolution,2.0,4/16/2023 20:31:04,,da3040ff9d1265c4d94ef8e679fe6c6185a594c2
