PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
06-08507,66,2,4,0,2,9,4,1,2,3330.862164343696,8380,11,6,30430.0,1,425,N,2,2,2,2,85,164,5000
40-00200,72,1,1,0,1,0,2,1,1,16.3,8390,10,6,52800.0,2,489,N,2,2,2,2,1,80,20742
28-01100,36,1,1,0,1,0,2,1,1,3589.3907127613647,7490,1,5,17130.0,7,59,N,2,2,2,2,40,10,17015
32-00405,16,2,6,0,1,2,4,1,2,2776.74056000006,7880,0,7,125050.0,0,459,N,2,2,2,2,44,127,14022
06-08507,95,2,6,0,2,0,N,1,2,8828.154266076097,N,N,9,33900.0,2,94,N,2,2,2,2,1,83,13971
29-01901,31,2,1,0,2,1,3,1,1,16.3,N,9,5,131800.0,3,498,N,2,2,2,2,90,131,13041
38-00100,66,1,1,0,6,0,2,1,1,16.3,7860,1,8,39500.0,4,300,N,2,2,2,2,8,382,12462
17-03529,55,2,6,0,6,0,N,1,1,12149.108155430918,8390,4,8,317300.0,2,60,N,2,2,2,2,162,347,3908
38-00100,72,2,1,0,9,0,12,1,1,78.87085376694773,N,9,8,80600.0,6,119,N,2,2,2,2,50,83,17961
24-01004,56,1,1,0,1,0,2,1,1,3380.4524813503767,8191,11,1,53420.0,8,72,N,2,2,2,2,16,71,5848
08-00803,38,2,2,0,2,0,6,1,2,3805.125694871108,N,17,8,N,9,66,N,2,2,2,1,31,125,11451
38-00100,22,2,1,4,3,2,2,1,1,16.3,N,N,3,10.0,8,N,N,2,2,2,2,55,109,22412
51-51255,28,2,6,0,1,0,N,1,1,6667.250217764378,4195,8,4,83000.0,6,74,N,1,2,2,2,1,25,22690
24-01004,39,2,6,0,1,4,3,1,2,4461.885659380817,N,N,6,10080.0,1,398,1,2,2,2,2,123,109,2097
36-03710,34,1,6,0,2,0,3,1,2,50820.34785120142,N,14,9,10820.0,3,213,N,2,2,2,2,105,184,12322
30-00600,23,2,6,0,2,N,N,1,2,32896.15957539347,N,N,4,100400.0,0,136,N,2,2,2,2,70,90,2599
36-03710,89,2,1,0,1,2,4,1,1,3922.1331344875543,N,9,9,-100.0,0,13,N,1,2,2,2,71,219,5181
24-01004,22,1,1,0,1,0,3,1,1,3781.544192851841,6590,8,8,56300.0,9,79,N,2,2,2,2,101,118,25802
40-00200,29,2,6,0,1,0,3,1,1,16.3,N,10,6,34200.0,0,29,N,2,2,2,2,124,356,15890
19-01700,37,1,1,2,1,2,4,1,1,2445.391250598247,7890,11,6,105400.0,7,343,N,2,2,2,2,67,605,15398
38-00100,46,2,6,0,8,0,2,1,2,49142.272668588674,9370,6,6,36700.0,2,466,N,2,2,2,2,134,225,16780
38-00100,42,1,1,0,6,1,12,1,1,33708.33573009992,7390,1,6,76600.0,3,486,1,2,2,2,2,227,90,20238
51-51255,87,1,6,0,6,0,2,1,2,12238.295369081725,2570,10,10,148010.0,8,8,N,2,2,2,2,47,90,21086
51-01301,75,2,3,0,1,0,2,1,1,9890.332330649915,8580,11,8,26400.0,4,462,N,2,2,2,2,159,230,16820
40-00200,52,2,1,0,1,0,3,1,2,10987.513510027857,9090,13,7,222900.0,6,488,N,2,2,2,2,102,115,16584
38-00100,69,1,1,0,1,0,12,1,1,16.3,6080,2,9,245500.0,5,344,N,2,2,2,2,41,112,14665
29-01901,69,2,1,0,1,0,2,1,1,10536.153763321856,8170,13,8,274500.0,8,90,N,2,2,2,2,28,49,16670
30-00600,63,1,1,0,1,0,4,1,1,1663.1469248136805,8770,11,10,178800.0,8,338,N,2,2,2,2,48,560,14522
38-00100,88,2,1,0,3,0,2,1,1,16.3,N,N,10,153700.0,3,77,N,2,2,2,2,1,114,19892
08-00803,56,2,N,0,1,0,N,1,2,11667.92325696886,N,14,9,34220.0,7,6,N,2,2,2,1,98,143,20228
36-03710,75,1,6,1,1,0,N,1,2,8339.776734644998,N,N,7,84600.0,6,68,N,2,2,2,2,3,45,18788
13-04600,40,1,6,0,2,5,N,3,0,1983.8355018069442,N,N,2,192000.0,9,297,N,2,2,2,2,1,667,8203
36-04010,63,2,1,0,2,2,2,1,1,51921.81759223224,N,11,8,43300.0,4,357,4,2,1,2,2,86,64,14238
26-02702,65,1,6,0,1,0,9,1,1,3582.5307260182653,N,15,7,135040.0,3,469,N,2,2,2,2,121,142,1342
19-01700,23,2,1,0,2,1,12,1,1,4086.115985991364,9690,15,7,110700.0,0,69,N,2,2,2,2,26,65,13162
51-01301,61,2,4,0,8,0,2,1,1,3607.728358597824,9070,13,9,-100.0,2,498,N,2,2,2,2,44,113,11370
19-01700,82,1,6,0,2,0,N,3,0,11487.485326359048,N,9,6,-1220.0,1,106,N,2,1,2,2,76,172,6682
51-51255,61,1,1,0,1,3,2,1,1,16.3,8090,10,8,209000.0,8,82,N,2,2,2,2,7,283,21246
19-01700,86,2,1,4,1,2,2,3,1,3292.233783919591,N,9,9,47500.0,6,61,N,2,2,2,2,108,151,16573
30-00600,93,2,1,0,1,0,12,1,2,2828.8473372333924,N,9,9,12690.0,0,0,N,2,1,2,2,33,219,12224
32-00405,88,2,6,4,8,5,5,1,2,7540.425020931141,N,9,7,-1070.0,3,123,N,2,2,2,2,93,89,13598
19-01700,77,2,4,2,6,1,N,1,1,3074.174274794909,9370,15,8,6650.0,9,98,N,2,2,2,2,79,96,6644
40-00200,76,1,1,0,1,0,7,1,1,16.3,8192,7,4,370000.0,6,456,N,2,2,2,2,71,85,20396
36-04010,47,1,1,0,1,2,2,1,1,9087.605712464356,7290,10,2,12100.0,6,401,N,2,2,2,2,16,83,16873
24-01004,77,1,4,0,2,N,9,2,1,3438.2980477792216,N,9,4,-100.0,0,190,N,2,2,2,2,57,102,5093
40-00200,64,2,1,0,1,0,2,1,1,16.3,8562,11,8,14500.0,4,59,N,2,2,2,2,50,171,17853
36-03710,47,2,1,0,1,0,3,1,2,3754.733237000377,7390,1,6,3540.0,3,87,N,2,2,2,2,5,63,15684
