SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,1,1,1,2,0,51-01301,78,0,2,257,14532
2,6,1,1,6,0,40-00200,75,0,3,498,15908
2,6,2,2,9,4,38-00100,60,0,9,N,17676
2,4,7,1,9,0,51-51255,0,0,N,N,18475
2,1,1,1,7,0,51-01301,18,0,12,493,17105
2,1,1,1,5,0,29-01901,45,0,2,55,9725
2,6,1,2,6,0,40-00200,22,0,9,83,20321
2,6,2,2,N,0,17-03531,14,0,2,N,17420
2,1,1,1,6,0,40-00200,18,0,12,72,17049
2,1,1,1,8,0,38-00100,79,0,9,257,17887
1,1,1,1,0,0,38-00100,16,0,2,390,8168
1,6,1,0,4,0,13-04600,19,3,9,53,11865
1,1,2,2,0,0,29-01901,28,4,3,231,17186
2,1,3,1,0,0,17-03529,29,0,3,N,19613
2,6,6,2,0,0,38-00100,77,0,N,204,18234
2,1,1,1,N,0,29-01901,20,0,2,97,2722
2,4,1,2,8,0,51-51255,61,3,4,330,23224
1,1,1,1,1,4,30-00600,66,2,12,229,16516
1,6,2,2,4,0,17-03529,26,0,N,N,7051
2,6,3,2,2,4,51-01301,70,0,N,376,25914
1,5,1,2,4,0,38-00100,36,0,2,412,10941
1,1,1,1,N,0,24-01004,66,0,9,64,14955
2,6,2,2,9,0,30-00600,22,0,3,297,2576
2,1,1,1,N,1,40-00200,43,0,12,456,18666
2,6,1,2,4,0,13-04600,24,0,9,197,11423
1,6,8,1,8,0,38-00100,21,0,4,497,14112
2,6,6,2,3,0,19-01700,13,0,9,N,23742
2,4,1,1,5,0,36-03710,68,0,2,329,21009
1,1,2,1,6,0,17-03529,21,0,12,499,12220
2,1,9,1,7,2,51-51255,86,1,3,479,5034
1,1,1,1,6,0,40-00200,63,0,12,489,20316
1,6,5,1,0,0,40-00200,35,N,2,155,13806
2,1,1,1,5,0,38-00100,95,0,2,N,5632
2,4,2,2,5,0,06-08507,19,0,N,466,0
2,6,1,2,0,0,38-00100,51,3,6,73,18216
2,6,1,2,2,0,40-00200,54,3,9,495,12508
1,4,1,2,0,0,38-00100,80,1,4,415,10547
1,6,2,2,0,0,32-00405,15,3,9,N,21110
2,1,1,0,1,1,24-01004,3,0,6,120,11195
2,4,1,1,5,0,19-01700,69,0,N,38,16487
2,6,1,1,7,0,28-01100,0,0,2,371,10132
2,6,1,1,9,0,13-04600,29,0,9,226,12229
1,1,1,1,5,0,40-00200,38,0,4,N,21634
2,6,1,2,5,0,32-00405,61,0,12,206,11713
1,1,9,2,5,0,51-01301,62,0,5,60,13223
1,1,2,1,2,1,30-00600,66,0,12,500,9411
1,4,1,1,N,1,36-04010,33,3,9,3,7311
1,1,1,1,8,0,32-00405,51,2,12,91,20618
