,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,4.440892098500626e-16,0.09571392641665058,-0.06632336182075907,0.018132009167078245,0.022976170132441506,0.004521598826605272,-0.0582702426140399,-0.054251095465966126,,
SEX,0.09571392641665058,-4.3298697960381105e-15,0.054070904349907835,0.01843850766424341,-0.09724788838664356,0.0975089063978905,-0.17634563511297324,-0.16568137610797964,,
MSP,-0.06632336182075907,0.054070904349907835,0.0,-0.06793641783780979,-0.020928632171567818,0.05062864734375394,-0.07116665926064625,-0.09910200203698141,,
RAC1P,0.018132009167078245,0.01843850766424341,-0.06793641783780979,0.0,-0.02697872643041484,-0.009277864225670104,-0.007492359774722207,-0.0354358876695956,,
HOUSING_TYPE,0.022976170132441506,-0.09724788838664356,-0.020928632171567818,-0.02697872643041484,4.551914400963142e-15,0.03612425479734471,-0.01559461587831507,0.0038731269531712686,,
OWN_RENT,0.004521598826605272,0.0975089063978905,0.05062864734375394,-0.009277864225670104,0.03612425479734471,3.1086244689504383e-15,0.02925348384135844,0.03508212919459269,,
EDU,-0.0582702426140399,-0.17634563511297324,-0.07116665926064625,-0.007492359774722207,-0.01559461587831507,0.02925348384135844,-8.881784197001252e-16,0.12536610518899316,,
PINCP_DECILE,-0.054251095465966126,-0.16568137610797964,-0.09910200203698141,-0.0354358876695956,0.0038731269531712686,0.03508212919459269,0.12536610518899316,-3.3306690738754696e-16,,
DVET,,,,,,,,,,
DEYE,,,,,,,,,,
