,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,38,2,N,12,1,2,1,9,6,1,38,2,N,1,9,100.0
1,6,2,N,2,1,N,2,N,5,2,6,2,N,1,N,100.0
2,66,1,N,7,1,1,1,6,7,1,66,1,N,1,6,100.0
3,51,2,N,7,3,4,0,4,2,1,51,2,N,3,4,100.0
4,68,2,N,3,1,3,2,2,8,1,68,2,N,1,2,100.0
5,39,2,N,6,1,2,2,4,6,2,39,2,N,1,4,100.0
6,38,2,2,N,1,N,1,N,5,1,2,2,N,1,N,60.0
7,49,2,N,1,1,4,1,2,6,2,49,2,N,1,2,100.0
8,60,2,4,12,1,4,2,2,6,2,36,2,N,1,6,40.0
9,26,1,N,5,1,5,2,0,8,1,26,1,N,1,0,100.0
10,80,1,2,5,1,3,2,2,3,1,47,2,N,1,1,20.0
11,22,2,N,6,1,6,2,1,8,1,22,2,N,1,1,100.0
12,78,2,N,8,1,3,1,5,3,1,78,2,N,1,5,100.0
13,15,1,N,3,1,6,1,0,9,2,15,1,N,1,0,100.0
14,81,2,N,12,1,3,1,2,9,1,81,2,N,1,2,100.0
15,46,2,N,11,1,5,1,8,6,2,46,2,N,1,8,100.0
16,35,2,N,9,1,6,1,0,3,2,35,2,N,1,0,100.0
17,36,2,N,5,2,4,0,0,9,1,36,2,N,2,0,100.0
18,59,1,1,1,1,4,2,N,1,1,81,2,N,1,2,20.0
19,51,2,N,8,1,3,2,8,9,2,51,2,N,1,8,100.0
20,59,2,N,11,1,6,1,8,9,2,59,2,N,1,8,100.0
21,44,2,N,1,1,2,2,4,8,1,44,2,N,1,4,100.0
22,46,2,N,9,1,2,1,9,9,1,46,2,N,1,9,100.0
23,70,2,N,8,1,6,2,2,9,1,70,2,N,1,2,100.0
24,60,1,4,8,1,2,1,1,6,2,50,2,N,1,2,20.0
25,59,2,N,8,1,4,1,3,9,1,59,2,N,1,3,100.0
26,74,2,N,1,1,3,1,0,8,2,74,2,N,1,0,100.0
27,15,2,N,2,1,6,1,0,1,1,15,2,N,1,0,100.0
28,63,2,N,3,1,6,2,0,6,2,63,2,N,1,0,100.0
29,10,2,N,3,2,N,0,N,9,1,10,2,N,2,N,100.0
30,60,2,N,7,1,2,1,0,6,2,60,2,N,1,0,100.0
31,59,2,N,9,1,6,1,7,3,1,59,2,N,1,7,100.0
32,79,2,N,5,1,4,2,3,6,1,79,2,N,1,3,100.0
33,75,2,N,9,2,5,0,5,1,2,75,2,N,2,5,100.0
34,15,2,N,3,1,6,1,0,8,2,15,2,N,1,0,100.0
35,78,2,N,3,2,3,0,0,2,2,78,2,N,2,0,100.0
36,48,2,N,12,1,1,2,0,9,2,48,2,N,1,0,100.0
37,36,2,N,12,1,2,2,3,3,2,36,2,N,1,3,100.0
38,36,2,2,9,1,4,2,5,3,1,84,1,N,1,3,20.0
39,59,2,N,6,1,4,1,9,6,1,59,2,N,1,9,100.0
40,42,2,N,4,1,5,2,4,8,1,42,2,N,1,4,100.0
41,58,2,N,6,1,3,2,5,8,2,58,2,N,1,5,100.0
42,62,2,N,9,1,1,1,0,7,2,62,2,N,1,0,100.0
43,74,1,N,6,1,6,1,7,7,1,25,2,N,1,7,60.0
44,33,1,2,7,1,2,2,N,5,2,28,2,N,1,0,20.0
45,95,1,6,10,1,1,2,2,8,2,30,2,N,1,0,20.0
46,60,2,N,3,1,2,2,6,1,1,60,2,N,1,6,100.0
47,39,2,N,2,1,4,1,6,6,2,39,2,N,1,6,100.0
48,56,2,N,5,3,5,0,1,2,1,56,2,N,3,1,100.0
49,56,2,N,10,1,2,2,9,9,2,56,2,N,1,9,100.0
50,34,2,N,10,1,2,2,2,3,2,34,2,N,1,2,100.0
51,38,2,N,1,1,4,2,1,2,2,38,2,N,1,1,100.0
52,70,2,N,3,2,4,0,1,2,1,70,2,N,2,1,100.0
53,93,1,N,12,1,3,1,9,2,1,93,1,N,1,9,100.0
54,68,2,N,1,1,2,1,0,6,2,68,2,N,1,0,100.0
