,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,6.572520305780927e-14,-0.08138753098564569,0.01621602709734654,0.003558248590608059,-0.1635848739042121,-0.08434041498762587,-0.03223365317891465,-0.016863318703280946,-0.009033034482269983,0.031010949662615656,-0.1397823679545339,-0.012779476534055121,0.016305946303732808,0.021134793290469675,0.04290169258381699,-0.03214284333534439,-0.05050895212037032,-0.02131062309415356,0.019632330281636433
PUMA,-0.08138753098564569,-1.4876988529977098e-14,0.06040159295363306,0.028489986319134256,0.1963532342394214,-0.024160124310871296,0.02739484793384552,-0.010962692781494225,-0.049194545531038796,0.08186084537444252,0.06682146325965406,0.008036906495883366,-0.048380090518788554,-0.027280837049011582,0.1035467102623628,-0.02514628470533202,-0.006982386676197286,0.05123381934415943,-0.0013309300793986623
PINCP_DECILE,0.01621602709734654,0.06040159295363306,-1.6431300764452317e-14,-0.475874894341461,0.007061489568443775,-0.027703407982512484,-0.2373296360998523,0.07523495156077831,0.19439123828006571,0.03935282433929373,0.0384356766167888,-0.479081564804903,-0.07671355612025825,0.25025689917820176,-0.3530080086049812,0.013930431786049781,0.03989090128701954,-0.2362836366794436,-0.25888868861077863
MSP,0.003558248590608059,0.028489986319134256,-0.475874894341461,9.381384558082573e-14,-0.10439637427625872,0.049501344459265455,-0.331841102518038,0.009334427158492732,0.5188116610725613,-0.20892045930553166,0.056563560089766096,-0.25991254249311513,0.02853101275188022,0.3969000269032817,-0.4595441320257085,0.03052647899695258,0.010656680951095987,-0.30247946732913195,-0.2881922195311202
DENSITY,-0.1635848739042121,0.1963532342394214,0.007061489568443775,-0.10439637427625872,6.206146707654625e-14,-0.1450181057198114,-0.04421377931292043,0.01642383529969229,0.05262936214698025,-0.02636868237466001,-0.09159714289568255,-0.007295339477254109,0.04340601668161346,0.09444941694874753,-0.10920310712262853,-0.016028391292364844,-0.0663162390992273,-0.04072672505575064,0.10730558877993787
OWN_RENT,-0.08434041498762587,-0.024160124310871296,-0.027703407982512484,0.049501344459265455,-0.1450181057198114,0.0,0.03221274286104347,-0.03470667045249461,-0.04871869800009865,0.54375001398099,-0.056276523259616025,-0.07546894520298736,-0.0028091261503594873,-0.19564963076158434,0.010971068598414367,0.01363094518001202,-0.018211776666779554,0.052849851211647245,0.027889888520232692
DREM,-0.03223365317891465,0.02739484793384552,-0.2373296360998523,-0.331841102518038,-0.04421377931292043,0.03221274286104347,-7.505107646466058e-14,-0.02209755034848104,0.1429232465970984,-0.06317276753557378,-0.0074884960019021216,-0.26026681271877766,0.003672915262540974,0.18239647748853682,-0.4468857558181316,-0.009385646739189589,0.007620048166762469,-0.852922197502326,-0.312585054563984
SEX,-0.016863318703280946,-0.010962692781494225,0.07523495156077831,0.009334427158492732,0.01642383529969229,-0.03470667045249461,-0.02209755034848104,-7.127631818093505e-14,0.0018054568179101567,0.03580051916541643,-0.008020140096379183,-0.034645550846314196,0.08771526156659244,-0.008903760288323586,-0.05294656347605681,-0.008157487215995053,-0.03655832300307574,0.01266061462893763,-0.07209980149170785
NPF,-0.009033034482269983,-0.049194545531038796,0.19439123828006571,0.5188116610725613,0.05262936214698025,-0.04871869800009865,0.1429232465970984,0.0018054568179101567,6.472600233564663e-14,0.34127089442104125,-0.06886212797275755,0.1726195555974579,0.030684936455919205,-0.5683411644688126,0.17513468087400708,-0.07535709167069185,-0.09618562140392195,0.13551283530382716,0.15615257872487692
HOUSING_TYPE,0.031010949662615656,0.08186084537444252,0.03935282433929373,-0.20892045930553166,-0.02636868237466001,0.54375001398099,-0.06317276753557378,0.03580051916541643,0.34127089442104125,1.6986412276764895e-13,0.0680472751003986,0.050405827490145834,-0.0018497606577162953,0.3470343347343348,-0.03764652099733981,-0.028986792770265495,-0.016564484065442222,-0.08667994019217859,0.06819342763087567
RAC1P,-0.1397823679545339,0.06682146325965406,0.0384356766167888,0.056563560089766096,-0.09159714289568255,-0.056276523259616025,-0.0074884960019021216,-0.008020140096379183,-0.06886212797275755,0.0680472751003986,-5.473399511402022e-14,0.04126353064194005,0.010010364232687377,-0.026561250535004105,0.05245284958964814,-0.046217409405208125,-0.05594104100923287,-5.078379551543e-05,0.07999868775505456
INDP_CAT,-0.012779476534055121,0.008036906495883366,-0.479081564804903,-0.25991254249311513,-0.007295339477254109,-0.07546894520298736,-0.26026681271877766,-0.034645550846314196,0.1726195555974579,0.050405827490145834,0.04126353064194005,3.319566843629218e-14,-0.0055283869177414876,0.16403729180904267,-0.48161392037660183,-0.07159263278798389,-0.08116504851448857,-0.28334792608519527,-0.08622851754890258
