,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
0,1,6,2,1,3,0,38-00100,79,0,2,293,2
1,2,6,8,1,0,0,26-02702,26,0,7,289,2
2,1,N,1,1,N,0,28-01100,83,0,2,271,1
3,2,6,6,2,N,0,06-08507,39,2,2,132,2
4,1,1,1,2,8,1,01-01301,43,0,4,466,2
5,2,6,2,0,3,0,28-01100,60,0,4,47,2
6,2,4,1,1,1,0,38-00100,20,0,4,76,2
7,1,1,1,2,N,0,36-04010,72,0,5,69,2
8,1,6,6,2,1,0,19-01700,65,0,4,501,2
9,1,1,1,1,8,0,01-01301,69,0,3,375,2
10,2,1,1,1,7,0,17-03529,37,3,N,233,2
11,1,6,1,1,7,0,38-00100,22,0,2,501,2
12,1,N,6,1,N,0,06-07502,47,2,2,501,2
13,1,1,1,1,9,0,06-08507,81,0,N,137,2
14,2,1,8,2,N,0,38-00100,3,3,N,0,2
15,1,6,1,0,0,0,38-00100,83,0,5,212,2
16,2,3,2,1,0,0,08-00803,6,3,2,391,2
17,1,4,1,2,0,1,51-51255,40,0,2,394,2
18,2,6,1,2,5,0,40-00200,47,0,2,501,2
19,1,6,1,2,0,0,36-03710,58,0,N,N,2
20,2,6,1,1,8,0,17-03531,31,0,2,501,2
21,1,6,2,1,3,0,32-00405,62,0,5,501,2
22,1,N,1,2,1,0,24-01004,55,0,4,501,2
23,2,3,2,1,3,0,01-01301,72,2,N,76,2
24,2,6,2,1,7,0,51-01301,23,0,3,501,2
25,2,3,3,1,3,0,08-00803,43,1,2,90,2
26,2,6,3,1,0,0,29-01901,33,1,6,501,2
27,1,6,1,0,0,0,19-01700,70,0,3,415,2
28,1,1,1,0,N,0,38-00100,13,0,3,501,2
29,2,2,1,1,7,0,17-03529,29,0,5,73,2
30,1,1,1,1,N,1,26-02702,44,0,N,501,2
31,2,6,1,2,N,0,30-00600,54,0,N,148,2
32,1,1,1,2,8,0,17-03529,36,0,2,501,2
33,1,1,1,1,N,0,28-01100,60,0,2,501,2
34,2,1,1,0,0,0,08-00803,63,0,2,11,2
35,2,6,1,2,N,0,51-51255,59,0,2,501,2
36,1,6,1,1,7,0,19-01700,16,2,4,501,2
37,1,6,2,1,N,0,38-00100,30,0,7,501,2
38,2,N,2,1,6,1,13-04600,4,3,3,501,2
39,1,6,6,2,8,0,30-00600,81,0,7,70,2
40,2,6,2,2,3,0,51-01301,41,0,N,0,2
41,1,6,1,2,9,0,30-00600,36,4,4,153,2
42,2,6,1,2,5,0,17-03531,31,0,5,466,2
43,2,6,6,2,4,0,29-01901,15,2,5,227,1
44,2,1,2,1,4,0,24-01004,2,2,3,422,2
45,1,6,2,2,2,0,38-00100,7,1,3,171,2
46,2,6,1,1,0,0,51-51255,33,0,2,91,2
47,1,1,1,1,1,0,36-04010,34,0,2,345,2
48,2,1,1,2,0,4,38-00100,40,1,4,34,2
49,1,6,1,1,9,0,13-04600,18,N,N,324,2
50,2,N,1,2,1,0,17-03531,16,2,5,364,2
51,1,1,6,1,2,0,36-03710,5,0,4,501,2
52,1,1,1,2,N,0,36-04010,78,0,5,352,2
53,1,2,2,1,4,0,29-01901,46,2,N,433,2
54,2,3,1,1,9,0,38-00100,26,3,N,163,1
55,2,6,2,1,8,0,06-08507,65,0,2,501,2
