,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,28,1,1,2,1,2,N,9,10
1,51,2,1,1,1,2,N,4,5
2,64,2,1,2,1,2,N,2,9
3,14,8,N,2,1,2,N,0,9
4,72,1,3,1,1,2,N,0,4
5,58,1,6,1,1,1,N,2,7
6,4,2,N,2,1,2,N,1,7
7,71,1,1,2,1,1,N,8,11
8,4,9,N,2,3,0,N,6,3
9,73,1,1,1,1,1,N,4,5
10,41,1,1,2,1,1,N,N,N
11,1,2,6,2,1,1,N,0,4
12,7,1,N,1,1,1,N,2,7
13,33,2,6,2,1,2,N,9,12
14,47,1,6,1,1,2,N,7,5
15,31,8,6,1,1,1,N,9,10
16,70,2,1,2,1,2,N,5,10
17,49,1,6,2,1,2,N,2,5
18,60,6,6,1,1,1,N,6,5
19,18,2,6,1,1,1,N,5,5
20,69,1,6,2,1,2,N,7,10
21,0,1,N,2,1,2,N,4,7
22,50,2,6,2,1,2,N,3,4
23,28,1,6,1,2,0,N,1,11
24,28,1,4,1,3,0,N,6,6
25,59,6,6,1,1,1,N,6,7
26,51,1,1,1,2,0,N,1,11
27,10,8,2,1,1,2,N,9,9
28,22,1,6,2,1,1,N,9,11
29,32,2,6,1,1,2,N,1,4
30,56,6,1,1,1,2,N,3,7
31,29,1,6,1,1,2,N,3,7
32,39,1,1,1,1,2,N,9,10
33,57,1,1,2,1,2,N,6,4
34,27,3,6,2,1,1,N,9,9
35,19,1,6,1,1,1,N,7,5
36,40,1,3,1,1,1,N,6,3
37,63,1,2,2,1,1,N,N,3
38,70,2,1,2,1,1,N,9,7
39,19,1,6,1,1,1,N,3,1
40,16,1,6,1,1,1,N,8,7
41,33,2,6,1,2,0,N,6,7
42,4,6,N,2,1,1,N,9,11
43,77,1,1,2,1,2,N,5,8
44,50,1,2,2,1,1,N,6,9
45,62,1,1,2,1,1,N,0,4
46,6,6,N,2,1,2,N,5,9
47,87,1,6,1,1,2,N,2,9
48,53,6,2,2,1,1,N,N,2
49,19,6,6,1,1,2,N,6,11
50,51,1,1,2,1,2,N,9,9
51,61,2,3,2,1,1,N,9,11
52,67,2,1,1,1,1,N,5,6
53,10,2,N,2,1,2,N,6,8
54,28,1,6,1,1,1,N,0,4
55,70,1,4,1,1,2,N,N,3
56,32,1,1,2,1,1,N,N,3
57,38,6,1,2,1,2,N,6,9
58,53,1,1,2,1,1,N,3,5
59,50,3,N,2,1,2,5,6,9
60,63,2,6,1,1,2,N,N,3
61,46,1,1,2,1,2,N,N,3
62,49,1,1,1,1,1,N,N,3
63,26,6,1,1,1,1,N,1,5
64,73,1,3,2,1,2,N,4,7
65,17,1,6,1,1,2,N,1,7
66,52,2,1,2,1,2,N,3,9
67,45,1,6,2,1,1,N,3,4
68,54,1,1,2,1,2,N,9,9
69,31,2,4,2,1,1,N,9,10
70,33,1,6,2,1,2,N,N,N
71,71,1,1,1,1,1,N,N,3
72,24,2,6,2,1,2,N,1,7
73,79,1,1,1,1,2,N,8,10
74,28,1,1,2,1,2,N,8,7
75,9,1,N,1,1,2,N,6,9
76,28,8,1,1,1,1,N,8,9
77,64,2,2,2,1,2,N,2,3
78,13,2,N,1,1,2,N,N,N
79,31,6,6,1,3,0,N,N,1
80,24,1,6,2,1,1,N,3,5
81,76,1,4,1,1,1,N,N,3
82,2,2,6,2,1,1,N,2,6
83,49,1,3,1,1,1,N,N,N
84,43,6,1,1,1,1,N,5,5
85,70,1,2,2,1,1,N,N,3
86,55,1,4,1,1,2,N,3,6
87,74,2,3,2,1,1,N,7,9
88,53,2,1,1,1,2,N,1,4
89,57,6,1,2,1,2,N,8,9
90,27,1,6,2,1,2,N,1,5
91,29,1,6,1,3,0,N,1,4
92,25,1,6,2,1,2,N,3,5
93,20,1,6,2,1,1,N,5,7
94,6,2,N,1,1,1,N,0,5
95,36,2,3,2,1,1,N,9,10
96,54,1,1,2,1,1,N,4,4
97,42,2,6,2,2,0,N,2,7
98,14,1,N,2,1,2,N,3,3
99,74,2,3,2,1,1,N,9,5
100,59,3,4,1,1,1,N,7,5
101,2,2,N,1,1,2,N,5,6
102,40,1,4,1,1,2,N,2,7
103,81,1,1,1,1,1,N,N,1
104,69,2,6,2,2,0,N,7,10
105,37,9,6,1,1,1,N,3,5
106,85,1,2,1,1,1,N,8,10
107,3,3,N,2,1,2,N,5,5
108,52,1,1,1,1,2,N,9,9
109,49,2,4,2,1,1,N,7,9
110,49,1,1,1,1,1,N,9,10
111,36,1,1,2,3,1,N,N,1
112,27,1,1,2,1,1,N,9,9
113,4,3,N,2,1,2,N,0,5
114,23,1,6,1,1,1,N,1,5
115,25,2,6,2,1,2,N,8,12
116,18,2,2,1,1,1,N,N,3
117,37,1,1,2,1,1,N,0,12
118,35,2,1,1,1,2,N,6,8
119,0,1,N,2,1,2,N,7,10
120,29,6,6,2,2,0,N,N,3
121,89,1,1,2,1,1,5,8,12
122,42,1,6,2,1,2,N,6,9
123,27,1,6,1,1,2,N,1,4
124,71,1,1,2,3,0,4,6,7
125,67,1,1,2,1,1,N,8,10
126,25,1,6,1,1,1,N,N,N
127,8,2,N,1,1,1,N,2,7
128,23,1,6,2,1,1,N,N,1
129,23,1,6,2,1,1,N,3,3
130,23,2,6,1,1,2,N,N,3
131,12,1,N,2,1,1,N,N,3
132,17,6,6,1,1,2,N,9,5
133,16,8,6,1,1,1,N,2,5
134,78,6,1,1,1,2,N,0,7
135,33,2,4,2,1,1,N,0,7
136,55,2,1,2,1,2,N,0,5
137,15,1,6,2,1,2,N,9,9
138,29,1,N,2,1,1,N,N,3
139,29,2,6,2,1,2,N,5,10
140,77,1,1,1,1,2,N,2,8
141,42,1,1,1,1,1,N,2,7
142,17,1,6,2,1,1,N,N,2
143,65,1,1,2,1,1,N,8,9
144,23,1,6,1,1,1,N,N,N
145,45,2,6,1,1,1,N,1,5
146,36,1,1,1,1,1,N,7,9
147,59,6,4,1,1,1,N,8,10
148,38,1,6,1,1,1,N,2,5
149,69,1,6,2,1,1,N,0,7
150,15,2,6,1,1,1,N,9,12
151,49,1,2,2,1,1,N,5,9
152,69,1,1,1,1,1,N,N,2
153,75,2,4,1,1,1,N,9,10
154,77,2,2,1,1,1,N,9,7
155,45,1,1,2,1,1,N,5,7
156,21,1,6,1,1,2,N,1,7
157,54,2,4,2,1,2,N,2,10
158,82,1,1,2,1,2,N,N,3
159,66,9,6,1,1,1,N,8,9
160,23,1,6,1,1,2,N,4,7
161,27,1,6,2,1,1,N,1,4
162,11,1,N,1,2,0,N,4,7
163,56,1,3,2,1,1,N,8,9
164,19,1,6,2,1,1,N,8,9
165,73,2,6,2,1,2,N,N,3
166,71,1,1,2,1,2,N,9,10
167,55,1,1,1,1,1,N,2,6
168,51,6,1,1,1,2,N,7,10
169,65,1,1,1,1,1,N,4,4
170,25,3,6,2,1,2,N,2,4
171,16,2,6,2,1,2,1,3,4
172,64,1,1,2,1,2,N,N,1
173,60,2,1,2,1,2,N,N,2
174,19,6,6,2,1,1,N,4,10
175,74,2,3,2,1,2,N,N,3
176,54,2,4,2,1,1,N,1,5
177,61,2,6,2,1,2,N,9,10
178,10,8,N,1,1,1,N,7,5
179,12,3,N,2,1,2,N,8,9
180,73,2,1,2,1,2,N,N,3
181,46,5,1,1,1,2,N,9,11
182,7,1,N,2,1,1,N,0,3
183,50,1,2,1,1,1,N,1,9
184,65,2,3,2,1,1,N,5,9
185,65,1,5,2,3,0,N,5,7
186,11,1,N,1,1,1,N,8,9
187,12,2,N,1,1,1,N,9,7
188,7,2,3,2,1,1,N,N,2
189,45,9,1,1,1,1,N,N,1
190,7,6,N,1,1,1,N,3,5
191,12,1,N,1,1,2,N,N,3
192,17,1,6,1,1,2,N,8,9
