,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP
0,1,6,1,1,3,9,0,51-51255,570
1,1,6,9,1,4,5,0,30-00600,8770
2,1,N,6,2,6,3,0,28-01100,N
3,1,4,1,2,7,9,0,17-03531,9170
4,2,6,6,1,4,8,0,17-03531,N
5,2,6,1,1,3,5,0,29-01901,8590
6,2,6,2,2,0,10,0,29-01901,770
7,2,1,1,1,2,9,0,06-07502,7270
8,2,1,1,2,5,6,0,24-01004,6992
9,2,2,6,2,1,5,0,51-51255,7071
10,1,1,3,1,1,7,0,06-07502,7380
11,2,4,2,1,8,10,0,38-00100,N
12,2,N,1,1,1,4,0,30-00600,N
13,1,4,2,1,4,7,0,28-01100,7860
14,1,N,1,1,3,5,0,19-01700,N
15,1,6,1,1,5,7,0,38-00100,7380
16,2,1,1,2,1,8,0,38-00100,N
17,2,4,2,1,N,3,0,17-03529,6170
18,1,1,1,2,3,4,0,19-01700,N
19,2,1,1,1,9,7,0,17-03529,1170
20,2,6,6,2,8,9,0,24-01004,7590
21,2,1,1,1,0,4,0,36-04010,N
22,1,6,1,1,0,9,0,30-00600,5593
23,1,3,1,2,4,5,0,40-00200,770
24,2,1,1,1,3,9,0,40-00200,N
25,1,1,1,1,0,5,0,51-01301,7590
26,2,4,2,1,8,11,0,24-01004,N
27,1,1,1,1,3,10,0,08-00803,770
28,2,1,1,2,1,10,0,51-01301,N
29,1,N,6,2,5,5,0,08-00803,7270
30,2,1,2,2,5,5,0,38-00100,N
31,1,1,6,2,2,5,0,26-02702,7870
32,2,1,1,0,3,7,0,51-01301,4870
33,1,1,1,1,5,5,0,40-00200,7860
34,1,2,2,2,N,1,0,06-08507,N
35,1,6,1,1,6,7,0,06-07502,N
36,2,6,2,1,7,10,0,19-01700,7290
37,1,6,1,1,5,7,0,13-04600,N
38,1,N,9,2,3,7,0,24-01004,3895
39,1,6,2,1,2,6,0,30-00600,N
40,2,1,8,1,3,7,0,36-04010,8660
41,1,6,2,1,N,3,0,08-00803,9160
42,1,4,2,2,1,7,4,51-51255,N
43,1,1,2,1,9,9,0,17-03529,7470
44,2,3,2,1,8,7,0,13-04600,N
45,2,1,1,1,0,7,0,17-03529,570
46,2,6,3,2,9,10,0,17-03529,8191
47,1,6,6,2,N,3,0,17-03531,7380
48,1,6,1,2,5,5,0,51-01301,N
49,2,6,6,1,0,11,0,40-00200,3490
50,1,6,1,2,5,8,0,38-00100,8470
51,2,1,1,0,1,5,0,30-00600,5090
52,2,1,2,1,7,5,0,38-00100,N
53,1,1,1,1,4,5,0,51-51255,9670
54,1,1,1,2,7,11,0,24-01004,N
55,2,N,2,1,8,10,0,08-00803,7870
56,2,N,1,1,3,7,0,24-01004,7870
57,2,1,6,2,7,7,0,13-04600,6070
58,2,6,2,1,0,4,0,51-01301,9370
59,2,N,1,1,8,10,0,19-01700,N
60,2,1,1,1,N,11,0,17-03531,8670
61,2,6,1,0,0,7,0,38-00100,770
62,2,1,1,2,6,7,0,13-04600,N
63,1,1,1,1,8,10,0,51-01301,7270
64,2,6,1,1,4,5,0,01-01301,770
65,1,6,1,1,2,9,0,08-00803,7290
66,2,1,1,2,6,5,0,36-04010,N
67,2,N,2,1,7,9,0,32-00405,N
68,1,3,1,1,6,6,0,26-02702,6992
69,2,3,1,1,7,8,0,38-00100,8270
70,2,6,2,2,5,9,0,38-00100,4270
71,2,N,1,0,0,7,0,40-00200,N
72,1,1,1,2,9,9,1,36-03710,N
73,1,N,2,2,9,12,0,01-01301,180
74,2,5,2,1,2,7,1,32-00405,N
75,1,6,1,2,2,5,0,26-02702,7380
76,1,4,1,2,1,10,0,38-00100,7780
77,2,6,9,1,7,8,1,38-00100,7290
78,1,6,1,1,9,9,0,17-03529,N
79,1,2,2,1,7,10,0,26-02702,8770
