,PUMA,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU,NOC,HISP
0,36-04010,63,2,6,1,1,2,N,N,9,3,0
1,38-00100,3,3,6,2,1,1,N,8,9,0,0
2,19-01700,63,1,1,1,1,2,N,8,4,0,0
3,40-00200,27,3,N,2,1,2,N,6,10,0,4
4,17-03531,51,2,1,2,1,1,N,9,5,0,0
5,06-07502,73,1,6,1,3,1,N,2,7,N,0
6,51-01301,31,1,6,1,1,1,N,8,4,0,0
7,26-02702,62,1,6,1,1,2,N,3,8,0,4
8,51-51255,84,1,1,2,1,2,N,2,2,4,0
9,30-00600,23,1,N,2,1,1,N,2,4,N,0
10,51-51255,55,1,6,1,1,1,N,8,7,0,0
11,30-00600,72,1,2,2,1,1,N,3,4,2,1
12,30-00600,67,1,3,2,2,2,N,N,N,3,0
13,38-00100,94,1,6,2,1,2,N,7,5,0,0
14,40-00200,12,1,1,2,1,1,N,0,5,0,3
15,06-08507,61,1,4,2,1,1,N,5,9,0,0
16,06-08507,26,1,6,1,1,1,N,8,10,0,0
17,30-00600,23,1,1,2,1,1,N,9,8,0,0
18,28-01100,18,2,1,1,1,1,N,N,11,0,0
19,32-00405,7,1,6,2,1,2,N,1,5,0,0
20,30-00600,24,3,6,1,1,1,N,9,10,4,0
21,30-00600,35,1,1,2,1,1,N,2,9,0,0
22,32-00405,68,1,1,2,1,1,N,7,4,0,0
23,36-04010,66,1,N,1,1,1,N,N,9,0,0
24,24-01004,70,1,1,1,1,1,N,0,1,0,0
25,06-08507,27,1,4,2,1,2,N,3,3,0,0
26,38-00100,31,1,1,2,1,1,N,2,9,3,0
27,36-04010,57,2,6,2,1,2,N,7,5,0,0
28,26-02702,45,1,3,1,1,2,N,6,3,0,0
29,17-03529,22,2,3,2,1,2,N,3,4,1,0
30,01-01301,63,2,1,2,1,1,N,4,8,0,0
31,36-03710,92,2,5,1,1,2,N,8,2,2,0
32,24-01004,57,2,6,1,3,1,N,8,5,0,0
33,19-01700,53,1,6,1,1,0,N,3,4,2,0
34,01-01301,18,1,N,1,1,1,N,7,8,N,0
35,36-04010,47,2,N,1,1,1,N,N,5,N,2
36,40-00200,47,1,6,2,1,1,N,7,7,0,0
37,24-01004,65,1,3,2,1,0,N,0,9,0,0
38,36-03710,7,8,1,2,1,1,N,9,11,0,0
39,17-03529,44,1,1,2,1,2,N,2,5,0,0
40,36-04010,15,2,1,1,1,1,N,5,7,N,0
41,28-01100,57,1,6,1,1,2,N,4,6,0,0
42,06-07502,28,6,6,2,1,0,N,2,7,0,0
43,24-01004,67,1,1,2,1,2,N,7,10,0,0
44,32-00405,71,8,5,2,1,2,N,3,5,0,0
45,17-03529,25,9,4,2,1,1,N,0,5,2,0
46,36-03710,11,9,6,2,1,1,N,N,4,0,2
47,06-08507,29,6,6,1,1,0,N,0,10,0,0
48,08-00803,70,2,1,1,1,1,N,9,9,0,0
49,38-00100,0,3,1,1,1,1,N,9,5,0,4
50,38-00100,32,1,N,1,1,1,N,2,3,0,1
51,08-00803,28,1,5,2,1,1,N,8,8,0,0
52,13-04600,80,6,N,1,1,1,N,8,7,3,0
53,36-03710,25,1,6,2,1,1,N,8,7,N,0
54,30-00600,63,1,6,1,1,2,N,2,7,1,0
55,51-51255,32,1,2,2,1,1,N,N,9,1,0
56,36-04010,64,8,6,1,1,1,N,2,7,1,1
57,24-01004,41,1,N,2,1,1,N,9,3,3,2
58,51-51255,65,1,6,1,1,1,N,2,N,3,0
59,30-00600,18,1,6,2,1,1,N,4,11,1,0
60,17-03529,36,2,6,2,1,1,N,6,4,2,0
61,32-00405,28,1,6,2,1,2,N,5,1,0,0
62,24-01004,72,6,6,1,1,1,N,0,N,2,0
63,01-01301,70,1,6,2,3,1,N,3,7,N,0
64,19-01700,27,1,1,1,1,1,N,8,3,3,0
65,24-01004,76,1,6,2,1,2,N,N,7,0,0
66,17-03529,12,2,1,1,1,1,N,9,5,0,0
67,19-01700,32,1,1,2,1,2,N,6,3,4,0
68,08-00803,43,1,1,1,1,1,N,6,3,2,2
69,19-01700,59,1,N,1,1,0,N,1,9,0,0
70,06-08507,67,6,2,2,1,1,N,9,2,3,0
71,17-03531,19,2,6,2,1,2,N,2,N,2,0
72,36-04010,63,2,6,1,2,2,N,1,N,2,0
73,29-01901,24,1,3,2,1,1,N,2,9,2,0
74,06-07502,18,6,4,1,1,2,N,0,7,2,0
75,01-01301,39,2,3,2,1,2,N,N,8,1,0
76,28-01100,22,2,6,2,1,1,N,7,10,0,4
77,51-01301,10,1,6,1,1,1,N,0,7,0,0
78,32-00405,39,1,6,2,1,1,N,3,4,5,0
79,36-03710,2,8,N,2,1,1,N,1,9,2,0
80,17-03529,69,2,N,1,1,1,N,1,4,2,1
81,38-00100,74,1,2,1,1,1,N,4,10,3,0
82,06-07502,18,6,N,1,1,1,N,3,7,0,0
83,29-01901,37,2,1,1,1,2,N,N,12,0,0
84,36-03710,93,8,1,1,1,1,N,0,9,0,0
85,51-51255,66,2,1,2,1,1,N,8,9,1,0
86,51-51255,59,1,1,1,1,1,N,6,7,0,0
87,29-01901,25,2,6,1,1,1,N,N,5,0,0
88,24-01004,69,1,1,1,1,0,N,2,5,0,0
89,19-01700,43,1,4,2,1,1,N,8,9,4,4
90,38-00100,3,1,4,1,1,2,N,N,7,0,0
91,24-01004,3,6,1,1,1,1,N,8,10,0,0
92,13-04600,14,2,2,2,1,1,N,9,3,4,0
93,36-03710,61,2,4,2,1,2,N,8,2,0,0
94,28-01100,37,2,4,1,1,1,N,7,11,0,0
95,28-01100,40,2,1,2,1,2,N,0,9,0,0
96,30-00600,4,1,4,1,1,1,3,9,3,2,0
97,19-01700,16,2,3,2,1,1,N,2,9,2,0
98,36-03710,20,8,6,2,1,1,N,0,7,0,0
99,19-01700,24,1,6,1,3,1,N,3,5,0,0
100,26-02702,42,2,6,2,1,2,N,N,10,0,0
101,08-00803,82,1,1,1,1,2,N,1,9,0,0
102,28-01100,14,2,1,1,1,0,N,2,6,1,0
103,08-00803,18,1,1,2,1,2,N,6,9,2,0
104,06-07502,64,1,N,1,1,1,N,7,8,0,0
105,08-00803,30,1,N,2,1,1,N,3,4,0,0
106,32-00405,20,8,6,2,1,2,N,3,4,0,0
107,17-03529,64,1,6,1,1,1,N,N,12,0,0
108,30-00600,73,1,1,2,1,1,N,0,10,1,0
109,19-01700,53,1,1,1,1,0,N,7,5,0,0
110,40-00200,57,3,1,1,1,2,N,N,4,0,0
111,36-03710,8,2,N,1,1,2,N,9,3,N,0
112,29-01901,68,9,N,1,1,2,N,4,2,2,0
113,19-01700,31,1,1,1,1,1,N,8,10,0,0
114,24-01004,12,1,1,1,1,2,N,5,4,2,0
115,36-04010,83,2,4,2,1,1,N,2,7,0,0
116,19-01700,14,1,5,1,1,1,N,6,4,0,1
117,26-02702,45,6,1,2,1,1,N,N,6,0,0
118,06-08507,87,1,4,1,1,1,N,N,6,0,0
119,13-04600,18,2,2,1,1,1,N,0,4,2,0
120,19-01700,74,1,6,2,1,1,N,8,4,4,0
121,38-00100,17,1,6,2,1,1,N,8,4,3,0
122,32-00405,22,1,6,2,1,2,N,1,7,0,0
123,13-04600,69,1,6,2,1,2,N,N,8,0,0
124,32-00405,48,8,1,2,1,1,N,N,1,0,0
125,24-01004,10,1,6,1,1,1,N,7,3,N,0
126,28-01100,14,1,1,2,1,1,N,N,12,N,0
127,30-00600,4,1,N,2,1,1,N,0,11,2,0
128,40-00200,40,3,6,1,1,2,N,2,9,0,0
129,13-04600,0,2,1,1,1,1,N,5,8,0,0
130,32-00405,19,9,6,2,1,1,N,3,8,3,0
131,29-01901,70,2,1,1,1,1,N,9,11,0,0
132,24-01004,37,1,3,2,1,1,N,N,10,0,4
133,26-02702,42,1,N,2,1,1,N,7,5,0,0
134,28-01100,25,2,1,2,1,1,N,N,9,0,0
135,17-03529,17,1,1,1,1,2,N,2,9,0,0
136,30-00600,1,1,1,2,1,1,N,0,4,N,0
137,17-03529,22,1,1,2,1,1,N,4,5,0,2
138,19-01700,10,2,6,1,1,1,N,N,3,3,0
139,51-51255,59,1,N,2,1,1,N,8,2,2,0
140,32-00405,50,1,1,2,1,1,N,6,7,0,0
141,29-01901,65,2,1,1,1,2,N,6,8,0,1
142,36-04010,57,2,1,1,1,1,N,3,10,0,0
143,32-00405,29,1,1,2,1,2,N,8,N,0,0
144,06-07502,49,9,6,2,1,1,N,5,10,0,0
145,24-01004,46,6,1,1,1,1,N,9,5,0,0
146,38-00100,23,1,6,2,1,2,N,9,7,1,0
147,30-00600,23,1,1,1,1,1,N,8,4,1,0
148,30-00600,63,1,4,2,1,0,N,4,7,0,0
149,36-03710,4,9,6,1,1,1,N,3,7,0,0
150,40-00200,41,3,1,1,1,2,N,7,10,3,0
151,30-00600,70,1,1,1,1,2,N,3,3,4,1
152,38-00100,89,1,4,1,1,1,N,8,9,0,0
153,38-00100,0,8,N,2,1,1,N,0,3,5,4
154,28-01100,28,2,6,2,1,1,N,0,5,0,0
155,08-00803,19,1,1,1,1,2,N,N,9,0,0
156,24-01004,6,6,6,2,1,1,N,3,9,0,0
157,30-00600,39,1,6,1,1,2,N,N,2,1,0
158,24-01004,10,6,3,2,1,2,N,8,7,0,0
159,51-51255,15,1,1,2,1,1,N,2,10,1,0
160,30-00600,19,1,1,2,1,1,N,8,2,3,0
161,19-01700,27,1,1,2,1,1,N,4,7,2,0
162,01-01301,58,1,1,1,1,2,N,9,5,0,0
163,30-00600,32,8,1,2,1,1,N,2,5,0,0
164,36-04010,90,2,N,1,1,1,N,N,12,2,0
165,51-51255,30,1,6,1,1,1,N,N,6,1,0
166,36-03710,47,8,1,2,1,2,N,1,10,0,0
167,13-04600,39,2,N,1,1,1,N,6,2,N,0
168,08-00803,18,1,1,2,1,2,N,5,7,N,0
169,29-01901,48,1,2,2,1,1,N,1,5,0,0
170,51-01301,26,1,2,1,1,2,N,1,N,1,0
171,28-01100,22,2,6,2,3,1,N,N,9,1,0
172,36-04010,33,2,6,2,1,1,N,2,4,2,0
173,06-08507,78,6,6,2,1,0,N,2,9,0,0
174,24-01004,46,1,1,2,1,1,N,0,9,0,0
175,30-00600,64,9,4,2,1,1,N,N,7,3,0
176,19-01700,46,1,1,1,1,1,N,N,9,1,0
177,36-04010,25,2,1,1,1,1,N,6,9,0,0
178,32-00405,65,1,6,1,1,2,N,9,5,0,0
179,24-01004,17,1,N,2,1,2,N,7,12,0,0
180,19-01700,80,1,3,2,1,1,N,8,5,0,0
181,38-00100,52,1,4,1,1,1,N,9,3,2,0
182,28-01100,63,2,1,2,1,1,N,N,3,2,4
183,19-01700,54,1,6,1,1,1,N,8,7,0,0
184,40-00200,57,1,6,2,3,1,N,0,9,1,0
185,51-01301,63,1,6,1,1,1,N,8,1,0,0
186,24-01004,54,1,6,1,1,1,N,N,7,0,0
187,40-00200,25,1,1,1,1,1,N,8,5,0,0
188,51-01301,49,1,1,2,1,2,N,5,4,1,0
189,40-00200,69,1,6,1,1,2,N,5,11,0,0
190,29-01901,70,2,N,2,1,1,N,N,8,0,0
191,19-01700,24,1,1,1,1,2,N,2,1,3,0
192,28-01100,46,2,6,2,2,1,N,7,10,0,0
193,30-00600,27,1,N,2,1,1,N,4,12,1,0
194,40-00200,64,1,6,2,1,1,N,5,10,0,0
195,26-02702,18,2,N,1,1,1,N,2,9,0,0
196,32-00405,59,1,6,2,1,2,N,N,5,0,0
197,24-01004,43,1,1,1,1,1,N,4,9,0,0
198,51-51255,38,1,6,1,3,2,N,0,4,2,0
199,38-00100,9,1,6,2,1,2,N,0,9,0,0
200,08-00803,58,1,6,2,1,2,N,4,12,2,0
201,08-00803,34,2,5,1,1,1,N,2,4,3,0
202,24-01004,42,1,6,1,1,1,N,N,5,0,0
203,36-04010,43,2,N,1,1,2,N,N,2,0,0
204,32-00405,69,3,2,1,1,2,N,2,5,0,0
205,24-01004,11,6,N,1,1,1,N,N,N,7,1
206,28-01100,20,2,1,2,1,1,N,9,4,1,4
