,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,2,3,8,2,2,1,0,28-01100,N
1,1,4,1,2,0,5,4,26-02702,N
2,1,1,2,1,2,4,0,06-07502,15
3,2,6,2,2,2,7,0,38-00100,N
4,2,4,9,1,N,3,0,29-01901,N
5,2,6,1,2,3,7,0,26-02702,N
6,1,6,2,2,0,8,0,38-00100,14
7,2,4,2,1,N,N,0,24-01004,10
8,2,6,2,2,0,3,0,06-07502,6
9,2,1,1,2,1,4,0,28-01100,10
10,2,1,1,1,0,8,0,38-00100,0
11,2,1,3,2,1,5,0,51-01301,12
12,1,1,1,2,2,7,0,19-01700,N
13,2,1,6,1,N,N,0,17-03529,10
14,2,6,1,2,N,3,0,19-01700,8
15,2,6,1,2,N,2,0,38-00100,N
16,1,1,1,0,1,7,4,24-01004,13
17,1,N,2,2,N,3,0,38-00100,N
18,2,6,1,2,3,7,0,13-04600,N
19,1,6,1,1,7,5,0,51-01301,N
20,1,6,1,2,N,3,0,24-01004,10
21,2,1,1,0,0,7,0,29-01901,12
22,2,1,1,1,9,9,0,51-01301,16
23,2,N,9,1,3,4,0,06-07502,16
24,2,N,1,2,3,3,0,06-08507,16
25,2,5,2,0,4,4,4,08-00803,N
26,1,1,1,1,8,7,0,30-00600,11
27,1,6,6,1,4,7,4,36-04010,8
28,2,1,1,1,2,7,0,36-04010,5
29,1,6,2,1,N,3,0,28-01100,N
30,1,1,1,2,5,7,0,17-03529,6
31,1,1,1,1,2,5,0,06-08507,10
32,2,3,2,1,6,6,0,06-08507,10
33,1,5,1,1,9,11,0,17-03529,6
34,1,6,2,2,6,9,0,19-01700,3
35,2,3,1,2,N,3,0,38-00100,14
36,1,N,1,2,2,4,0,13-04600,N
37,2,N,1,1,8,9,2,36-03710,N
38,1,6,1,2,0,5,0,29-01901,11
39,2,6,2,1,N,1,0,19-01700,11
40,2,1,1,2,N,1,0,36-03710,12
41,1,6,2,1,7,10,4,06-08507,N
42,2,6,2,2,2,5,0,19-01700,N
43,2,6,1,2,2,9,0,17-03529,N
44,2,6,2,1,8,10,0,30-00600,3
45,1,N,1,1,N,3,0,13-04600,N
46,1,6,1,1,8,10,0,30-00600,8
47,1,1,1,1,N,3,0,24-01004,N
