SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,2,8,2,6,3,24-01004,70,0,2,116
1,5,8,2,N,4,32-00405,2,3,8,435
1,1,9,2,7,2,06-08507,8,1,7,65
2,6,3,2,4,4,36-03710,21,0,N,330
1,5,8,2,5,3,13-04600,16,2,2,111
1,5,3,2,N,4,08-00803,41,0,2,147
1,5,2,2,9,3,28-01100,60,0,5,277
2,3,4,2,9,0,36-03710,55,0,N,41
1,2,9,2,5,3,51-51255,38,N,N,137
1,N,2,2,1,4,38-00100,34,0,2,77
1,N,9,2,N,4,29-01901,20,1,9,116
1,6,2,2,3,1,40-00200,49,0,N,128
1,N,4,2,7,3,51-51255,5,0,8,344
2,4,2,2,0,0,08-00803,41,0,N,492
1,5,2,2,7,0,36-04010,17,1,8,339
2,3,5,2,7,2,51-01301,16,5,4,317
2,4,9,2,6,4,51-01301,33,2,4,67
2,2,9,2,3,3,36-04010,54,2,8,229
1,1,9,2,N,3,08-00803,0,4,5,225
1,5,2,1,9,4,24-01004,73,0,2,N
1,4,9,2,5,4,06-08507,54,2,4,181
2,2,9,2,2,4,51-51255,39,0,N,315
2,5,9,2,N,4,32-00405,9,0,2,3
1,1,2,2,8,4,28-01100,41,0,N,408
2,6,2,2,6,4,06-07502,34,N,2,116
1,4,8,2,6,1,40-00200,22,4,4,351
2,2,9,2,4,4,28-01100,8,4,4,446
1,4,6,2,4,1,19-01700,69,2,5,N
2,5,2,2,3,2,17-03531,17,0,2,115
2,2,2,1,4,2,29-01901,31,3,8,37
1,2,3,2,N,4,30-00600,52,0,N,95
1,6,3,2,9,2,51-51255,58,0,2,3
1,1,2,2,N,3,08-00803,42,1,5,382
1,2,9,2,5,3,13-04600,40,2,5,440
2,4,2,2,6,3,19-01700,75,0,2,208
2,2,5,2,8,3,08-00803,37,0,3,46
1,3,9,1,0,2,26-02702,90,N,2,144
1,5,2,2,5,4,51-51255,60,2,5,216
2,2,9,2,6,1,29-01901,37,4,3,163
2,6,2,2,0,0,01-01301,56,N,N,N
2,1,2,2,N,4,26-02702,2,4,3,16
1,6,2,2,N,2,19-01700,33,2,N,495
2,N,9,2,N,3,01-01301,6,3,11,65
1,1,2,2,N,4,30-00600,46,2,2,474
1,4,6,2,5,0,08-00803,11,0,N,448
2,6,4,2,4,3,17-03529,48,0,N,277
1,6,2,2,0,0,38-00100,52,0,N,351
1,2,8,2,6,4,36-03710,67,0,2,445
2,2,8,2,0,4,51-51255,17,4,4,420
2,4,9,2,1,4,13-04600,6,0,N,356
1,2,4,2,2,4,32-00405,50,0,4,4
2,1,4,2,9,4,51-51255,12,2,2,330
1,2,2,2,6,1,13-04600,86,N,N,15
2,4,6,1,0,4,40-00200,75,N,N,101
2,4,9,2,4,4,26-02702,84,0,3,140
2,4,2,2,8,1,24-01004,66,2,2,N
2,N,9,2,N,4,17-03531,5,2,2,262
2,1,9,2,N,4,36-03710,75,4,2,374
1,2,2,2,9,3,17-03529,37,2,2,225
2,N,7,2,N,3,51-51255,11,2,3,412
