,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,-4.551914400963142e-15,-0.035812574942733356,0.011943093003606983,0.03812301887598835,0.053478063893264316,0.07530729604582272,-0.022244021189809497,-0.0476977653884815,0.013547322146909837,-0.029880682123425293
AGEP,-0.035812574942733356,-1.7763568394002505e-15,-0.058627529687825114,-0.059889574579654395,0.08618511196984197,0.15006427920261306,0.48057347197506384,0.3602406011779437,0.02503429665030719,-0.4854570880310121
SEX,0.011943093003606983,-0.058627529687825114,0.0,-0.01990521350328217,-0.004835563597443367,-0.006741651498875202,0.028003871934494207,0.06455038174122732,0.013029150682895785,0.1280184309374592
MSP,0.03812301887598835,-0.059889574579654395,-0.01990521350328217,0.0,-0.014278117499413096,0.008892305973264927,0.42978119991985114,0.4857472369495938,0.037131444419946244,-0.0905596309204733
HISP,0.053478063893264316,0.08618511196984197,-0.004835563597443367,-0.014278117499413096,-7.993605777301127e-15,-0.1327081629618069,-0.03707216079923535,-0.02645277758817282,-0.05947511232758969,0.09038393130597756
RAC1P,0.07530729604582272,0.15006427920261306,-0.006741651498875202,0.008892305973264927,-0.1327081629618069,-4.6629367034256575e-15,-0.09153296374300669,-0.046635136398715825,-0.030785878619352947,0.07994110290363621
NOC,-0.022244021189809497,0.48057347197506384,0.028003871934494207,0.42978119991985114,-0.03707216079923535,-0.09153296374300669,0.0,-0.6742459691308972,-0.17192637829021773,0.25057395624061807
NPF,-0.0476977653884815,0.3602406011779437,0.06455038174122732,0.4857472369495938,-0.02645277758817282,-0.046635136398715825,-0.6742459691308972,-4.884981308350689e-15,-0.0453925693306938,0.15847075268935276
OWN_RENT,0.013547322146909837,0.02503429665030719,0.013029150682895785,0.037131444419946244,-0.05947511232758969,-0.030785878619352947,-0.17192637829021773,-0.0453925693306938,-3.3306690738754696e-16,-0.07327845147674104
PINCP_DECILE,-0.029880682123425293,-0.4854570880310121,0.1280184309374592,-0.0905596309204733,0.09038393130597756,0.07994110290363621,0.25057395624061807,0.15847075268935276,-0.07327845147674104,1.6653345369377348e-15
