PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-00503,71,1,1,0,1,0,2,1,1,2872.7,6670,8,8,96200.0,8,501,N,2,2,2,2,125,124
25-00703,37,1,1,0,1,2,4,1,1,2195.3,8590,14,9,53000.0,6,403,N,2,2,2,2,48,68
25-00503,23,2,6,0,1,N,N,3,0,2872.7,7870,11,9,52000.0,6,377,N,2,2,2,2,22,0
25-01300,12,1,N,0,1,0,5,1,1,1457.2,N,N,3,N,N,501,N,2,2,2,2,66,84
25-00703,60,2,6,0,1,0,2,1,1,2195.3,6992,9,9,220000.0,9,501,N,2,2,2,2,194,194
25-00703,60,2,1,0,6,0,2,1,1,2195.3,8980,15,4,8000.0,2,444,N,2,2,2,2,105,96
25-00503,11,1,N,0,1,1,5,1,1,2872.7,N,N,3,N,N,501,N,2,2,2,2,69,65
25-00503,51,2,1,0,6,0,2,1,1,2872.7,2290,4,9,3000.0,1,501,N,2,2,2,2,114,124
25-01000,30,1,1,0,1,0,3,1,1,2447.1,6890,9,5,45000.0,5,501,N,2,2,2,2,52,48
25-00503,56,2,4,0,1,0,N,1,2,2872.7,6670,8,9,116000.0,8,501,N,2,2,2,2,194,195
25-00503,45,1,6,0,1,0,N,1,2,2872.7,7870,11,12,_RARE_,7,439,N,2,2,2,2,100,101
25-01300,29,1,6,0,1,0,N,1,1,1457.2,6991,9,10,50000.0,6,371,N,2,2,2,2,78,79
25-01300,52,2,1,0,1,0,2,1,1,1457.2,7290,10,11,89000.0,8,501,N,2,2,2,2,94,104
25-00503,24,2,6,0,6,N,N,3,0,2872.7,7380,10,9,9000.0,2,68,N,2,2,2,2,14,0
25-00703,83,2,3,0,1,0,N,1,1,2195.3,N,N,5,15600.0,3,182,N,2,2,2,2,82,82
25-00503,14,1,N,0,6,1,2,1,2,2872.7,N,N,3,N,N,31,N,2,2,2,2,116,109
25-01300,38,1,1,0,1,0,2,1,1,1457.2,3380,4,10,165000.0,9,501,N,2,2,2,2,129,124
25-00703,88,1,3,0,1,N,N,2,0,2195.3,N,N,5,0.0,0,N,N,1,1,1,1,12,0
25-01300,66,2,3,0,1,0,N,1,2,1457.2,6880,9,5,32000.0,4,228,N,2,1,2,2,194,190
25-01300,44,1,1,0,1,2,4,1,1,1457.2,8191,12,8,100000.0,8,501,N,2,2,2,2,61,61
25-01300,16,2,6,0,1,2,4,1,1,1457.2,N,N,4,0.0,0,501,N,2,2,2,2,64,51
25-00703,56,1,1,0,1,0,2,1,1,2195.3,8191,12,5,40600.0,5,408,N,2,2,2,2,69,56
25-01300,43,2,1,0,1,0,2,1,1,1457.2,N,N,7,_RARE_,8,501,N,1,1,1,1,38,38
25-02800,29,2,6,4,1,0,3,1,1,3683.9,8680,14,1,8000.0,2,299,N,2,2,2,2,85,46
25-01300,21,2,6,0,1,1,4,1,1,1457.2,8470,13,7,5400.0,1,343,N,2,2,2,2,104,109
25-01000,76,2,1,0,1,0,2,1,1,2447.1,N,N,9,37600.0,5,248,N,2,2,2,2,130,120
25-00503,31,1,6,0,1,0,3,1,1,2872.7,7460,10,9,68000.0,7,501,N,2,2,2,2,140,141
25-01300,26,1,6,0,1,0,N,1,1,1457.2,7570,10,9,140000.0,9,501,N,2,2,2,2,190,198
25-01300,54,2,1,0,1,0,4,1,1,1457.2,2190,4,9,105000.0,8,501,N,2,2,2,2,63,63
25-02800,90,2,3,0,1,N,N,2,0,3683.9,N,N,5,12000.0,2,N,N,1,1,2,1,53,0
25-01300,58,2,1,0,1,1,4,1,1,1457.2,7860,11,5,42000.0,5,295,N,2,2,2,2,105,106
25-00503,18,2,6,4,8,N,N,3,0,2872.7,8680,14,7,23400.0,3,N,N,2,2,2,2,32,0
25-00703,11,1,N,0,1,2,4,1,1,2195.3,N,N,3,N,N,131,N,2,2,2,2,281,282
25-01000,53,1,6,0,1,0,N,1,2,2447.1,4670,6,5,42000.0,5,294,N,2,2,2,2,45,47
25-01000,48,1,6,0,1,0,N,1,2,2447.1,3291,4,8,73000.0,7,501,N,2,2,2,2,181,181
25-00703,35,1,1,0,1,3,5,1,1,2195.3,7460,10,9,120000.0,8,501,N,2,2,2,2,88,83
25-01300,50,2,1,0,1,1,3,1,1,1457.2,770,3,9,50000.0,6,315,N,2,2,2,2,34,34
25-00503,56,1,1,0,1,0,2,1,1,2872.7,5593,6,10,92000.0,8,501,N,2,2,2,2,80,89
25-01000,80,1,1,0,1,0,3,1,1,2447.1,6070,7,7,45200.0,5,501,N,2,2,2,2,82,83
25-01000,47,1,1,0,1,0,2,1,1,2447.1,4690,6,7,32000.0,4,501,N,2,2,2,2,85,82
25-00703,14,2,N,0,1,1,3,1,1,2195.3,N,N,3,N,N,501,N,2,2,2,2,94,73
25-02800,66,2,5,0,1,0,2,1,1,3683.9,7860,11,10,70000.0,7,501,N,2,2,2,2,189,139
25-00703,22,2,6,0,1,1,4,1,1,2195.3,8090,12,5,21000.0,3,501,N,2,2,2,2,69,57
25-00503,86,2,1,0,1,0,2,1,1,2872.7,N,N,5,291000.0,9,501,N,2,2,2,2,253,254
25-01300,72,1,4,0,1,0,N,1,2,1457.2,5490,6,12,41000.0,5,273,N,2,2,2,2,51,51
25-00503,37,2,6,0,1,0,N,1,2,2872.7,8980,15,7,_RARE_,5,72,N,2,2,2,2,235,236
25-00703,35,2,1,0,1,2,4,1,1,2195.3,1190,4,9,_RARE_,7,449,N,2,2,2,2,61,61
25-01300,6,2,N,0,1,2,3,1,1,1457.2,N,N,2,N,N,501,N,2,2,2,2,61,75
25-00703,45,1,1,0,1,2,4,1,1,2195.3,4990,6,8,100000.0,8,501,N,2,2,2,2,65,66
25-00703,79,2,1,0,1,0,2,1,1,2195.3,N,N,5,50200.0,6,448,N,2,2,2,2,54,95
25-01300,27,1,6,0,1,0,2,1,1,1457.2,7370,10,8,27200.0,4,377,N,2,2,2,2,384,185
25-01300,15,1,6,0,1,0,4,1,1,1457.2,N,N,4,0.0,0,501,N,2,2,2,2,43,41
25-00503,32,1,6,0,1,N,N,3,0,2872.7,7460,10,7,16000.0,3,N,N,2,2,2,2,61,0
25-00503,20,1,6,4,1,0,N,1,2,2872.7,7870,11,7,72000.0,7,501,N,2,2,2,2,57,52
25-00703,33,1,1,0,1,3,5,1,1,2195.3,6680,8,7,62000.0,6,501,N,2,2,2,2,144,154
25-01000,22,2,6,0,1,0,2,1,1,2447.1,7380,10,7,6000.0,1,501,N,2,2,2,2,58,34
25-00703,4,1,N,0,1,4,6,1,1,2195.3,N,N,1,N,N,439,N,N,N,2,2,241,355
25-01000,37,1,1,0,1,1,4,1,1,2447.1,7071,9,7,72000.0,7,501,N,2,2,2,2,132,125
25-00703,43,1,1,0,1,2,4,1,1,2195.3,770,3,9,87000.0,8,501,N,2,2,2,2,46,46
25-01300,69,1,1,0,6,0,2,1,1,1457.2,7860,11,10,64000.0,7,501,N,2,2,2,2,93,101
25-02800,45,2,1,0,1,2,4,1,1,3683.9,8191,12,10,61000.0,6,501,N,2,2,2,2,207,226
25-00703,63,2,1,0,1,0,3,1,1,2195.3,9480,16,11,89000.0,8,501,N,2,2,2,2,45,45
25-00703,61,1,1,0,1,0,2,1,1,2195.3,9480,16,9,65000.0,7,501,N,2,2,2,2,56,56
25-02800,56,2,1,0,1,0,2,1,1,3683.9,9160,15,7,65000.0,7,501,N,2,2,2,2,140,149
25-00503,59,1,1,0,1,0,2,1,1,2872.7,N,N,10,627000.0,9,501,N,2,2,2,2,98,98
25-00503,30,2,1,0,6,1,3,1,2,2872.7,7280,10,10,200000.0,9,501,N,2,2,2,2,135,136
25-00503,0,2,N,0,6,2,3,1,2,2872.7,N,N,N,N,N,501,N,N,N,2,2,197,119
25-01000,48,2,1,0,1,2,4,1,1,2447.1,7390,10,8,150000.0,9,501,N,2,2,2,2,90,87
25-01000,28,2,6,0,1,N,N,3,0,2447.1,770,3,5,8800.0,2,34,N,2,2,2,2,27,0
25-01300,73,1,1,0,1,0,2,1,1,1457.2,N,N,5,51500.0,6,454,N,2,2,2,1,71,81
25-00503,7,1,N,0,1,3,5,1,1,2872.7,N,N,3,N,N,501,N,2,2,2,2,47,59
25-00503,1,1,N,0,1,2,4,1,1,2872.7,N,N,N,N,N,501,N,N,N,2,2,100,96
25-01000,37,1,1,4,1,3,5,1,1,2447.1,770,3,4,50000.0,6,315,N,2,2,2,2,54,55
25-01300,59,1,1,0,1,0,3,1,1,1457.2,7860,11,9,113000.0,8,501,N,2,2,2,2,81,88
25-00703,42,2,1,0,1,2,4,1,1,2195.3,N,N,10,0.0,0,501,N,2,2,2,2,68,68
25-00703,83,2,4,0,1,0,2,1,1,2195.3,N,N,9,35200.0,5,299,N,2,2,2,2,70,72
25-00503,71,2,4,0,1,0,N,1,1,2872.7,8680,14,9,_RARE_,9,501,N,2,1,2,2,69,60
25-00503,5,1,N,0,1,4,6,1,1,2872.7,N,N,1,N,N,501,N,2,2,2,2,119,158
25-00503,73,2,3,0,1,0,N,1,2,2872.7,N,N,12,25000.0,4,190,N,2,2,2,2,125,125
25-00503,70,2,4,0,6,0,N,1,1,2872.7,7870,11,12,112500.0,8,501,N,2,2,2,2,159,139
25-00703,26,1,6,0,1,0,5,1,1,2195.3,3080,4,5,0.0,0,501,N,2,2,2,2,138,106
25-01300,64,2,1,0,1,0,2,1,1,1457.2,N,N,10,0.0,0,501,N,2,2,2,2,80,71
25-02800,3,2,N,0,1,1,3,1,1,3683.9,N,N,2,N,N,501,N,N,N,2,2,90,99
25-00503,79,1,1,0,1,0,2,1,2,2872.7,N,N,9,84500.0,7,501,N,2,1,2,2,57,56
25-01300,46,2,1,0,1,1,3,1,2,1457.2,7280,10,9,75000.0,7,501,N,2,2,2,2,44,49
25-00703,29,2,6,0,1,0,N,1,1,2195.3,5593,6,9,45000.0,5,341,N,2,2,2,2,112,112
25-00503,64,1,1,0,1,0,2,1,1,2872.7,4990,6,5,85000.0,8,501,N,2,2,2,2,63,53
25-00703,75,2,1,0,1,0,2,1,1,2195.3,4890,6,10,72000.0,7,501,N,2,2,2,2,169,169
25-00503,78,1,1,0,6,0,2,1,1,2872.7,8191,12,11,_RARE_,9,501,N,2,2,2,2,43,43
25-01300,10,1,N,0,1,4,6,1,1,1457.2,N,N,3,N,N,501,N,2,2,2,2,51,37
25-00703,16,2,6,0,1,1,4,1,1,2195.3,N,N,4,500.0,1,501,N,2,2,2,2,64,60
25-00503,1,2,N,0,6,2,4,1,1,2872.7,N,N,N,N,N,501,N,N,N,2,2,70,93
25-00703,5,1,N,0,6,1,2,1,1,2195.3,N,N,1,N,N,357,N,2,2,2,2,45,58
25-01300,61,2,1,0,1,0,2,1,1,1457.2,9390,16,7,85000.0,7,501,N,2,2,2,2,221,228
25-01300,40,1,4,0,1,0,N,1,1,1457.2,6970,9,9,3000.0,1,22,N,2,2,2,2,81,82
25-00503,45,2,1,0,1,2,4,1,1,2872.7,8191,12,7,_RARE_,7,466,N,2,1,2,2,32,38
25-01300,47,1,1,0,1,2,4,1,2,1457.2,7690,10,9,115000.0,8,369,N,2,2,2,2,451,383
25-01300,13,1,N,0,1,2,4,1,2,1457.2,N,N,3,N,N,480,N,2,2,2,2,57,76
25-02800,26,1,6,0,1,0,4,1,2,3683.9,7380,10,9,130000.0,9,501,N,2,2,2,2,131,111
25-00703,57,2,1,0,1,0,2,1,1,2195.3,180,0,9,154000.0,9,501,N,2,2,2,2,111,82
25-00703,79,1,4,0,1,N,N,2,0,2195.3,8590,14,7,4800.0,1,N,N,2,1,2,2,96,0
25-00503,79,1,1,0,1,0,2,1,1,2872.7,7280,10,7,26800.0,4,501,N,2,2,2,2,63,53
25-00503,15,1,6,0,1,0,4,1,2,2872.7,N,N,4,0.0,0,501,N,2,2,2,2,181,141
25-00703,21,2,6,0,1,0,3,1,1,2195.3,8180,12,8,55000.0,6,501,N,2,2,2,2,117,88
25-01300,2,1,N,0,1,2,4,1,1,1457.2,N,N,N,N,N,501,N,N,N,2,2,125,126
25-00503,25,2,6,0,1,1,3,1,2,2872.7,8470,13,5,3500.0,1,86,N,2,2,2,2,230,112
25-00703,15,1,6,0,1,1,3,1,1,2195.3,N,N,4,0.0,0,501,N,2,2,2,2,69,67
25-00703,46,1,1,0,1,1,7,1,1,2195.3,3390,4,9,180000.0,9,501,N,2,2,2,2,78,79
25-00503,65,1,4,0,1,0,N,1,2,2872.7,8590,14,8,30900.0,4,211,N,2,1,2,2,50,50
25-02800,61,1,1,0,1,0,2,1,1,3683.9,9470,16,10,155000.0,9,501,N,2,2,2,2,143,143
25-00703,3,2,N,4,1,2,4,1,2,2195.3,N,N,1,N,N,124,N,N,N,2,2,201,272
25-01000,68,2,1,0,1,0,4,1,2,2447.1,N,N,5,0.0,0,501,N,2,2,2,2,66,60
25-00503,37,1,1,0,1,1,3,1,1,2872.7,3390,4,10,116000.0,8,501,N,2,2,2,2,45,44
25-02800,1,2,N,0,1,3,5,1,1,3683.9,N,N,N,N,N,501,N,N,N,2,2,54,72
25-01300,16,1,6,0,1,3,6,1,1,1457.2,N,N,4,0.0,0,501,N,2,2,2,2,67,72
25-01000,75,2,4,0,1,0,2,1,1,2447.1,N,N,9,37000.0,5,501,N,2,2,2,2,61,81
25-01000,73,2,1,0,1,0,2,1,1,2447.1,N,N,5,25400.0,4,254,N,2,2,2,1,83,84
25-00503,81,2,4,0,1,0,N,1,2,2872.7,N,N,7,8200.0,2,63,N,2,1,1,1,112,111
