,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,25,2,6,2,2,2,N,9,0,1,12,6,0,2,1,50000.0,6,308,25-01000,1,1,33,2,6,2,2,2,N,1,3,4,106000.0,8,410,53.84615384615385
1,33,2,7,2,2,2,N,10,0,1,9,6,2,4,1,90000.0,3,213,25-00503,1,2,26,2,7,2,2,2,N,1,0,6,60000.0,6,501,53.84615384615385
2,39,2,6,2,2,2,N,6,0,1,N,1,N,N,1,30000.0,4,501,25-01000,1,1,75,2,6,2,2,2,N,1,0,3,77400.0,7,501,61.53846153846154
3,34,2,7,2,2,2,N,8,0,1,7,1,1,6,1,49500.0,9,501,25-02800,1,1,59,2,7,2,2,2,N,1,3,5,83000.0,7,469,53.84615384615385
4,27,2,7,1,2,2,N,9,0,1,9,6,0,4,1,42000.0,5,258,25-00503,1,2,30,2,7,2,2,2,N,1,0,4,50000.0,6,501,61.53846153846154
5,35,2,7,2,2,2,N,9,0,1,5,6,2,4,2,6100.0,8,501,25-00503,1,1,42,2,7,2,2,2,N,1,0,N,24000.0,4,181,53.84615384615385
6,55,2,7,2,2,2,N,5,0,1,16,1,0,2,1,465000.0,9,501,25-02800,1,1,58,2,7,2,2,2,N,1,0,2,85000.0,8,501,76.92307692307693
7,31,2,5,2,2,2,N,7,0,1,14,1,2,4,1,52000.0,6,51,25-01300,1,2,46,2,5,2,2,2,N,1,4,9,10300.0,2,501,53.84615384615385
8,25,2,6,2,2,2,N,9,0,1,9,6,0,2,2,N,N,470,25-00703,1,1,35,2,6,2,2,2,N,1,0,N,66000.0,7,501,61.53846153846154
9,23,2,7,1,2,2,N,7,0,1,3,6,0,3,1,78000.0,7,501,25-00503,1,1,22,2,7,2,2,2,N,1,0,3,10000.0,2,501,69.23076923076923
10,94,2,6,2,1,2,N,7,0,1,N,3,0,2,2,61300.0,6,501,25-01000,1,1,78,2,6,2,1,1,N,1,0,N,62800.0,6,501,69.23076923076923
11,4,2,6,2,N,N,N,1,0,1,N,N,1,2,2,N,N,47,25-01000,1,2,4,2,6,2,N,N,N,1,1,3,N,N,281,84.61538461538461
12,42,2,7,2,2,2,N,9,0,1,9,4,1,3,1,N,N,400,25-00503,1,2,45,2,7,2,2,2,N,1,1,2,178400.0,9,501,61.53846153846154
13,37,1,6,2,2,2,N,4,0,1,5,1,3,5,1,17700.0,8,501,25-00703,1,1,72,1,6,1,2,2,N,1,0,2,34200.0,4,302,46.15384615384615
14,55,2,7,2,2,2,N,10,0,1,14,1,4,6,1,52500.0,7,501,25-02800,1,2,56,2,7,2,2,2,N,1,0,2,76000.0,7,501,69.23076923076923
15,19,2,5,2,2,2,N,7,0,1,4,6,0,2,1,44050.0,4,115,25-01300,1,1,32,2,5,2,2,2,3,1,0,3,39200.0,5,501,53.84615384615385
16,69,2,7,2,2,2,N,9,0,1,13,4,N,N,1,627430.0,7,501,25-02800,1,2,55,2,7,2,2,2,N,1,0,2,77000.0,7,501,69.23076923076923
17,51,2,6,2,2,2,N,5,0,1,3,4,0,N,1,50000.0,6,96,25-01000,1,1,43,2,6,2,2,2,N,1,2,3,50000.0,6,243,69.23076923076923
18,53,2,5,2,2,2,N,7,0,1,4,6,0,4,2,87900.0,2,90,25-01300,1,1,27,2,5,2,2,2,N,1,0,N,39000.0,5,294,61.53846153846154
19,0,2,7,2,N,N,N,N,0,1,N,N,4,6,1,N,N,501,25-02800,9,2,1,2,7,2,N,N,N,1,1,2,N,N,461,69.23076923076923
20,70,2,6,1,2,2,N,8,0,3,N,6,0,N,0,28010.0,1,N,25-00703,1,2,75,2,6,2,1,2,N,3,N,N,10800.0,2,88,46.15384615384615
21,42,2,7,2,2,2,N,4,0,1,9,1,4,6,1,80000.0,7,293,25-02800,1,2,67,2,7,2,2,2,N,1,0,2,3100.0,1,501,53.84615384615385
22,40,2,7,2,2,2,N,8,0,1,16,1,3,6,1,45000.0,5,369,25-02800,1,2,37,2,7,2,2,2,N,1,2,5,41900.0,5,397,61.53846153846154
23,55,2,6,2,2,2,N,7,0,1,4,4,0,2,1,15700.0,7,501,25-00703,1,1,53,2,6,2,2,2,N,1,0,3,105000.0,8,501,69.23076923076923
24,55,2,6,2,2,N,N,9,0,1,13,4,0,N,1,N,N,501,25-01000,1,2,72,2,6,2,2,2,N,1,0,N,38900.0,5,322,61.53846153846154
25,32,2,7,2,2,2,N,9,0,1,4,6,0,6,1,100000.0,8,501,25-00503,1,2,29,2,7,2,2,2,N,1,0,N,100000.0,8,501,84.61538461538461
26,19,1,7,2,2,2,N,7,0,1,6,6,N,N,1,74000.0,8,501,25-00503,6,2,24,2,7,2,2,2,N,1,0,2,72000.0,7,501,53.84615384615385
27,51,2,6,2,2,2,N,5,0,1,9,1,0,N,1,80000.0,7,501,25-01000,1,1,64,2,6,2,2,2,N,1,0,4,51000.0,6,501,69.23076923076923
28,35,2,6,2,2,2,N,10,0,1,11,6,2,4,1,0.0,0,501,25-00703,1,1,28,2,6,2,2,2,N,1,0,4,48000.0,6,501,69.23076923076923
29,69,2,7,2,2,2,N,7,0,1,15,1,0,2,1,393700.0,2,408,25-00503,1,1,48,2,7,2,2,2,N,1,2,5,118000.0,8,501,53.84615384615385
30,13,2,6,2,1,N,N,3,0,1,N,1,0,2,1,N,N,501,25-00703,1,2,75,2,6,2,2,2,N,1,0,2,17000.0,3,213,53.84615384615385
31,77,2,6,2,2,2,N,10,0,1,N,4,0,7,2,124000.0,3,206,25-00703,1,2,66,2,6,2,2,1,N,1,1,2,19500.0,3,111,53.84615384615385
32,77,2,7,2,2,2,N,7,0,1,7,6,0,2,1,45000.0,8,501,25-00503,1,1,46,2,7,2,2,2,N,1,0,2,7500.0,2,204,69.23076923076923
33,62,2,6,2,2,2,N,9,0,1,4,4,0,2,2,78900.0,4,387,25-00703,1,1,42,2,6,2,2,2,N,1,1,2,0.0,0,0,61.53846153846154
34,50,2,7,2,2,2,N,7,0,1,11,3,0,2,1,11300.0,9,501,25-02800,1,2,89,2,7,2,2,2,N,1,0,N,32000.0,4,262,61.53846153846154
35,35,2,7,2,2,2,N,7,0,1,5,1,0,6,1,4000.0,1,147,25-02800,1,1,42,2,7,2,2,2,N,1,0,2,80000.0,7,501,61.53846153846154
36,23,1,6,1,2,2,N,5,0,1,15,6,0,6,2,86000.0,8,501,25-01000,1,1,30,2,6,2,2,2,N,1,0,N,85000.0,8,501,61.53846153846154
37,46,2,6,2,2,2,N,9,0,1,N,2,2,4,1,85000.0,8,501,25-00703,1,1,94,2,6,2,2,1,N,1,0,2,271000.0,9,501,53.84615384615385
38,60,2,6,2,2,2,N,9,0,1,3,2,0,2,1,87000.0,9,501,25-00703,1,1,52,2,6,2,2,2,N,1,0,5,85000.0,8,501,69.23076923076923
39,66,2,6,2,2,2,N,8,0,1,14,6,0,3,1,393700.0,9,501,25-00703,1,1,26,2,6,2,2,2,N,1,0,4,21000.0,3,501,69.23076923076923
40,10,2,5,2,2,N,N,3,0,1,N,N,3,5,2,N,N,501,25-01300,6,1,10,2,5,2,2,2,N,1,2,4,N,N,273,69.23076923076923
41,46,2,5,2,2,2,N,10,0,1,8,1,0,2,1,36660.0,6,501,25-01300,1,1,37,2,5,2,2,2,N,1,1,3,90000.0,8,501,61.53846153846154
42,31,2,6,2,2,2,N,10,0,1,0,1,1,7,1,40000.0,5,501,25-01000,1,1,41,2,6,2,2,2,N,1,2,4,142500.0,9,501,61.53846153846154
43,66,2,6,2,2,1,N,11,0,1,4,1,0,N,1,350000.0,9,501,25-00703,1,2,48,2,6,2,2,2,N,1,2,4,136700.0,9,501,61.53846153846154
44,63,2,7,2,2,2,N,5,0,1,12,4,0,3,2,66900.0,8,501,25-00503,1,2,52,2,7,2,2,2,N,1,0,N,45800.0,5,349,61.53846153846154
45,11,2,6,2,2,N,N,3,4,3,N,N,3,5,1,N,N,152,25-00703,6,1,8,2,6,2,2,1,N,1,3,4,N,N,204,61.53846153846154
46,49,2,7,2,2,2,N,9,0,1,6,4,0,4,2,50000.0,6,336,25-00503,1,2,47,2,7,2,2,2,N,1,0,N,52000.0,6,394,69.23076923076923
