,AGEP_x,DEAR_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,47,2,2,2,2,N,10,0,1,7270,9,6,0,2,1,52678.0,5,474,25-02800,65,1,1,51,27,2,2,2,2,N,1,6970,0,N,115000.0,8,501,98,98,46.666666666666664
1,61,2,2,2,2,N,5,0,1,7460,6,4,0,2,1,43371.0,1,501,25-00503,94,1,2,68,70,2,2,2,2,N,1,5593,0,N,27600.0,4,228,84,84,46.666666666666664
2,36,1,2,2,2,N,4,0,1,8191,N,N,2,5,2,N,9,390,25-00503,122,1,1,35,14,2,2,2,2,N,1,N,2,3,N,N,501,91,110,46.666666666666664
3,57,2,2,2,2,N,3,0,1,3580,15,1,3,3,1,24963.0,0,374,25-01000,71,1,1,96,75,2,2,2,2,N,1,8980,0,6,112700.0,8,501,52,54,40.0
4,52,2,2,2,2,N,7,0,1,3875,7,6,0,4,1,54460.0,7,501,25-01000,81,1,2,65,25,2,2,2,2,N,1,6290,0,N,4000.0,1,30,123,137,46.666666666666664
5,9,2,2,1,2,N,4,0,1,1990,N,N,N,N,1,149322.0,N,495,25-01000,68,6,1,115,14,2,2,2,2,N,1,N,1,3,N,N,501,136,126,40.0
6,10,2,2,2,2,2,9,0,1,7380,11,1,0,N,2,2835.0,4,474,25-01000,97,1,1,83,61,2,2,2,2,N,1,7870,1,3,72000.0,7,501,121,100,33.33333333333333
7,75,2,2,1,2,N,10,0,1,N,10,6,N,2,1,N,3,359,25-00503,130,6,2,76,30,2,2,2,2,N,1,7460,0,N,130000.0,9,501,114,114,33.33333333333333
8,19,2,2,2,2,N,10,0,1,7460,10,6,2,N,2,116383.0,8,171,25-00503,113,6,1,76,26,2,2,2,2,N,1,7390,0,N,120010.0,8,501,122,122,53.333333333333336
9,74,2,2,2,2,N,7,0,1,7290,6,6,2,4,2,37686.0,0,364,25-01300,107,1,1,49,26,2,2,2,1,N,1,5391,0,N,60000.0,6,454,65,65,33.33333333333333
10,32,2,2,2,2,2,7,0,1,6991,12,6,0,2,2,202501.0,9,407,25-00703,55,1,1,69,27,2,2,2,2,N,1,8090,0,N,32000.0,4,244,149,152,40.0
11,53,2,2,1,2,N,10,0,1,N,11,4,4,2,2,N,N,273,25-00703,57,1,2,34,52,2,2,2,2,N,1,7860,1,4,110000.0,8,481,408,408,33.33333333333333
