,feature,divergence
22,PWGTP,6.9228557407189815
1,AGEP,6.743240804628204
14,PINCP,5.726324560395357
23,WGTP,5.586793198892843
11,INDP,3.935993490034199
13,EDU,3.269512922412747
12,INDP_CAT,3.0960312823048235
15,PINCP_DECILE,2.151957463855202
7,NPF,1.8983355832848856
0,PUMA,1.8443337017992092
16,POVPIP,1.320488707790478
10,DENSITY,0.8315284277880391
3,MSP,0.582500129513547
5,RAC1P,0.21251258494840172
6,NOC,0.19264943031617854
9,OWN_RENT,0.11108821137528366
19,DPHY,0.06107350096711799
18,DREM,0.05047472158343154
8,HOUSING_TYPE,0.04990912601580796
2,SEX,0.04009848841621866
4,HISP,0.027810414688633357
21,DEAR,0.021449169704920664
20,DEYE,0.01800358327224804
17,DVET,0.01665900832392538
