,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
0,51-51255,61,2,1.0,0,1,0.0,3.0,1,1,13402.727072401527,170.0,13.5506325965281,6.0,1785.3096261373976,0.0,118.13091846621609,4.0,2.0,2.0,2,2,215,0
1,30-00600,0,2,6.0,0,1,0.0,3.0,1,1,12060.563374651405,170.0,14.993766478996644,12.0,342376.271210428,0.0,118.13091846621609,4.0,2.0,2.0,2,2,1,0
2,01-01301,93,2,1.0,0,1,0.0,2.0,1,2,13402.727072401527,7491.317477006083,9.876535893614419,12.0,24418.821304098015,4.0,0.0,4.0,2.0,2.0,2,2,1,376
3,51-51255,80,2,6.0,0,1,0.0,2.0,1,2,16.3,7491.317477006083,9.876535893614419,1.0,-9000.0,0.0,501.0,4.0,2.0,2.0,2,2,1,0
4,38-00100,0,2,6.0,0,1,0.0,3.0,1,1,37413.35015620134,170.0,10.123447262298141,7.0,342376.271210428,4.0,489.65044316798196,4.0,2.0,2.0,2,2,215,0
5,28-01100,0,2,4.0,0,1,0.0,4.0,1,1,16783.586039473998,7668.62783587183,9.876535893614419,1.0,-9000.0,0.0,22.411504612830385,4.0,2.0,2.0,2,2,215,376
6,51-01301,95,2,4.0,0,1,0.0,3.0,1,1,16783.586039473998,7668.62783587183,9.399445361888663,12.0,-1589.0260640726665,0.0,0.0,4.0,2.0,2.0,2,2,1636,0
7,28-01100,95,2,4.0,0,2,0.0,3.0,1,2,12224.259462389604,4617.205786276265,0.0,7.0,342376.271210428,4.0,501.0,4.0,2.0,2.0,2,2,1636,376
8,01-01301,0,2,4.0,0,2,0.0,3.0,1,2,12224.259462389604,170.0,0.0,1.0,1785.3096261373976,2.0,0.0,4.0,2.0,2.0,2,2,702,376
9,08-00803,80,1,4.0,0,2,0.0,7.0,1,2,12060.563374651405,7668.62783587183,10.123447262298141,7.0,1785.3096261373976,0.0,259.3227238312398,4.0,2.0,2.0,2,2,1,708
10,30-00600,61,1,6.0,0,1,0.0,3.0,1,2,45057.200273277434,170.0,9.876535893614419,8.0,-9000.0,0.0,0.0,4.0,2.0,2.0,2,2,1,708
11,51-01301,93,2,4.0,0,1,0.0,7.0,1,2,12060.563374651405,7491.317477006083,10.123447262298141,7.0,342376.271210428,0.0,501.0,4.0,2.0,2.0,2,2,1,0
12,30-00600,93,2,4.0,0,2,0.0,7.0,1,1,12224.259462389604,4617.205786276265,14.993766478996644,12.0,342376.271210428,4.0,391.53837665548156,4.0,2.0,2.0,2,2,1,213
13,51-51255,80,2,1.0,0,1,0.0,2.0,1,1,13402.727072401527,9920.0,10.123447262298141,1.0,342376.271210428,0.0,0.0,4.0,2.0,2.0,2,2,215,376
14,30-00600,93,2,1.0,0,1,0.0,2.0,1,2,13402.727072401527,2102.295384175461,9.399445361888663,11.0,342376.271210428,9.0,22.411504612830385,4.0,2.0,2.0,2,2,391,0
15,01-01301,95,1,4.0,0,2,0.0,2.0,1,1,37413.35015620134,7491.317477006083,14.993766478996644,8.0,-9000.0,0.0,0.0,4.0,2.0,2.0,2,2,215,213
16,28-01100,80,2,4.0,0,1,0.0,3.0,1,2,12224.259462389604,9920.0,13.5506325965281,12.0,-9000.0,0.0,148.22502514960343,4.0,2.0,2.0,2,2,215,213
17,28-01100,0,2,4.0,0,1,0.0,2.0,1,2,16783.586039473998,9920.0,9.399445361888663,7.0,-9000.0,0.0,259.3227238312398,4.0,2.0,2.0,2,2,1,0
18,08-00803,32,2,1.0,0,2,0.0,3.0,1,2,16.3,7491.317477006083,14.993766478996644,7.0,342376.271210428,9.0,501.0,4.0,2.0,2.0,2,2,1,0
19,08-00803,10,2,1.0,0,1,0.0,3.0,1,2,37413.35015620134,170.0,10.788069673682752,12.0,342376.271210428,9.0,501.0,4.0,2.0,2.0,2,2,1,213
20,08-00803,22,1,4.0,0,2,0.0,3.0,1,2,10156.245673372228,9920.0,10.123447262298141,7.0,1098834.8309876064,7.0,22.411504612830385,4.0,2.0,2.0,2,2,215,0
